"Aat" "Amy" "Es1" "Es2" "Es10" "Hbb" "Gpd1" "Idh1" "Mod1" "Mod2" "Mpi" "Np" "Pgm1" "Pgm2" "Sod"
"080100" "080080" "094094" "100100" "100100" "110120" "100100" "100125" "110110" "120120" "100100" "100100" "100100" "080100" "100100"
"080100" "080080" "094094" "100100" "100100" "110110" "100100" "100100" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110110" "105105" "100125" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110120" "095095" "125125" "110110" "120120" "100100" "100100" "100100" "080100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "095095" "050125" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"080100" "080080" "094100" "100100" "100100" "120120" "095100" "050100" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
"080100" "080080" "094100" "100100" "100100" "110120" "100100" "100100" "100110" "100120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "095100" "100100" "110120" "095095" "100125" "100110" "120120" "100100" "100100" "100100" "080100" "100100"
"080100" "080080" "094094" "095100" "100100" "110110" "095100" "100100" "100110" "100120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110120" "095100" "100100" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110120" "100100" "100100" "110110" "100120" "100100" "100100" "100100" "100100" "100100"
"080100" "080100" "094094" "100100" "100100" "110120" "095100" "100125" "110110" "100120" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "095100" "100100" "110110" "100105" "100100" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "110120" "100100" "100100" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
"080100" "080080" "094100" "095100" "100100" "110120" "095100" "050100" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "095100" "100100" "110110" "105105" "050125" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"080080" "080100" "094094" "100100" "100100" "110110" "095100" "100100" "110110" "100100" "100100" "100100" "100100" "080100" "100100"
"100100" "080100" "094094" "100100" "100100" "110120" "100105" "100125" "110110" "100120" "100100" "100100" "100100" "100100" "100100"
"080080" "080100" "094100" "100100" "100100" "110120" "100100" "100100" "110110" "120120" "100100" "100100" "100100" "080100" "100100"
"100100" "080080" "094094" "100100" "100100" "110110" "100105" "100125" "100110" "100120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094100" "095095" "100100" "110120" "100105" "100125" "110110" "120120" "100100" "100100" "100100" "080100" "100100"
"080100" "080080" "100100" "100100" "100100" "110110" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094100" "100100" "100100" "120120" "100100" "100100" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
