"LoadType" "RainWind" "StockingD" "Dlairage" "Evisc"
1 0 62.0586 250 1
1 0 60.4012 247.5 1
1 1 56.0808 144 1
1 0 64.0143 243 1
1 0 60.3059 32.5 1
1 0 51.912 158 1
1 0 58.302 292 1
1 1 63.1313 55 1
1 0 56.5555 258.5 1
1 0 61.7065 296 1
1 0 62.9835 107 1
1 0 59.7297 118.5 1
1 0 62.2549 131 1
1 0 73.4261 202.5 1
1 0 58.4341 65.5 1
1 1 64.9155 266.5 1
1 0 71.1706 331 1
1 0 70.9999 131.5 1
2 1 57.5855 142.5 1
1 0 57.8805 163.5 1
1 0 64.9394 176.5 1
1 0 55.3589 75 1
1 0 58.3558 231 1
2 0 66.4569 225 1
1 0 63.7967 201.5 1
1 1 62.1118 182.5 1
1 0 62.0801 188 1
1 0 67.6001 152 1
1 0 63.242 195 1
1 1 62.5796 235 1
1 0 63.9892 208 1
2 0 63.1127 232 1
1 0 61.0263 208.5 1
1 0 58.0133 174 1
1 0 55.2276 145 1
1 1 61.4879 180.5 1
1 0 67.5862 219.057 1
1 0 62.6889 158 1
1 0 58.9387 176 1
1 0 52.0166 130.5 1
2 0 63.9284 170.5 1
1 0 56.7207 198.084 1
1 0 58.6245 110.5 1
1 0 62.1876 186 1
1 0 56.9266 137.338 0
1 0 55.8759 174.5 1
1 0 62.6732 273.5 1
1 1 63.4569 125.5 1
1 0 59.7128 184.5 1
1 0 56.6581 130 1
1 0 55.9247 117.5 1
2 0 68.6158 173 1
1 0 53.3668 172.5 0
1 0 49.2212 107.5 0
1 0 48.8582 120 0
1 0 53.7792 82.5 0
1 0 55.5841 162.5 0
1 0 49.5592 202.5 0
1 1 50.5379 177.5 0
1 0 52.6974 267.5 0
1 0 48.9873 167.5 0
1 0 49.1823 102.5 0
1 0 49.6611 65 0
1 0 50.6667 100 0
1 0 48.5517 120.817 0
1 0 53.7525 130 0
1 0 45.2414 122.5 0
1 0 50.5903 199.767 0
1 0 50.431 177.5 0
1 0 48.046 130 0
1 1 51.4023 127.5 0
2 0 48.069 147.5 0
1 0 51.2709 122.5 0
1 0 59.1926 170 0
1 0 48.5502 85 0
1 0 45.4156 130 0
1 0 55.7528 130 0
2 0 50.7263 102.5 0
1 0 54.4011 85 0
1 0 50.8474 275 0
1 0 52 103.931 0
1 1 51.1057 120 0
1 0 49.9004 117.5 0
1 0 56.3617 35 0
1 0 47.2276 231.145 0
1 0 60.7449 162 0
1 0 61.0861 308 0
1 0 59.5282 175 0
1 0 63.2047 255 0
1 0 62.9376 237.5 0
1 1 61.394 240 0
1 0 62.8852 315 0
1 0 56.6137 187.5 0
1 0 75.8848 397.5 0
1 0 64.4963 205 0
1 0 75.7466 230 0
1 0 66.4396 157.5 0
1 0 58.0275 227.5 0
1 0 54.7902 295 0
1 0 58.4631 310 0
1 0 61.3187 220 0
1 0 61.5806 207.5 1
1 0 57.5503 216.924 0
1 0 56.7628 345 0
1 0 58.8437 325 0
1 0 55.6643 237.5 0
1 0 75.6083 457.5 1
1 0 63.2407 355 1
1 0 66.4827 245 1
1 0 66.2561 270 1
1 0 59.2228 375 0
1 0 57.7734 490 0
1 0 57.1277 275 0
1 0 61.1645 317.5 0
1 0 58.183 775 0
1 0 58.9147 567.5 0
1 0 60.4744 109.5 0
1 0 51.5203 510 0
1 1 56.8352 367.5 0
1 0 58.0806 710 0
1 0 54.9754 635 0
2 1 55.7682 173.5 0
2 0 60.5372 203 0
2 1 54.2097 125.5 0
2 0 52.5472 236.5 0
2 0 54.6587 225 0
2 0 51.9772 207.5 0
2 0 68.0395 149.5 0
1 0 52.9869 169 0
1 1 53.705 175.5 0
2 1 50.4684 181 0
1 0 58.9248 195.5 0
