"marknames" "allbyloc" "chromosome" "maposition"
"GATA27G03" 8 "4" 167.6
"GGAA19H07" 21 "4" 176.2
"GATA42H02" 8 "4" 181.9
"165xc11" 13 "4" 195.1
"GATA5B02" 8 "4" 208
"ATA20G07Z" 12 "5" 0
"GATA145D10" 10 "5" 8
"GATA84E11" 15 "5" 14.3
"GATA3E10" 10 "5" 23
"GATA134B03" 9 "5" 36
"GATA7C06" 14 "5" 45
"GATA21D04" 12 "5" 59
"GATA67D03" 12 "5" 69
"GATA52A12" 17 "5" 85
"GATA89G08" 11 "5" 97.8
"GATA3H06" 12 "5" 105
"GATA68A03" 10 "5" 117
"GATA62A04" 15 "5" 130
"GATA2H09" 9 "5" 139
"ATA23A10" 12 "5" 147
"GATA6E05" 13 "5" 160
"GATA11A11" 14 "5" 175
"Mfd154" 14 "5" 182.9
"ATA52D02" 28 "5" 189.2
"164xb8" 15 "5" 195.5
"UT6540" 11 "6" 0
"SE30" 17 "6" 9
"ATC4D09" 4 "6" 22.1
"GATA29A01" 7 "6" 34
"GATA163B10" 13 "6" 42
"GATA61E03" 8 "6" 51
"GGAT3H10" 9 "6" 63
"GATA11E02" 10 "6" 73
"GATA64D02" 10 "6" 80
"ATA28B11" 11 "6" 89
"GATA68H04" 12 "6" 103
"ATA11D10" 12 "6" 112
"GATA31" 8 "6" 119
"GATA23F08" 8 "6" 129
"GATA32B03" 13 "6" 138
"GATA184A08" 14 "6" 146
"GATA165G02" 11 "6" 155
"242zg5" 18 "6" 166.4
"GATA81B01" 11 "6" 173
"ATA22G07" 11 "6" 187
"6QTEL54" 5 "6" 193.1
"035xb9" 18 "7" 0
"GATA24F03" 13 "7" 7
"GATA119B03" 9 "7" 17
"GATA137H02" 10 "7" 29
"GATA41G07" 12 "7" 33
"GGAA3F06" 12 "7" 42
"GATA13G11" 11 "7" 50
"GATA31A10" 8 "7" 58
"GATA24D12" 9 "7" 70
"GATA118G10" 19 "7" 79
"GATA73D10" 15 "7" 91
"GATA3F01" 16 "7" 98
"GATA5D08" 11 "7" 109
"GATA23F05" 12 "7" 114
"GGAA6D03" 13 "7" 128
"GATA43C11" 18 "7" 137
"GATA32C12" 12 "7" 150
"GATA104" 17 "7" 155
"GATA189C06" 14 "7" 163
"GATA30D09" 11 "7" 174
"Mfd265" 20 "7" 182
"127XH2" 10 "8" 4.3
"193XH4" 13 "8" 16.2
"GATA151F02" 17 "8" 27.4
"123xg5" 17 "8" 37
"127YE5" 21 "8" 43.4
"UT7129" 10 "8" 54
"GGAA20C10" 14 "8" 60
"GATA8G10" 14 "8" 67
"GGAA8G07" 10 "8" 78
"GATA41A01" 11 "8" 82
"GATA14E09" 9 "8" 94
"GATA8B01" 14 "8" 104
"GAAT1A4" 9 "8" 110
"GATA26E03" 14 "8" 119
"GATA6B02" 9 "8" 125
"GATA7G07" 11 "8" 135
"GATA21C12" 11 "8" 140
"GATA50D10" 9 "8" 154
"UT721" 11 "8" 164
"026TG9" 19 "9" 0
"345TA9" 24 "9" 8.4
"GATA62F03" 10 "9" 14
"GATA187D09" 9 "9" 21.9
"GATA27A11" 17 "9" 32
"GATA87E02" 15 "9" 44
"GATA71E08" 24 "9" 58.3
"GATA7D12" 14 "9" 66
"GATA89A11" 8 "9" 76
"GATA21F05" 9 "9" 80
"GATA81C04" 14 "9" 89
"ATA18A07" 10 "9" 104
"GGAA22E01" 12 "9" 111
"GATA48D07" 9 "9" 120
"GATA64G07" 12 "9" 128
"029xg1" 17 "9" 136.5
"ATA59H06Z" 13 "9" 147
"303zg9" 16 "9" 163.8
"GATA88F09" 14 "10" 4
"063xf4" 6 "10" 19
"ATA31G11" 9 "10" 28
"GATA84C01" 11 "10" 33
"GATA70E11" 10 "10" 46
"GATA73E11" 10 "10" 59
"ATA5A04" 12 "10" 63
"ATA21A03" 14 "10" 76
"ATA24F10" 10 "10" 81
"GATA121A08" 10 "10" 88
"GATA87G01" 11 "10" 94
"GGAT1A4" 9 "10" 101
"GATA115E01" 11 "10" 113
"GGAA2F11" 12 "10" 117
"GATA64A09" 10 "10" 125
"ATA103C06" 11 "10" 135
"GATA71C09" 8 "10" 137
"ATA29C03" 11 "10" 143
"ATA22D02" 11 "10" 156
"GGAA23C05" 14 "10" 165
"198zb4" 11 "10" 170.9
"GGAA17G05" 18 "11" 2
"ATA33B03Z" 13 "11" 9
"GATA23F06" 10 "11" 17
"GATA48E02" 14 "11" 21
"ATA34E08" 11 "11" 33
"GATA6B09" 11 "11" 43
"ATA1B07" 12 "11" 54
"ATA9B04" 8 "11" 58
"GATA12F04" 20 "11" 58
"GATA63F09" 10 "11" 58
"GATA46A12" 9 "11" 59
"GATA90D07" 10 "11" 76
"GATA30G01" 10 "11" 85
"GATA28D01" 25 "11" 101
"GGAA7G08" 23 "11" 105.7
"GATA23E06" 9 "11" 113
"GATA64D03" 11 "11" 123
"GATA117D01" 10 "11" 137.5
"UT2095" 15 "11" 142
"205VF10" 14 "11" 146.6
"GATA4H03" 11 "12" 6
"GATA49D12" 22 "12" 18
"Mfd259" 14 "12" 30.6
"GATA6C01" 9 "12" 36
"ATA27A06" 9 "12" 49
"GATA91H06" 9 "12" 56
"UT5029" 15 "12" 65
"GATA73H09" 13 "12" 78
"GATA26D02" 8 "12" 83
"GATA63D12" 14 "12" 95
"GATA85A04" 10 "12" 104
"PAH" 11 "12" 109
"ATA25F09" 8 "12" 125
"GATA4H01" 12 "12" 136.8
"GATA32F05" 10 "12" 150
"ATA29A06" 11 "12" 161
"002vd5" 11 "12" 168.9
"GATA23C03" 12 "13" 9
"ATA5A09" 10 "13" 20
"GGAA29H03" 12 "13" 26
"GATA86H01" 10 "13" 33
"GATA11C08" 9 "13" 47
"GATA64F08" 12 "13" 55
"GATA7G10" 9 "13" 64
"GATA43H03" 8 "13" 76
"ATA26D07" 10 "13" 83
"GATA51B02" 12 "13" 94
"GGAA22G01" 11 "13" 99
"309va9" 18 "13" 110.5
"GATA74E02Z" 11 "14" 12
"GATA31B09" 15 "14" 26
"GATA43H01" 11 "14" 28
"ATA29G03Z" 10 "14" 41
"GGAA10C09" 12 "14" 56
"ATA19H08" 11 "14" 67
"GGAA4A12" 10 "14" 76
"GATA30A03" 9 "14" 92
"GATA193A07" 14 "14" 96
"GGAA21G11" 11 "14" 106
"GATA168F06" 8 "14" 113
"GATA136B01" 19 "14" 126
"002zf1" 15 "14" 138.2
"273YF9" 14 "15" 6.1
"GATA88H02" 19 "15" 12
"248vc5" 20 "15" 20.2
"GATA50C03" 13 "15" 35
"GATA63A03" 16 "15" 43
"GATA50G06" 19 "15" 52
"GATA151F03" 8 "15" 60
"GATA85D02" 9 "15" 72
"ATA28G05" 10 "15" 83
"ATA24A08" 15 "15" 90
"GATA73F01" 10 "15" 101
"GATA197B10" 9 "15" 109
"GATA27A03" 16 "15" 122
"16PTEL06" 20 "16" 0.03
"ATA41E04" 11 "16" 11
"ATA3A07" 12 "16" 23
"GATA42E11" 9 "16" 29.9
"049xd2" 14 "16" 43.9
"GATA71H05" 8 "16" 51
"GGAA3G05" 12 "16" 58
"ATA55A11" 12 "16" 64
"GATA22F09" 12 "16" 72
"GATA138C05" 20 "16" 81.1
"GATA81D12" 8 "16" 88
"350VD1" 12 "16" 100.4
"249xc5" 21 "16" 111.1
"GATA11C06" 10 "16" 125
"GATA71F09" 10 "16" 130
"GTAT1A05" 7 "17" 1
"GAAT2C03" 5 "17" 11
"GATA8C04" 8 "17" 22
"ATA78D02" 10 "17" 32
"GATA185H04" 10 "17" 45
"GGAA9D03" 13 "17" 51
"GATA25A04" 11 "17" 62
"ATC6A06" 9 "17" 67
"GATA49C09" 18 "17" 82
"ATA43A10Z" 20 "17" 89
"GATA28D11" 10 "17" 100
"ATA58A02" 17 "17" 107
"044xg3" 15 "17" 116.9
"GATA178F11" 12 "18" 2.8
"ATA45G06" 10 "18" 7
"GATA185C06" 8 "18" 17
"ACT1A01" 8 "18" 28
"GATA11A06" 20 "18" 41
"GATA64H04" 9 "18" 54
"GATA13" 9 "18" 64
"GATA6D09" 12 "18" 75
"ATA23G05" 10 "18" 80
"ATA7D07" 11 "18" 89
"GATA7E12" 13 "18" 99
"ATA82B02" 12 "18" 107
"GATA177C03" 8 "18" 116
"18QTEL11" 15 "18" 126
"GATA44F10" 9 "19" 9.8
"GATA21G05" 17 "19" 21
"GATA23B01" 10 "19" 33
"GATA66B04" 10 "19" 42
"GGAA2A03" 17 "19" 52
"Mfd235" 6 "19" 59
"UT7544" 9 "19" 68
"Mfd232" 15 "19" 78
"GATA29B01" 9 "19" 88
"Mfd238" 14 "19" 101
"077xd3" 14 "20" 2.1
"GATA51D03" 9 "20" 12
"218yb5" 16 "20" 24.7
"GATA129B03" 9 "20" 36
"GATA29F06" 11 "20" 48
"GATA42A03" 13 "20" 54
"GATA47F05" 11 "20" 62
"UT1307" 20 "20" 69.5
"GATA45B10" 9 "20" 80
"UT254" 19 "20" 90
"UT1772" 11 "20" 101
"GATA11C12" 15 "21" 3
"GGAA3C07" 12 "21" 13
"GATA129D11" 12 "21" 25
"ATA27F01" 11 "21" 37
"GATA188F04" 24 "21" 40
"UT1355" 16 "21" 55.6
"GATA70B08" 14 "21" 57.8
"GATA198B05" 13 "22" 2
"GGAA10F06" 12 "22" 13.6
"Mfd313" 17 "22" 19
"GATA21F03" 14 "22" 29
"GATA11B12" 32 "22" 36
"ATA37D06" 10 "22" 43
"UT7136" 9 "22" 53
"337zh9" 11 "22" 58.8
"GATA124B04" 21 "23" 8.8
"GATA175D03" 11 "23" 22
"ATA28C05" 8 "23" 37.4
"GATA124E07" 15 "23" 39.5
"238yc11L" 14 "23" 53
"GATA69C12" 7 "23" 63.6
"GATA144D04" 15 "23" 71.3
"150xf10" 17 "23" 82.1
"GATA72E05" 11 "23" 83
"GATA31D10" 8 "23" 93
"224zg11" 9 "23" 96.9
"GATA31F01" 13 "23" 104
"ATA31E12" 10 "23" 111.8
"GATA172D05" 10 "23" 116
"GATA165B12" 8 "23" 133
"GATA31E08" 10 "23" 154
"GATA100G03" 16 "23" 165
"GATA2A12" 9 "24" 0
"GGAT3F08" 11 "24" 4
"SDF1" 14 "24" 184
"GATA30F10" 7 "25" 0
"GATA32C10" 5 "25" 0
"GATA31E10" 7 "25" 0
"GATA30F10A" 9 "25" 0
"GATA81D05" 6 "25" 0
"ATA10F11" 8 "25" 0
"ATA25F04" 9 "25" 0
