"id" "sex" "population" "region"
"796" "2" "Orcadian" "Europe"
"797" "2" "Orcadian" "Europe"
"798" "1" "Orcadian" "Europe"
"799" "2" "Orcadian" "Europe"
"800" "2" "Orcadian" "Europe"
"801" "2" "Orcadian" "Europe"
"802" "2" "Orcadian" "Europe"
"803" "1" "Orcadian" "Europe"
"804" "1" "Orcadian" "Europe"
"805" "2" "Orcadian" "Europe"
"806" "2" "Orcadian" "Europe"
"807" "1" "Orcadian" "Europe"
"808" "1" "Orcadian" "Europe"
"810" "1" "Orcadian" "Europe"
"811" "2" "Han" "Asia"
"812" "2" "Han" "Asia"
"813" "2" "Han" "Asia"
"814" "2" "Han" "Asia"
"815" "1" "Han" "Asia"
"817" "2" "Han" "Asia"
"818" "2" "Han" "Asia"
"819" "1" "Han" "Asia"
"820" "2" "Han" "Asia"
"821" "1" "Han" "Asia"
"822" "1" "Han" "Asia"
"823" "1" "Melanesian" "Oceania"
"824" "1" "Melanesian" "Oceania"
"825" "2" "Melanesian" "Oceania"
"826" "2" "Melanesian" "Oceania"
"827" "2" "Columbian" "America"
"828" "2" "Japanese" "Asia"
"830" "2" "Surui" "America"
"832" "2" "Surui" "America"
"833" "2" "Surui" "America"
"834" "1" "Surui" "America"
"835" "1" "Surui" "America"
"837" "1" "Surui" "America"
"838" "2" "Surui" "America"
"839" "1" "Surui" "America"
"840" "2" "Surui" "America"
"841" "2" "Surui" "America"
"842" "1" "Surui" "America"
"843" "1" "Surui" "America"
"844" "1" "Surui" "America"
"845" "1" "Surui" "America"
"846" "2" "Surui" "America"
"847" "1" "Surui" "America"
"848" "2" "Surui" "America"
"849" "1" "Surui" "America"
"850" "2" "Surui" "America"
"851" "1" "Surui" "America"
"852" "2" "Surui" "America"
"854" "2" "Maya" "America"
"855" "2" "Maya" "America"
"856" "1" "Maya" "America"
"857" "2" "Maya" "America"
"858" "2" "Maya" "America"
"859" "2" "Maya" "America"
"860" "2" "Maya" "America"
"861" "2" "Maya" "America"
"862" "2" "Maya" "America"
"863" "2" "Maya" "America"
"864" "2" "Maya" "America"
"865" "2" "Maya" "America"
"866" "2" "Maya" "America"
"867" "2" "Maya" "America"
"868" "2" "Maya" "America"
"869" "2" "Maya" "America"
"870" "2" "Maya" "America"
"871" "2" "Maya" "America"
"872" "2" "Maya" "America"
"873" "2" "Maya" "America"
"874" "2" "Maya" "America"
"875" "2" "Maya" "America"
"876" "2" "Maya" "America"
"877" "1" "Maya" "America"
"878" "1" "Maya" "America"
"879" "1" "Russian" "Europe"
"880" "1" "Russian" "Europe"
"881" "2" "Russian" "Europe"
"882" "1" "Russian" "Europe"
"883" "1" "Russian" "Europe"
"884" "2" "Russian" "Europe"
"885" "2" "Russian" "Europe"
"886" "1" "Russian" "Europe"
"887" "1" "Russian" "Europe"
"888" "1" "Russian" "Europe"
"889" "2" "Russian" "Europe"
"890" "1" "Russian" "Europe"
"891" "1" "Russian" "Europe"
"892" "1" "Russian" "Europe"
"893" "1" "Russian" "Europe"
"894" "1" "Russian" "Europe"
"895" "1" "Russian" "Europe"
"896" "1" "Russian" "Europe"
"897" "1" "Russian" "Europe"
"898" "2" "Russian" "Europe"
"899" "2" "Russian" "Europe"
"900" "1" "Russian" "Europe"
"901" "2" "Russian" "Europe"
"902" "2" "Russian" "Europe"
"903" "2" "Russian" "Europe"
"904" "1" "Mandenka" "Subsaharan Africa"
"905" "1" "Mandenka" "Subsaharan Africa"
"906" "1" "Mandenka" "Subsaharan Africa"
"907" "1" "Mandenka" "Subsaharan Africa"
"908" "1" "Mandenka" "Subsaharan Africa"
"909" "2" "Mandenka" "Subsaharan Africa"
"910" "2" "Mandenka" "Subsaharan Africa"
"911" "1" "Mandenka" "Subsaharan Africa"
"912" "1" "Mandenka" "Subsaharan Africa"
"913" "1" "Mandenka" "Subsaharan Africa"
"914" "2" "Mandenka" "Subsaharan Africa"
"915" "2" "Mandenka" "Subsaharan Africa"
"916" "2" "Mandenka" "Subsaharan Africa"
"917" "2" "Mandenka" "Subsaharan Africa"
"918" "2" "Mandenka" "Subsaharan Africa"
"919" "1" "Mandenka" "Subsaharan Africa"
"920" "2" "Yoruba" "Subsaharan Africa"
"921" "1" "Yoruba" "Subsaharan Africa"
"922" "2" "Yoruba" "Subsaharan Africa"
"923" "1" "Yoruba" "Subsaharan Africa"
"924" "2" "Yoruba" "Subsaharan Africa"
"925" "2" "Yoruba" "Subsaharan Africa"
"926" "2" "Yoruba" "Subsaharan Africa"
"927" "1" "Yoruba" "Subsaharan Africa"
"928" "2" "Yoruba" "Subsaharan Africa"
"929" "1" "Yoruba" "Subsaharan Africa"
"930" "1" "Yoruba" "Subsaharan Africa"
"931" "1" "Yoruba" "Subsaharan Africa"
"932" "1" "Yoruba" "Subsaharan Africa"
"933" "2" "Yoruba" "Subsaharan Africa"
"934" "2" "Yoruba" "Subsaharan Africa"
"935" "2" "Yoruba" "Subsaharan Africa"
"936" "1" "Yoruba" "Subsaharan Africa"
"937" "1" "Yoruba" "Subsaharan Africa"
"938" "2" "Yoruba" "Subsaharan Africa"
"939" "2" "Yoruba" "Subsaharan Africa"
"940" "1" "Yoruba" "Subsaharan Africa"
"941" "1" "Yoruba" "Subsaharan Africa"
"942" "1" "Yoruba" "Subsaharan Africa"
"943" "1" "Yoruba" "Subsaharan Africa"
"944" "1" "Yoruba" "Subsaharan Africa"
"945" "1" "Yakut" "Asia"
"946" "1" "Yakut" "Asia"
"947" "1" "Yakut" "Asia"
"948" "1" "Yakut" "Asia"
"949" "1" "Yakut" "Asia"
"950" "1" "Yakut" "Asia"
"951" "1" "Yakut" "Asia"
"952" "1" "Yakut" "Asia"
"953" "1" "Yakut" "Asia"
"954" "1" "Yakut" "Asia"
"955" "1" "Yakut" "Asia"
"956" "1" "Yakut" "Asia"
"957" "1" "Yakut" "Asia"
"958" "1" "Yakut" "Asia"
"959" "1" "Yakut" "Asia"
"960" "1" "Yakut" "Asia"
"961" "1" "Yakut" "Asia"
"962" "1" "Yakut" "Asia"
"963" "1" "Yakut" "Asia"
"964" "1" "Yakut" "Asia"
"965" "1" "Yakut" "Asia"
"966" "1" "Yakut" "Asia"
"967" "1" "Yakut" "Asia"
"968" "1" "Yakut" "Asia"
"969" "1" "Yakut" "Asia"
"970" "2" "Columbian" "America"
"971" "1" "Han" "Asia"
"972" "2" "Han" "Asia"
"973" "1" "Han" "Asia"
"974" "2" "Han" "Asia"
"975" "2" "Han" "Asia"
"976" "2" "Han" "Asia"
"977" "1" "Han" "Asia"
"978" "2" "Melanesian" "Oceania"
"979" "2" "Melanesian" "Oceania"
"980" "1" "Biaka Pygmies" "Subsaharan Africa"
"981" "1" "Biaka Pygmies" "Subsaharan Africa"
"982" "1" "Mbuti Pygmies" "Subsaharan Africa"
"983" "1" "Mbuti Pygmies" "Subsaharan Africa"
"984" "1" "Mbuti Pygmies" "Subsaharan Africa"
"985" "1" "Biaka Pygmies" "Subsaharan Africa"
"986" "1" "Biaka Pygmies" "Subsaharan Africa"
"987" "1" "San" "Subsaharan Africa"
"988" "1" "San" "Subsaharan Africa"
"991" "1" "San" "Subsaharan Africa"
"992" "1" "San" "Subsaharan Africa"
"993" "1" "Bantu" "Asia"
"994" "1" "Bantu" "Asia"
"995" "2" "Karitiana" "America"
"996" "2" "Karitiana" "America"
"997" "1" "Karitiana" "America"
"998" "1" "Karitiana" "America"
"999" "2" "Karitiana" "America"
"1000" "1" "Karitiana" "America"
"1001" "2" "Karitiana" "America"
"1003" "2" "Karitiana" "America"
"1004" "1" "Karitiana" "America"
"1005" "1" "Karitiana" "America"
"1006" "2" "Karitiana" "America"
"1007" "2" "Karitiana" "America"
"1008" "2" "Karitiana" "America"
"1009" "1" "Karitiana" "America"
"1010" "2" "Karitiana" "America"
"1011" "2" "Karitiana" "America"
"1012" "1" "Karitiana" "America"
"1013" "1" "Karitiana" "America"
"1014" "2" "Karitiana" "America"
"1015" "1" "Karitiana" "America"
"1016" "2" "Karitiana" "America"
"1017" "2" "Karitiana" "America"
"1018" "2" "Karitiana" "America"
"1019" "1" "Karitiana" "America"
"1021" "2" "Han" "Asia"
"1022" "2" "Han" "Asia"
"1023" "2" "Han" "Asia"
