"id" "sex" "population" "region"
"124" "208" "1" "Sindhi" "Asia"
"125" "210" "2" "Sindhi" "Asia"
"126" "213" "1" "Pathan" "Asia"
"127" "214" "1" "Pathan" "Asia"
"128" "216" "1" "Pathan" "Asia"
"129" "218" "1" "Pathan" "Asia"
"130" "220" "1" "Pathan" "Asia"
"131" "222" "1" "Pathan" "Asia"
"132" "224" "1" "Pathan" "Asia"
"133" "226" "1" "Pathan" "Asia"
"134" "228" "1" "Pathan" "Asia"
"135" "230" "1" "Pathan" "Asia"
"136" "232" "2" "Pathan" "Asia"
"137" "234" "1" "Pathan" "Asia"
"138" "237" "2" "Pathan" "Asia"
"139" "239" "2" "Pathan" "Asia"
"140" "241" "1" "Pathan" "Asia"
"141" "243" "1" "Pathan" "Asia"
"142" "244" "2" "Pathan" "Asia"
"143" "247" "2" "Pathan" "Asia"
"144" "248" "1" "Pathan" "Asia"
"145" "251" "1" "Pathan" "Asia"
"146" "254" "1" "Pathan" "Asia"
"147" "258" "1" "Pathan" "Asia"
"148" "259" "1" "Pathan" "Asia"
"149" "262" "1" "Pathan" "Asia"
"150" "264" "1" "Pathan" "Asia"
"151" "267" "1" "Kalash" "Asia"
"152" "274" "2" "Kalash" "Asia"
"153" "277" "1" "Kalash" "Asia"
"154" "279" "1" "Kalash" "Asia"
"155" "281" "1" "Kalash" "Asia"
"156" "285" "1" "Kalash" "Asia"
"157" "286" "2" "Kalash" "Asia"
"158" "288" "1" "Kalash" "Asia"
"159" "290" "1" "Kalash" "Asia"
"160" "292" "1" "Kalash" "Asia"
"161" "298" "2" "Kalash" "Asia"
"162" "302" "1" "Kalash" "Asia"
"163" "304" "2" "Kalash" "Asia"
"164" "307" "1" "Kalash" "Asia"
"165" "309" "1" "Kalash" "Asia"
"166" "311" "1" "Kalash" "Asia"
"167" "313" "1" "Kalash" "Asia"
"168" "315" "1" "Kalash" "Asia"
"169" "319" "1" "Kalash" "Asia"
"170" "321" "1" "Kalash" "Asia"
"171" "323" "2" "Kalash" "Asia"
"172" "326" "1" "Kalash" "Asia"
"173" "328" "1" "Kalash" "Asia"
"174" "330" "1" "Kalash" "Asia"
"175" "333" "1" "Kalash" "Asia"
"176" "336" "2" "Burusho" "Asia"
"177" "338" "2" "Burusho" "Asia"
"178" "341" "1" "Burusho" "Asia"
"179" "346" "1" "Burusho" "Asia"
"180" "351" "1" "Burusho" "Asia"
"181" "356" "2" "Burusho" "Asia"
"182" "359" "1" "Burusho" "Asia"
"183" "364" "1" "Burusho" "Asia"
"184" "371" "2" "Burusho" "Asia"
"185" "372" "1" "Burusho" "Asia"
"186" "376" "1" "Burusho" "Asia"
"187" "382" "1" "Burusho" "Asia"
"188" "388" "1" "Burusho" "Asia"
"189" "392" "1" "Burusho" "Asia"
"190" "397" "1" "Burusho" "Asia"
"191" "402" "1" "Burusho" "Asia"
"192" "407" "1" "Burusho" "Asia"
"193" "412" "1" "Burusho" "Asia"
"194" "417" "1" "Burusho" "Asia"
"195" "423" "1" "Burusho" "Asia"
"196" "428" "1" "Burusho" "Asia"
"197" "433" "1" "Burusho" "Asia"
"198" "438" "1" "Burusho" "Asia"
"199" "444" "2" "Burusho" "Asia"
"200" "445" "1" "Burusho" "Asia"
"201" "448" "1" "Biaka Pygmies" "Subsaharan Africa"
"202" "449" "1" "Mbuti Pygmies" "Subsaharan Africa"
"203" "450" "1" "Mbuti Pygmies" "Subsaharan Africa"
"204" "451" "1" "Biaka Pygmies" "Subsaharan Africa"
"205" "452" "1" "Biaka Pygmies" "Subsaharan Africa"
"206" "453" "1" "Biaka Pygmies" "Subsaharan Africa"
"207" "454" "1" "Biaka Pygmies" "Subsaharan Africa"
"208" "455" "1" "Biaka Pygmies" "Subsaharan Africa"
"209" "456" "1" "Mbuti Pygmies" "Subsaharan Africa"
"210" "457" "1" "Biaka Pygmies" "Subsaharan Africa"
"211" "458" "1" "Biaka Pygmies" "Subsaharan Africa"
"212" "459" "1" "Biaka Pygmies" "Subsaharan Africa"
"213" "460" "1" "Biaka Pygmies" "Subsaharan Africa"
"214" "461" "1" "Biaka Pygmies" "Subsaharan Africa"
"215" "462" "1" "Mbuti Pygmies" "Subsaharan Africa"
"216" "463" "1" "Mbuti Pygmies" "Subsaharan Africa"
"217" "464" "1" "Biaka Pygmies" "Subsaharan Africa"
"218" "465" "1" "Biaka Pygmies" "Subsaharan Africa"
"219" "466" "1" "Biaka Pygmies" "Subsaharan Africa"
"220" "467" "1" "Mbuti Pygmies" "Subsaharan Africa"
"221" "468" "1" "Mbuti Pygmies" "Subsaharan Africa"
"222" "469" "1" "Biaka Pygmies" "Subsaharan Africa"
"223" "470" "1" "Biaka Pygmies" "Subsaharan Africa"
"224" "471" "1" "Mbuti Pygmies" "Subsaharan Africa"
"225" "472" "1" "Biaka Pygmies" "Subsaharan Africa"
"226" "473" "1" "Biaka Pygmies" "Subsaharan Africa"
"227" "474" "1" "Mbuti Pygmies" "Subsaharan Africa"
"228" "475" "1" "Biaka Pygmies" "Subsaharan Africa"
"229" "476" "1" "Mbuti Pygmies" "Subsaharan Africa"
"230" "477" "1" "Biaka Pygmies" "Subsaharan Africa"
"231" "478" "1" "Mbuti Pygmies" "Subsaharan Africa"
"232" "479" "1" "Biaka Pygmies" "Subsaharan Africa"
"233" "490" "1" "Melanesian" "Oceania"
"234" "491" "1" "Melanesian" "Oceania"
"235" "511" "1" "French" "Europe"
"236" "512" "1" "French" "Europe"
"237" "513" "2" "French" "Europe"
"238" "514" "2" "French" "Europe"
"239" "515" "1" "French" "Europe"
"240" "516" "2" "French" "Europe"
"241" "517" "2" "French" "Europe"
"242" "518" "1" "French" "Europe"
"243" "519" "1" "French" "Europe"
"244" "520" "2" "French" "Europe"
"245" "521" "1" "French" "Europe"
"246" "522" "1" "French" "Europe"
"247" "523" "2" "French" "Europe"
"248" "524" "2" "French" "Europe"
"249" "525" "1" "French" "Europe"
"250" "526" "2" "French" "Europe"
"251" "527" "2" "French" "Europe"
"252" "528" "1" "French" "Europe"
"253" "529" "2" "French" "Europe"
"254" "530" "1" "French" "Europe"
"255" "531" "2" "French" "Europe"
"256" "532" "2" "French" "Europe"
"257" "533" "1" "French" "Europe"
"258" "534" "2" "French" "Europe"
"259" "535" "2" "French" "Europe"
"260" "536" "2" "French" "Europe"
"261" "537" "2" "French" "Europe"
"262" "538" "1" "French" "Europe"
"263" "539" "2" "French" "Europe"
"264" "540" "1" "New Guinea" "Oceania"
"265" "541" "1" "New Guinea" "Oceania"
"266" "542" "1" "New Guinea" "Oceania"
"267" "543" "1" "New Guinea" "Oceania"
"268" "544" "2" "New Guinea" "Oceania"
"269" "545" "1" "New Guinea" "Oceania"
"270" "546" "1" "New Guinea" "Oceania"
"271" "547" "1" "New Guinea" "Oceania"
"272" "548" "1" "New Guinea" "Oceania"
"273" "549" "1" "New Guinea" "Oceania"
"274" "550" "1" "New Guinea" "Oceania"
"275" "551" "1" "New Guinea" "Oceania"
"276" "552" "2" "New Guinea" "Oceania"
"277" "553" "1" "New Guinea" "Oceania"
"278" "554" "2" "New Guinea" "Oceania"
"279" "555" "1" "New Guinea" "Oceania"
"280" "556" "1" "New Guinea" "Oceania"
"281" "557" "2" "Druze" "Middle East"
"282" "558" "2" "Druze" "Middle East"
"283" "559" "2" "Druze" "Middle East"
"284" "560" "2" "Druze" "Middle East"
"285" "561" "2" "Druze" "Middle East"
"286" "562" "1" "Druze" "Middle East"
"287" "563" "2" "Druze" "Middle East"
"288" "564" "2" "Druze" "Middle East"
"289" "565" "2" "Druze" "Middle East"
"290" "566" "2" "Druze" "Middle East"
"291" "567" "2" "Druze" "Middle East"
"292" "568" "2" "Druze" "Middle East"
"293" "569" "2" "Druze" "Middle East"
"294" "570" "2" "Druze" "Middle East"
"295" "571" "2" "Druze" "Middle East"
"296" "572" "2" "Druze" "Middle East"
"297" "573" "2" "Druze" "Middle East"
"298" "574" "2" "Druze" "Middle East"
"299" "575" "2" "Druze" "Middle East"
"300" "576" "1" "Druze" "Middle East"
"301" "577" "2" "Druze" "Middle East"
"302" "578" "2" "Druze" "Middle East"
"303" "579" "2" "Druze" "Middle East"
"304" "580" "1" "Druze" "Middle East"
"305" "581" "2" "Druze" "Middle East"
"306" "582" "2" "Druze" "Middle East"
"307" "583" "2" "Druze" "Middle East"
"308" "584" "2" "Druze" "Middle East"
"309" "585" "2" "Druze" "Middle East"
"310" "586" "2" "Druze" "Middle East"
"311" "587" "2" "Druze" "Middle East"
"312" "588" "1" "Druze" "Middle East"
"313" "589" "2" "Druze" "Middle East"
"314" "590" "2" "Druze" "Middle East"
"315" "591" "2" "Druze" "Middle East"
"316" "592" "2" "Druze" "Middle East"
"317" "594" "1" "Druze" "Middle East"
"318" "595" "1" "Druze" "Middle East"
"319" "597" "1" "Druze" "Middle East"
"320" "598" "1" "Druze" "Middle East"
"321" "599" "1" "Druze" "Middle East"
"322" "600" "1" "Druze" "Middle East"
"323" "601" "1" "Druze" "Middle East"
"324" "602" "1" "Druze" "Middle East"
"325" "603" "1" "Druze" "Middle East"
"326" "604" "1" "Druze" "Middle East"
"327" "605" "1" "Druze" "Middle East"
"328" "606" "1" "Druze" "Middle East"
"329" "607" "2" "Bedouin" "Middle East"
"330" "608" "1" "Bedouin" "Middle East"
"331" "609" "1" "Bedouin" "Middle East"
"332" "610" "1" "Bedouin" "Middle East"
"333" "611" "1" "Bedouin" "Middle East"
"334" "612" "2" "Bedouin" "Middle East"
"335" "613" "2" "Bedouin" "Middle East"
"336" "614" "2" "Bedouin" "Middle East"
"337" "615" "2" "Bedouin" "Middle East"
"338" "616" "1" "Bedouin" "Middle East"
"339" "617" "1" "Bedouin" "Middle East"
"340" "618" "1" "Bedouin" "Middle East"
"341" "619" "1" "Bedouin" "Middle East"
"342" "620" "1" "Bedouin" "Middle East"
"343" "621" "1" "Bedouin" "Middle East"
"344" "622" "1" "Bedouin" "Middle East"
"345" "623" "1" "Bedouin" "Middle East"
"346" "624" "1" "Bedouin" "Middle East"
"347" "625" "1" "Bedouin" "Middle East"
"348" "626" "1" "Bedouin" "Middle East"
"349" "627" "1" "Bedouin" "Middle East"
"350" "628" "1" "Bedouin" "Middle East"
"351" "629" "1" "Bedouin" "Middle East"
"352" "630" "1" "Bedouin" "Middle East"
"353" "631" "1" "Bedouin" "Middle East"
"354" "632" "2" "Bedouin" "Middle East"
"355" "633" "2" "Bedouin" "Middle East"
"356" "634" "2" "Bedouin" "Middle East"
"357" "635" "2" "Bedouin" "Middle East"
"358" "636" "2" "Bedouin" "Middle East"
"359" "637" "2" "Bedouin" "Middle East"
"360" "638" "2" "Bedouin" "Middle East"
"361" "639" "1" "Bedouin" "Middle East"
"362" "640" "1" "Bedouin" "Middle East"
"363" "641" "1" "Bedouin" "Middle East"
"364" "642" "1" "Bedouin" "Middle East"
"365" "643" "2" "Bedouin" "Middle East"
"366" "644" "1" "Bedouin" "Middle East"
"367" "645" "1" "Bedouin" "Middle East"
"368" "646" "2" "Bedouin" "Middle East"
"369" "647" "2" "Bedouin" "Middle East"
"370" "648" "1" "Bedouin" "Middle East"
"371" "649" "2" "Bedouin" "Middle East"
"372" "650" "1" "Bedouin" "Middle East"
"373" "651" "2" "Bedouin" "Middle East"
"374" "652" "2" "Bedouin" "Middle East"
"375" "653" "2" "Bedouin" "Middle East"
"376" "654" "1" "Bedouin" "Middle East"
"377" "655" "1" "Melanesian" "Oceania"
"378" "656" "2" "Melanesian" "Oceania"
"379" "657" "2" "Melanesian" "Oceania"
"380" "658" "2" "Melanesian" "Oceania"
"381" "659" "2" "Melanesian" "Oceania"
"382" "660" "2" "Melanesian" "Oceania"
"383" "661" "2" "Melanesian" "Oceania"
"384" "662" "1" "Melanesian" "Oceania"
"385" "663" "2" "Melanesian" "Oceania"
"386" "664" "2" "Melanesian" "Oceania"
"387" "665" "1" "Sardinian" "Europe"
"388" "666" "1" "Sardinian" "Europe"
"389" "667" "2" "Sardinian" "Europe"
"390" "668" "1" "Sardinian" "Europe"
"391" "669" "2" "Sardinian" "Europe"
"392" "670" "1" "Sardinian" "Europe"
"393" "671" "1" "Sardinian" "Europe"
"394" "672" "2" "Sardinian" "Europe"
"395" "673" "2" "Sardinian" "Europe"
"396" "674" "1" "Sardinian" "Europe"
"397" "675" "1" "Palestinian" "Middle East"
"398" "676" "1" "Palestinian" "Middle East"
"399" "677" "1" "Palestinian" "Middle East"
"400" "678" "1" "Palestinian" "Middle East"
"401" "679" "2" "Palestinian" "Middle East"
"402" "680" "2" "Palestinian" "Middle East"
"403" "681" "2" "Palestinian" "Middle East"
"404" "682" "2" "Palestinian" "Middle East"
"405" "683" "2" "Palestinian" "Middle East"
"406" "684" "2" "Palestinian" "Middle East"
"407" "685" "2" "Palestinian" "Middle East"
"408" "686" "2" "Palestinian" "Middle East"
"409" "687" "2" "Palestinian" "Middle East"
"410" "688" "2" "Palestinian" "Middle East"
"411" "689" "2" "Palestinian" "Middle East"
"412" "690" "2" "Palestinian" "Middle East"
"413" "691" "2" "Palestinian" "Middle East"
"414" "692" "2" "Palestinian" "Middle East"
"415" "693" "2" "Palestinian" "Middle East"
"416" "694" "2" "Palestinian" "Middle East"
"417" "695" "2" "Palestinian" "Middle East"
"418" "696" "2" "Palestinian" "Middle East"
"419" "697" "2" "Palestinian" "Middle East"
"420" "698" "2" "Palestinian" "Middle East"
"421" "699" "2" "Palestinian" "Middle East"
"422" "700" "2" "Palestinian" "Middle East"
"423" "701" "2" "Bedouin" "Middle East"
"424" "702" "2" "Columbian" "America"
"425" "703" "1" "Columbian" "America"
"426" "704" "2" "Columbian" "America"
"427" "705" "1" "Columbian" "America"
"428" "706" "2" "Columbian" "America"
"429" "707" "1" "Columbian" "America"
"430" "708" "2" "Columbian" "America"
"431" "709" "1" "Columbian" "America"
"432" "710" "1" "Columbian" "America"
"433" "711" "1" "Cambodian" "Asia"
"434" "712" "2" "Cambodian" "Asia"
"435" "713" "2" "Cambodian" "Asia"
"436" "714" "1" "Cambodian" "Asia"
"437" "715" "1" "Cambodian" "Asia"
"438" "716" "1" "Cambodian" "Asia"
"439" "717" "1" "Cambodian" "Asia"
"440" "718" "2" "Cambodian" "Asia"
"441" "719" "2" "Cambodian" "Asia"
"442" "720" "1" "Cambodian" "Asia"
"443" "721" "2" "Cambodian" "Asia"
"444" "722" "1" "Palestinian" "Middle East"
"445" "723" "1" "Palestinian" "Middle East"
"446" "724" "1" "Palestinian" "Middle East"
"447" "725" "1" "Palestinian" "Middle East"
"448" "726" "1" "Palestinian" "Middle East"
"449" "727" "1" "Palestinian" "Middle East"
"450" "728" "1" "Palestinian" "Middle East"
"451" "729" "1" "Palestinian" "Middle East"
"452" "730" "1" "Palestinian" "Middle East"
"453" "731" "1" "Palestinian" "Middle East"
"454" "732" "1" "Palestinian" "Middle East"
"455" "733" "1" "Palestinian" "Middle East"
"456" "734" "1" "Palestinian" "Middle East"
"457" "735" "2" "Palestinian" "Middle East"
"458" "736" "2" "Palestinian" "Middle East"
"459" "737" "2" "Palestinian" "Middle East"
"460" "738" "2" "Palestinian" "Middle East"
"461" "739" "2" "Palestinian" "Middle East"
"462" "740" "2" "Palestinian" "Middle East"
"463" "741" "2" "Palestinian" "Middle East"
"464" "742" "2" "Palestinian" "Middle East"
"465" "743" "2" "Palestinian" "Middle East"
"466" "744" "2" "Palestinian" "Middle East"
"467" "745" "2" "Palestinian" "Middle East"
"468" "746" "2" "Palestinian" "Middle East"
"469" "747" "1" "Japanese" "Asia"
"470" "748" "1" "Japanese" "Asia"
"471" "749" "1" "Japanese" "Asia"
"472" "750" "1" "Japanese" "Asia"
"473" "751" "1" "Japanese" "Asia"
"474" "752" "1" "Japanese" "Asia"
"475" "753" "1" "Japanese" "Asia"
"476" "754" "2" "Japanese" "Asia"
"477" "755" "1" "Japanese" "Asia"
"478" "756" "2" "Japanese" "Asia"
"479" "757" "1" "Japanese" "Asia"
"480" "758" "1" "Japanese" "Asia"
"481" "759" "1" "Japanese" "Asia"
"482" "760" "2" "Japanese" "Asia"
"483" "761" "2" "Japanese" "Asia"
"484" "762" "1" "Japanese" "Asia"
"485" "763" "1" "Japanese" "Asia"
"486" "764" "1" "Japanese" "Asia"
"487" "765" "1" "Japanese" "Asia"
"488" "766" "1" "Japanese" "Asia"
"489" "767" "1" "Japanese" "Asia"
"490" "768" "1" "Japanese" "Asia"
"491" "769" "1" "Japanese" "Asia"
"492" "770" "1" "Japanese" "Asia"
"493" "771" "2" "Japanese" "Asia"
"494" "772" "2" "Japanese" "Asia"
"495" "773" "1" "Japanese" "Asia"
"496" "774" "1" "Han" "Asia"
"497" "775" "1" "Han" "Asia"
"498" "776" "2" "Han" "Asia"
"499" "777" "1" "Han" "Asia"
"500" "778" "1" "Han" "Asia"
"501" "779" "1" "Han" "Asia"
"502" "780" "1" "Han" "Asia"
"503" "781" "2" "Han" "Asia"
"504" "782" "1" "Han" "Asia"
"505" "783" "2" "Han" "Asia"
"506" "784" "2" "Han" "Asia"
"507" "785" "1" "Han" "Asia"
"508" "786" "1" "Han" "Asia"
"509" "787" "2" "Melanesian" "Oceania"
"510" "788" "1" "Melanesian" "Oceania"
"511" "789" "1" "Melanesian" "Oceania"
"512" "790" "1" "Japanese" "Asia"
"513" "791" "1" "Japanese" "Asia"
"514" "792" "1" "Columbian" "America"
"515" "793" "2" "Columbian" "America"
"516" "794" "2" "Orcadian" "Europe"
"517" "795" "1" "Orcadian" "Europe"
"518" "796" "2" "Orcadian" "Europe"
"519" "797" "2" "Orcadian" "Europe"
"520" "798" "1" "Orcadian" "Europe"
"521" "799" "2" "Orcadian" "Europe"
"522" "800" "2" "Orcadian" "Europe"
"523" "801" "2" "Orcadian" "Europe"
"524" "802" "2" "Orcadian" "Europe"
"525" "803" "1" "Orcadian" "Europe"
"526" "804" "1" "Orcadian" "Europe"
"527" "805" "2" "Orcadian" "Europe"
"528" "806" "2" "Orcadian" "Europe"
"529" "807" "1" "Orcadian" "Europe"
"530" "808" "1" "Orcadian" "Europe"
"531" "810" "1" "Orcadian" "Europe"
"532" "811" "2" "Han" "Asia"
"533" "812" "2" "Han" "Asia"
"534" "813" "2" "Han" "Asia"
"535" "814" "2" "Han" "Asia"
"536" "815" "1" "Han" "Asia"
"537" "817" "2" "Han" "Asia"
"538" "818" "2" "Han" "Asia"
"539" "819" "1" "Han" "Asia"
"540" "820" "2" "Han" "Asia"
"541" "821" "1" "Han" "Asia"
"542" "822" "1" "Han" "Asia"
"543" "823" "1" "Melanesian" "Oceania"
"544" "824" "1" "Melanesian" "Oceania"
"545" "825" "2" "Melanesian" "Oceania"
"546" "826" "2" "Melanesian" "Oceania"
"547" "827" "2" "Columbian" "America"
"548" "828" "2" "Japanese" "Asia"
"549" "830" "2" "Surui" "America"
"550" "832" "2" "Surui" "America"
"551" "833" "2" "Surui" "America"
"552" "834" "1" "Surui" "America"
"553" "835" "1" "Surui" "America"
"554" "837" "1" "Surui" "America"
"555" "838" "2" "Surui" "America"
"556" "839" "1" "Surui" "America"
"557" "840" "2" "Surui" "America"
"558" "841" "2" "Surui" "America"
"559" "842" "1" "Surui" "America"
"560" "843" "1" "Surui" "America"
"561" "844" "1" "Surui" "America"
"562" "845" "1" "Surui" "America"
"563" "846" "2" "Surui" "America"
"564" "847" "1" "Surui" "America"
"565" "848" "2" "Surui" "America"
"566" "849" "1" "Surui" "America"
"567" "850" "2" "Surui" "America"
"568" "851" "1" "Surui" "America"
"569" "852" "2" "Surui" "America"
"570" "854" "2" "Maya" "America"
"571" "855" "2" "Maya" "America"
"572" "856" "1" "Maya" "America"
"573" "857" "2" "Maya" "America"
"574" "858" "2" "Maya" "America"
"575" "859" "2" "Maya" "America"
"576" "860" "2" "Maya" "America"
"577" "861" "2" "Maya" "America"
"578" "862" "2" "Maya" "America"
"579" "863" "2" "Maya" "America"
"580" "864" "2" "Maya" "America"
"581" "865" "2" "Maya" "America"
"582" "866" "2" "Maya" "America"
"583" "867" "2" "Maya" "America"
"584" "868" "2" "Maya" "America"
"585" "869" "2" "Maya" "America"
"586" "870" "2" "Maya" "America"
"587" "871" "2" "Maya" "America"
"588" "872" "2" "Maya" "America"
"589" "873" "2" "Maya" "America"
"590" "874" "2" "Maya" "America"
"591" "875" "2" "Maya" "America"
"592" "876" "2" "Maya" "America"
"593" "877" "1" "Maya" "America"
"594" "878" "1" "Maya" "America"
"595" "879" "1" "Russian" "Europe"
"596" "880" "1" "Russian" "Europe"
"597" "881" "2" "Russian" "Europe"
"598" "882" "1" "Russian" "Europe"
"599" "883" "1" "Russian" "Europe"
"600" "884" "2" "Russian" "Europe"
"601" "885" "2" "Russian" "Europe"
"602" "886" "1" "Russian" "Europe"
"603" "887" "1" "Russian" "Europe"
"604" "888" "1" "Russian" "Europe"
"605" "889" "2" "Russian" "Europe"
"606" "890" "1" "Russian" "Europe"
"607" "891" "1" "Russian" "Europe"
"608" "892" "1" "Russian" "Europe"
"609" "893" "1" "Russian" "Europe"
"610" "894" "1" "Russian" "Europe"
"611" "895" "1" "Russian" "Europe"
"612" "896" "1" "Russian" "Europe"
"613" "897" "1" "Russian" "Europe"
"614" "898" "2" "Russian" "Europe"
"615" "899" "2" "Russian" "Europe"
"616" "900" "1" "Russian" "Europe"
"617" "901" "2" "Russian" "Europe"
"618" "902" "2" "Russian" "Europe"
"619" "903" "2" "Russian" "Europe"
"620" "904" "1" "Mandenka" "Subsaharan Africa"
"621" "905" "1" "Mandenka" "Subsaharan Africa"
"622" "906" "1" "Mandenka" "Subsaharan Africa"
"623" "907" "1" "Mandenka" "Subsaharan Africa"
"624" "908" "1" "Mandenka" "Subsaharan Africa"
"625" "909" "2" "Mandenka" "Subsaharan Africa"
"626" "910" "2" "Mandenka" "Subsaharan Africa"
"627" "911" "1" "Mandenka" "Subsaharan Africa"
"628" "912" "1" "Mandenka" "Subsaharan Africa"
"629" "913" "1" "Mandenka" "Subsaharan Africa"
"630" "914" "2" "Mandenka" "Subsaharan Africa"
"631" "915" "2" "Mandenka" "Subsaharan Africa"
"632" "916" "2" "Mandenka" "Subsaharan Africa"
"633" "917" "2" "Mandenka" "Subsaharan Africa"
"634" "918" "2" "Mandenka" "Subsaharan Africa"
"635" "919" "1" "Mandenka" "Subsaharan Africa"
"636" "920" "2" "Yoruba" "Subsaharan Africa"
"637" "921" "1" "Yoruba" "Subsaharan Africa"
"638" "922" "2" "Yoruba" "Subsaharan Africa"
"639" "923" "1" "Yoruba" "Subsaharan Africa"
"640" "924" "2" "Yoruba" "Subsaharan Africa"
