"reg" "x" "y"
"50" 52 222
"50" 42 242
"50" 14 219
"51" 35 204
"51" 31 193
"51" 10 185
"51" 14 219
"52" 10 185
"52" 23 156
"52" 35 169
"52" 31 193
"53" 60 148
"53" 65 165
"53" 62 173
"53" 55 175
"53" 35 169
"53" 23 156
"54" 52 119
"54" 63 138
"54" 60 148
"54" 23 156
"55" 181 148
"55" 179 152
"55" 158 161
"55" 152 159
"55" 145 144
"55" 155 132
"55" 163 129
"55" 170 131
"56" 136 185
"56" 137 167
"56" 152 159
"56" 158 161
"56" 161 171
"56" 148 185
"57" 145 144
"57" 152 159
"57" 137 167
"57" 123 158
"57" 124 153
"57" 137 144
"58" 122 129
"58" 127 129
"58" 137 144
"58" 124 153
"58" 114 140
"59" 132 188
"59" 117 188
"59" 113 165
"59" 123 158
"59" 137 167
"59" 136 185
"60" 91 178
"60" 94 162
"60" 97 161
"60" 113 165
"60" 117 188
"60" 112 190
"61" 124 153
"61" 123 158
"61" 113 165
"61" 97 161
"61" 102 140
"61" 114 140
"62" 94 162
"62" 86 158
"62" 76 138
"62" 82 135
"62" 102 140
"62" 97 161
"63" 65 165
"63" 60 148
"63" 63 138
"63" 76 138
"63" 86 158
"64" 80 189
"64" 77 188
"64" 62 173
"64" 65 165
"64" 86 158
"64" 94 162
"64" 91 178
"65" 77 188
"65" 66 201
"65" 49 197
"65" 55 175
"65" 62 173
"66" 38 204
"66" 35 204
"66" 31 193
"66" 35 169
"66" 55 175
"66" 49 197
"67" 100 121
"67" 102 140
"67" 82 135
"67" 85 123
"67" 94 118
"68" 64 108
"68" 85 123
"68" 82 135
"68" 76 138
"68" 63 138
"68" 52 119
"69" 360 37
"69" 368 13
"69" 330 17
"69" 345 44
"70" 301 21
"70" 285 42
"70" 312 48
"70" 315 45
"70" 321 17
"71" 264 96
"71" 248 88
"71" 256 66
"71" 279 60
"71" 272 94
"72" 188 107
"72" 192 83
"72" 208 76
"72" 213 103
"72" 190 110
"73" 203 61
"73" 180 63
"73" 178 78
"73" 192 83
"73" 208 76
"74" 203 61
"74" 180 63
"74" 172 54
"74" 195 35
"75" 172 54
"75" 165 51
"75" 160 27
"75" 195 35
"76" 154 59
"76" 135 44
"76" 160 27
"76" 165 51
"77" 151 74
"77" 143 79
"77" 122 63
"77" 135 44
"77" 154 59
"78" 143 79
"78" 141 82
"78" 115 95
"78" 104 86
"78" 122 63
"79" 146 104
"79" 138 111
"79" 116 103
"79" 115 95
"79" 141 82
"80" 165 51
"80" 172 54
"80" 180 63
"80" 178 78
"80" 169 82
"80" 151 74
"80" 154 59
"81" 146 104
"81" 141 82
"81" 143 79
"81" 151 74
"81" 169 82
"81" 170 101
"81" 162 107
"82" 170 101
"82" 188 107
"82" 192 83
"82" 178 78
"82" 169 82
"83" 189 113
"83" 190 110
"83" 213 103
"83" 217 133
"83" 200 134
"84" 189 113
"84" 200 134
"84" 191 144
"84" 181 148
"84" 170 131
"85" 189 113
"85" 170 131
"85" 163 129
"85" 162 107
"85" 170 101
"85" 188 107
"85" 190 110
"86" 162 107
"86" 163 129
"86" 155 132
"86" 139 118
"86" 138 111
"86" 146 104
"87" 122 129
"87" 112 116
"87" 116 103
"87" 138 111
"87" 139 118
"87" 127 129
"88" 115 95
"88" 116 103
"88" 112 116
"88" 100 121
"88" 94 118
"88" 89 93
"88" 104 86
"89" 64 108
"89" 85 123
"89" 94 118
"89" 89 93
"90" 137 144
"90" 127 129
"90" 139 118
"90" 155 132
"90" 145 144
"91" 114 140
"91" 122 129
"91" 112 116
"91" 100 121
"91" 102 140
