"T1" "T2" "T3" "T4" "T5" "T6" "T7" "T8" "T9" "T10" "T11" "T12" "T13" "T14" "T15" "T16" "T17" "T18" "T19" "T20" "T21" "T22" "T23" "T24" "T25" "T26" "T27" "T28" "T29" "T30" "T31" "T32" "T33" "T34" "T35" "T36" "T37" "T38" "T39" "T40" "T41" "T42" "T43" "T44" "T45" "T46" "T47" "T48" "T49" "T50" "T51" "T52" "T53" "T54" "T55" "T56" "T57" "T58" "T59" "T60" "T61" "T62" "T63" "T64"
0 0 0 7 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 3 0 0 2 0 0 0 0 0 1 0 0 4 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 4 3 1 0 0 1 3 1 0 1 0 0 0 7 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 1 1 0 2 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 1 0 1 2 0 0 3 1 0 0 0 0 1 0 0 4 1 0 0 0 1 2 0 0 0 0 0 10 7 0 0 0 0 0 1 0 0 0 0 1
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 4 5 2 0 0 1 0 0 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 1 8 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 8 1 0 0 2 2 0 1 0 0 0 0 0 0 0 0 2 2 0 0 0 2 2 0 0 1 1 1 0 7 2 10 1 0 2 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 1 0 0 0 4 0 0 0 0 0 0 0 0 3 1 0 2 0 2 2 1 1 1 0 0 0 10 3 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 3 0 0 1 0 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 4 0 0 0 10 10 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 1 0 0 2 0 0 0 0 0 0 0 0 5 2 0 1 0 2 1 1 1 1 0 0 0 2 0 10 1 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 2 2 0 2 1 0 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 0 1 0 10 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 1 1 0 2 0 0 0 1 0 0 0 2 2 0 0 0 0 1 0 0 4 3 0 0 0 1 2 0 0 2 0 0 0 6 0 0 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 2 2 0 0 3 0 0 0 0 0 1 0 0 4 3 0 1 0 2 2 1 2 1 1 0 0 2 1 0 2 0 0 0 1 0 2 0 0
0 0 0 0 4 0 0 2 1 0 0 0 2 0 0 0 0 0 0 0 2 0 3 1 0 0 0 1 0 0 2 0 0 0 0 0 2 0 0 2 1 0 1 1 2 3 1 1 0 1 0 0 3 2 0 1 0 0 0 0 0 0 0 3
0 0 0 0 0 1 0 1 2 0 0 0 2 0 0 1 1 2 0 0 0 0 3 0 0 0 0 2 0 0 2 0 0 0 0 0 1 0 0 3 3 0 1 0 2 2 0 0 0 2 0 0 2 10 0 3 0 0 0 10 2 0 0 0
0 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 0 1 0 0 0 0 4 0 0 0 0 3 0 0 5 0 0 1 1 0 0 0 0 2 2 1 1 0 1 2 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 1 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 2 0 0 0 0 0 2 2 1 0 0 1 1 0 0 0 1 0 0 7 0 0 0 0 1 0 0 0 0 2 1
0 0 1 6 0 0 1 0 2 0 1 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 4 0 0 3 0 0 2 2 1 0 0 0 2 3 1 0 1 1 3 1 1 1 1 0 0 1 0 0 2 0 0 0 0 0 0 1 0
0 0 1 0 1 0 1 0 2 0 1 0 2 0 0 0 1 2 0 0 0 0 2 0 0 0 0 1 0 1 2 0 0 3 4 1 0 2 0 2 2 3 0 0 4 1 0 0 0 0 2 0 2 10 0 0 0 1 0 0 1 0 1 0
0 0 1 0 0 0 0 0 1 0 2 0 0 0 0 1 1 2 0 0 0 0 0 2 2 0 0 3 1 0 2 0 0 1 1 1 1 1 0 2 2 1 0 0 0 2 0 2 1 0 0 0 4 10 1 1 0 0 0 0 0 0 0 0
0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 4 2 0 0 0 1 1 0 0 0 0 3 0 0 1 1 0 1 1 0 1 0 0 4 1 0 0 0 2 1 0 0 1 0 0 0 3 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 3 1 1 0 1 0 2 8 1 0 0 2 0 0 2 0 0 1 3 0 0 1 0 4 2 0 0 0 1 2 0 0 3 0 0 0 3 4 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 2 1 1 0 0 3 0 0 0 0 0 0 0 0 4 3 0 2 1 1 2 2 2 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 1 0 0 2 0 0 0 0 0 1 0 0 2 3 0 2 0 1 3 1 1 0 3 0 0 3 1 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 3 0 0 5 0 0 0 2 0 1 0 0 4 4 0 0 0 1 1 1 1 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 2 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 0 1 0 0 4 5 0 0 0 2 2 0 1 1 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 3 0 0 0 0 0 0 0 0 5 3 1 0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 2 0 0 0 0 4 2 0 1 0 0 1 0 0 0 2 0 0 6 0 0 0 0 0 0 0 0 0 0 0
0 0 2 5 1 0 0 0 0 2 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 4 4 1 0 0 1 2 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 1 0 4 3 2 0 0 2 3 1 0 1 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 8 0 0 0 1 0 0 0 0 1 0 0 2 1 0 0 0 0 1 0 0 1 1 1 0 0 4 0 0 0 1 0 0 0 3 1 0 1 0 1 0 0 0 0 0 1
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 2 0 0 0 0 0 0 0 0 3 2 1 0 0 2 2 0 0 0 0 4 0 2 0 2 2 3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 2 0 0 0 3 1 0 0 0 0 1 0 0 2 2 1 0 0 0 6 0 1 0 1 0 0 2 0 3 3 1 1 1 0 0 0 0 0
0 0 0 0 0 0 0 0 0 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 4 0 0 0 1 0 0 0 0 2 0 0 0 0 1 3 0 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 2 0 0 4 0 0 0 0 0 0 1 0 3 2 0 0 0 1 2 0 1 0 0 0 0 4 10 10 2 2 1 0 0 0 0 1 0
0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 10 0 0 0 0 3 0 0 2 4 0 0 4 0 0 0 0 0 3 0 0 3 8 0 7 0 3 2 0 0 1 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 4 0 0 0 0 0 1 0 0 3 1 0 0 0 0 2 0 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0
0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 6 1 0 0 1 0 1 0 0 5 2 0 0 0 1 3 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 2 1 0 0 6 2 0 0 0 0 1 1 1 4 6 0 0 0 3 3 0 2 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0
0 0 0 2 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 5 0 3 3 1 0 0 5 2 0 0 0 0 0 0 1 4 4 0 1 0 2 3 0 1 1 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 2 0 0 0 0 1 0 0 0 2 0 0 2 0 0 0 3 0 0 0 0 3 2 1 0 0 3 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 5 2 0 0 6 0 3 0 1 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 1 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0
0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 2 0 0 0 0 0 0 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 10 0 0 2 0 0 0 0 1 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 10 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 10 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 2 2 0 0 0 0 0 0 0 2 2 0 0 1 2 2 0 0 0 1 0 0 6 0 0 0 0 0 0 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 2 0 0 0 3 0 0 0 1 0 0 0 0 3 4 0 0 1 4 0 1 1 1 2 0 0 0 4 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 3 0 0 0 4 0 0 0 4 0 0 0 0 2 1 0 0 0 1 1 0 2 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 2 0 0 1 0 0 0 0 0 0 0 0 4 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 4 0 0 0 0 0 0 0 0 0 0 10 0 0 1 0 0 0 1 0 0 0 0 0 0 2 0 0 3 0 0 0 0 0 0 2 0 4 4 1 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 4 2 0 5 0 2 2 0 2 0 1 0 0 0 4 0 2 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 10 0 0 0 0 0 0 0 0 0 3 0 0 1 2 0 0 1 0 0 0 0 0 0 1 0 2 2 0 2 0 2 5 0 0 0 0 1 0 0 0 0 3 0 1 0 0 0 1 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 10 1 0 0 1 0 0 1 2 1 0 0 3 0 0 0 0 0 0 0 0 4 3 1 0 1 1 4 0 1 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 2 0 1 0 0 2 0 0 0 0 0 0 0 0 3 1 0 4 0 1 2 0 0 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 1 0 0 5 4 2 0 0 0 1 1 0 0 0 0 0 4 0 0 1 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 2 4 0 0 0 0 0 0 0 0 4 3 1 0 0 1 4 0 1 1 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 1 0 2 0 0 3 0 0 3 0 0 0 0 0 2 0 0 3 0 0 0 0 0 8 0 1 0 1 3 0 3 0 0 2 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 2 0 0 0 0 0 1 2 2 0 0 5 0 0 0 0 0 0 0 0 5 3 0 0 0 2 2 0 1 0 0 2 0 2 3 0 2 0 1 0 0 0 1 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 2 2 0 0 2 1 0 0 0 0 0 0 0 5 5 0 6 0 0 3 0 0 1 0 1 0 3 1 0 2 0 0 0 0 0 0 0 0
0 1 0 0 2 0 0 0 0 0 2 4 0 0 0 0 1 1 0 0 3 0 0 0 0 2 1 1 0 0 4 2 1 0 1 0 1 0 0 4 3 0 0 0 0 5 2 1 0 0 1 0 2 4 0 1 1 0 0 0 0 0 0 0
0 4 2 0 1 0 0 0 0 0 0 6 0 0 0 0 1 1 0 1 1 0 0 0 0 4 0 1 0 1 0 0 0 0 0 0 0 0 0 2 3 0 1 0 2 1 1 1 1 0 2 0 5 0 0 2 0 0 0 0 0 0 0 0
0 6 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 0 3 0 1 0 0 0 0 0 0 2 2 0 1 0 3 3 1 2 0 1 0 0 3 0 0 0 0 0 0 0 0 0 0 0
0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 2 1 1 0 0 0 0 0 0 4 2 0 2 0 6 6 1 3 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 3 1 1 0 0 3 2 1 1 0 0 1 3 3 1 0 4 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 3 0 0 0 3 2 0 0 0 0 0 0 0 2 4 1 0 0 2 4 1 0 0 4 2 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 3 0 0 0 0 2 0 0 0 1 0 1 2 0 0 1 0 1 3 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 3 0 0 3 0 1 0 2 1 0 4 0 0 0 0 0 1 0 0 3 1 0 6 0 0 2 0 1 1 1 1 0 4 0 0 3 1 1 5 0 3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 3 0 1 3 2 0 0 4 0 0 0 0 0 0 0 0 5 4 3 0 0 0 1 0 1 0 0 0 0 0 1 0 3 0 1 2 0 0 0 0 0
0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 1 1 1 0 0 2 0 0 0 0 0 0 0 0 3 3 3 3 1 0 4 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 1 4 2 0 0 3 1 0 0 0 0 0 0 0 4 3 3 0 2 1 1 1 0 0 4 0 0 0 2 0 0 0 0 0 4 0 0 0 0
1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 3 0 0 2 0 0 0 0 0 3 3 3 1 3 0 3 0 0 0 2 0 0 0 0 0 1 0 0 1 0 0 0 0 0
0 0 2 1 0 1 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 0 0 0 0 3 1 1 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 2 0 0 2 2 0 0 0 0 0 0 0 0 0 0
0 0 0 2 0 0 0 0 0 0 1 6 0 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 4 2 0 0 0 0 0 0 0 2 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 3 0 0 0 0 0 0 0 0 4 3 1 0 0 1 4 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
0 0 0 1 1 0 0 0 0 0 0 1 0 4 1 0 0 1 0 0 1 0 0 0 1 4 0 1 0 0 2 0 0 0 0 0 0 0 1 2 3 0 0 0 0 1 0 0 0 0 1 0 2 0 0 1 1 0 1 1 0 0 1 0
