"marknames" "allbyloc" "chromosome" "maposition"
"L104" "GATA5B02" 8 "4" 208
"L105" "ATA20G07Z" 12 "5" 0
"L106" "GATA145D10" 10 "5" 8
"L107" "GATA84E11" 15 "5" 14.3
"L108" "GATA3E10" 10 "5" 23
"L109" "GATA134B03" 9 "5" 36
"L110" "GATA7C06" 14 "5" 45
"L111" "GATA21D04" 12 "5" 59
"L112" "GATA67D03" 12 "5" 69
"L113" "GATA52A12" 17 "5" 85
"L114" "GATA89G08" 11 "5" 97.8
"L115" "GATA3H06" 12 "5" 105
"L116" "GATA68A03" 10 "5" 117
"L117" "GATA62A04" 15 "5" 130
"L118" "GATA2H09" 9 "5" 139
"L119" "ATA23A10" 12 "5" 147
"L120" "GATA6E05" 13 "5" 160
"L121" "GATA11A11" 14 "5" 175
"L122" "Mfd154" 14 "5" 182.9
"L123" "ATA52D02" 28 "5" 189.2
"L124" "164xb8" 15 "5" 195.5
"L125" "UT6540" 11 "6" 0
"L126" "SE30" 17 "6" 9
"L127" "ATC4D09" 4 "6" 22.1
"L128" "GATA29A01" 7 "6" 34
"L129" "GATA163B10" 13 "6" 42
"L130" "GATA61E03" 8 "6" 51
"L131" "GGAT3H10" 9 "6" 63
"L132" "GATA11E02" 10 "6" 73
"L133" "GATA64D02" 10 "6" 80
"L134" "ATA28B11" 11 "6" 89
"L135" "GATA68H04" 12 "6" 103
"L136" "ATA11D10" 12 "6" 112
"L137" "GATA31" 8 "6" 119
"L138" "GATA23F08" 8 "6" 129
"L139" "GATA32B03" 13 "6" 138
"L140" "GATA184A08" 14 "6" 146
"L141" "GATA165G02" 11 "6" 155
"L142" "242zg5" 18 "6" 166.4
"L143" "GATA81B01" 11 "6" 173
"L144" "ATA22G07" 11 "6" 187
"L145" "6QTEL54" 5 "6" 193.1
"L146" "035xb9" 18 "7" 0
"L147" "GATA24F03" 13 "7" 7
"L148" "GATA119B03" 9 "7" 17
"L149" "GATA137H02" 10 "7" 29
"L150" "GATA41G07" 12 "7" 33
"L151" "GGAA3F06" 12 "7" 42
"L152" "GATA13G11" 11 "7" 50
"L153" "GATA31A10" 8 "7" 58
"L154" "GATA24D12" 9 "7" 70
"L155" "GATA118G10" 19 "7" 79
"L156" "GATA73D10" 15 "7" 91
"L157" "GATA3F01" 16 "7" 98
"L158" "GATA5D08" 11 "7" 109
"L159" "GATA23F05" 12 "7" 114
"L160" "GGAA6D03" 13 "7" 128
"L161" "GATA43C11" 18 "7" 137
"L162" "GATA32C12" 12 "7" 150
"L163" "GATA104" 17 "7" 155
"L164" "GATA189C06" 14 "7" 163
"L165" "GATA30D09" 11 "7" 174
"L166" "Mfd265" 20 "7" 182
"L167" "127XH2" 10 "8" 4.3
"L168" "193XH4" 13 "8" 16.2
"L169" "GATA151F02" 17 "8" 27.4
"L170" "123xg5" 17 "8" 37
"L171" "127YE5" 21 "8" 43.4
"L172" "UT7129" 10 "8" 54
"L173" "GGAA20C10" 14 "8" 60
"L174" "GATA8G10" 14 "8" 67
"L175" "GGAA8G07" 10 "8" 78
"L176" "GATA41A01" 11 "8" 82
"L177" "GATA14E09" 9 "8" 94
"L178" "GATA8B01" 14 "8" 104
"L179" "GAAT1A4" 9 "8" 110
"L180" "GATA26E03" 14 "8" 119
"L181" "GATA6B02" 9 "8" 125
"L182" "GATA7G07" 11 "8" 135
"L183" "GATA21C12" 11 "8" 140
"L184" "GATA50D10" 9 "8" 154
"L185" "UT721" 11 "8" 164
"L186" "026TG9" 19 "9" 0
"L187" "345TA9" 24 "9" 8.4
"L188" "GATA62F03" 10 "9" 14
"L189" "GATA187D09" 9 "9" 21.9
"L190" "GATA27A11" 17 "9" 32
"L191" "GATA87E02" 15 "9" 44
"L192" "GATA71E08" 24 "9" 58.3
"L193" "GATA7D12" 14 "9" 66
"L194" "GATA89A11" 8 "9" 76
"L195" "GATA21F05" 9 "9" 80
"L196" "GATA81C04" 14 "9" 89
"L197" "ATA18A07" 10 "9" 104
"L198" "GGAA22E01" 12 "9" 111
"L199" "GATA48D07" 9 "9" 120
"L200" "GATA64G07" 12 "9" 128
"L201" "029xg1" 17 "9" 136.5
"L202" "ATA59H06Z" 13 "9" 147
"L203" "303zg9" 16 "9" 163.8
"L204" "GATA88F09" 14 "10" 4
"L205" "063xf4" 6 "10" 19
"L206" "ATA31G11" 9 "10" 28
"L207" "GATA84C01" 11 "10" 33
"L208" "GATA70E11" 10 "10" 46
"L209" "GATA73E11" 10 "10" 59
"L210" "ATA5A04" 12 "10" 63
"L211" "ATA21A03" 14 "10" 76
"L212" "ATA24F10" 10 "10" 81
"L213" "GATA121A08" 10 "10" 88
"L214" "GATA87G01" 11 "10" 94
"L215" "GGAT1A4" 9 "10" 101
"L216" "GATA115E01" 11 "10" 113
"L217" "GGAA2F11" 12 "10" 117
"L218" "GATA64A09" 10 "10" 125
"L219" "ATA103C06" 11 "10" 135
"L220" "GATA71C09" 8 "10" 137
"L221" "ATA29C03" 11 "10" 143
"L222" "ATA22D02" 11 "10" 156
"L223" "GGAA23C05" 14 "10" 165
"L224" "198zb4" 11 "10" 170.9
"L225" "GGAA17G05" 18 "11" 2
"L226" "ATA33B03Z" 13 "11" 9
"L227" "GATA23F06" 10 "11" 17
"L228" "GATA48E02" 14 "11" 21
"L229" "ATA34E08" 11 "11" 33
"L230" "GATA6B09" 11 "11" 43
"L231" "ATA1B07" 12 "11" 54
"L232" "ATA9B04" 8 "11" 58
"L233" "GATA12F04" 20 "11" 58
"L234" "GATA63F09" 10 "11" 58
"L235" "GATA46A12" 9 "11" 59
"L236" "GATA90D07" 10 "11" 76
"L237" "GATA30G01" 10 "11" 85
"L238" "GATA28D01" 25 "11" 101
"L239" "GGAA7G08" 23 "11" 105.7
"L240" "GATA23E06" 9 "11" 113
"L241" "GATA64D03" 11 "11" 123
"L242" "GATA117D01" 10 "11" 137.5
"L243" "UT2095" 15 "11" 142
"L244" "205VF10" 14 "11" 146.6
"L245" "GATA4H03" 11 "12" 6
"L246" "GATA49D12" 22 "12" 18
"L247" "Mfd259" 14 "12" 30.6
"L248" "GATA6C01" 9 "12" 36
"L249" "ATA27A06" 9 "12" 49
"L250" "GATA91H06" 9 "12" 56
"L251" "UT5029" 15 "12" 65
"L252" "GATA73H09" 13 "12" 78
"L253" "GATA26D02" 8 "12" 83
"L254" "GATA63D12" 14 "12" 95
"L255" "GATA85A04" 10 "12" 104
"L256" "PAH" 11 "12" 109
"L257" "ATA25F09" 8 "12" 125
"L258" "GATA4H01" 12 "12" 136.8
"L259" "GATA32F05" 10 "12" 150
"L260" "ATA29A06" 11 "12" 161
"L261" "002vd5" 11 "12" 168.9
"L262" "GATA23C03" 12 "13" 9
"L263" "ATA5A09" 10 "13" 20
"L264" "GGAA29H03" 12 "13" 26
"L265" "GATA86H01" 10 "13" 33
"L266" "GATA11C08" 9 "13" 47
"L267" "GATA64F08" 12 "13" 55
"L268" "GATA7G10" 9 "13" 64
"L269" "GATA43H03" 8 "13" 76
"L270" "ATA26D07" 10 "13" 83
"L271" "GATA51B02" 12 "13" 94
"L272" "GGAA22G01" 11 "13" 99
"L273" "309va9" 18 "13" 110.5
"L274" "GATA74E02Z" 11 "14" 12
"L275" "GATA31B09" 15 "14" 26
"L276" "GATA43H01" 11 "14" 28
"L277" "ATA29G03Z" 10 "14" 41
"L278" "GGAA10C09" 12 "14" 56
"L279" "ATA19H08" 11 "14" 67
"L280" "GGAA4A12" 10 "14" 76
"L281" "GATA30A03" 9 "14" 92
"L282" "GATA193A07" 14 "14" 96
"L283" "GGAA21G11" 11 "14" 106
"L284" "GATA168F06" 8 "14" 113
"L285" "GATA136B01" 19 "14" 126
"L286" "002zf1" 15 "14" 138.2
"L287" "273YF9" 14 "15" 6.1
"L288" "GATA88H02" 19 "15" 12
"L289" "248vc5" 20 "15" 20.2
"L290" "GATA50C03" 13 "15" 35
"L291" "GATA63A03" 16 "15" 43
"L292" "GATA50G06" 19 "15" 52
"L293" "GATA151F03" 8 "15" 60
"L294" "GATA85D02" 9 "15" 72
"L295" "ATA28G05" 10 "15" 83
"L296" "ATA24A08" 15 "15" 90
"L297" "GATA73F01" 10 "15" 101
"L298" "GATA197B10" 9 "15" 109
"L299" "GATA27A03" 16 "15" 122
"L300" "16PTEL06" 20 "16" 0.03
"L301" "ATA41E04" 11 "16" 11
"L302" "ATA3A07" 12 "16" 23
"L303" "GATA42E11" 9 "16" 29.9
"L304" "049xd2" 14 "16" 43.9
"L305" "GATA71H05" 8 "16" 51
"L306" "GGAA3G05" 12 "16" 58
"L307" "ATA55A11" 12 "16" 64
"L308" "GATA22F09" 12 "16" 72
"L309" "GATA138C05" 20 "16" 81.1
"L310" "GATA81D12" 8 "16" 88
"L311" "350VD1" 12 "16" 100.4
"L312" "249xc5" 21 "16" 111.1
"L313" "GATA11C06" 10 "16" 125
"L314" "GATA71F09" 10 "16" 130
"L315" "GTAT1A05" 7 "17" 1
"L316" "GAAT2C03" 5 "17" 11
"L317" "GATA8C04" 8 "17" 22
"L318" "ATA78D02" 10 "17" 32
"L319" "GATA185H04" 10 "17" 45
"L320" "GGAA9D03" 13 "17" 51
"L321" "GATA25A04" 11 "17" 62
"L322" "ATC6A06" 9 "17" 67
"L323" "GATA49C09" 18 "17" 82
"L324" "ATA43A10Z" 20 "17" 89
"L325" "GATA28D11" 10 "17" 100
"L326" "ATA58A02" 17 "17" 107
"L327" "044xg3" 15 "17" 116.9
"L328" "GATA178F11" 12 "18" 2.8
"L329" "ATA45G06" 10 "18" 7
"L330" "GATA185C06" 8 "18" 17
"L331" "ACT1A01" 8 "18" 28
"L332" "GATA11A06" 20 "18" 41
"L333" "GATA64H04" 9 "18" 54
"L334" "GATA13" 9 "18" 64
"L335" "GATA6D09" 12 "18" 75
"L336" "ATA23G05" 10 "18" 80
"L337" "ATA7D07" 11 "18" 89
"L338" "GATA7E12" 13 "18" 99
"L339" "ATA82B02" 12 "18" 107
"L340" "GATA177C03" 8 "18" 116
"L341" "18QTEL11" 15 "18" 126
"L342" "GATA44F10" 9 "19" 9.8
"L343" "GATA21G05" 17 "19" 21
"L344" "GATA23B01" 10 "19" 33
"L345" "GATA66B04" 10 "19" 42
"L346" "GGAA2A03" 17 "19" 52
"L347" "Mfd235" 6 "19" 59
"L348" "UT7544" 9 "19" 68
"L349" "Mfd232" 15 "19" 78
"L350" "GATA29B01" 9 "19" 88
"L351" "Mfd238" 14 "19" 101
"L352" "077xd3" 14 "20" 2.1
"L353" "GATA51D03" 9 "20" 12
"L354" "218yb5" 16 "20" 24.7
"L355" "GATA129B03" 9 "20" 36
"L356" "GATA29F06" 11 "20" 48
"L357" "GATA42A03" 13 "20" 54
"L358" "GATA47F05" 11 "20" 62
"L359" "UT1307" 20 "20" 69.5
"L360" "GATA45B10" 9 "20" 80
"L361" "UT254" 19 "20" 90
"L362" "UT1772" 11 "20" 101
"L363" "GATA11C12" 15 "21" 3
"L364" "GGAA3C07" 12 "21" 13
"L365" "GATA129D11" 12 "21" 25
"L366" "ATA27F01" 11 "21" 37
"L367" "GATA188F04" 24 "21" 40
"L368" "UT1355" 16 "21" 55.6
"L369" "GATA70B08" 14 "21" 57.8
"L370" "GATA198B05" 13 "22" 2
"L371" "GGAA10F06" 12 "22" 13.6
"L372" "Mfd313" 17 "22" 19
"L373" "GATA21F03" 14 "22" 29
"L374" "GATA11B12" 32 "22" 36
"L375" "ATA37D06" 10 "22" 43
"L376" "UT7136" 9 "22" 53
"L377" "337zh9" 11 "22" 58.8
"L378" "GATA124B04" 21 "23" 8.8
"L379" "GATA175D03" 11 "23" 22
"L380" "ATA28C05" 8 "23" 37.4
"L381" "GATA124E07" 15 "23" 39.5
"L382" "238yc11L" 14 "23" 53
"L383" "GATA69C12" 7 "23" 63.6
"L384" "GATA144D04" 15 "23" 71.3
"L385" "150xf10" 17 "23" 82.1
"L386" "GATA72E05" 11 "23" 83
"L387" "GATA31D10" 8 "23" 93
"L388" "224zg11" 9 "23" 96.9
"L389" "GATA31F01" 13 "23" 104
"L390" "ATA31E12" 10 "23" 111.8
"L391" "GATA172D05" 10 "23" 116
"L392" "GATA165B12" 8 "23" 133
"L393" "GATA31E08" 10 "23" 154
"L394" "GATA100G03" 16 "23" 165
"L395" "GATA2A12" 9 "24" 0
"L396" "GGAT3F08" 11 "24" 4
"L397" "SDF1" 14 "24" 184
"L398" "GATA30F10" 7 "25" 0
"L399" "GATA32C10" 5 "25" 0
"L400" "GATA31E10" 7 "25" 0
"L401" "GATA30F10A" 9 "25" 0
"L402" "GATA81D05" 6 "25" 0
"L403" "ATA10F11" 8 "25" 0
"L404" "ATA25F04" 9 "25" 0
