"PRAD" "PNAD" "PRAA" "PNAA" "PRDA" "PNDA" "PRLI" "PRINF" "PNINF" "PRSUP" "PNSUP" "PNO" "PNPERIOP" "PRD" "PND"
20 70 14 17 42 55 13 29 45 35 97 17 7 15 20
10 22 6 6 15 15 6 16 11 9 32 6 3 2 15
8 18 9 11 11 15 7 13 8 8 36 4 3 4 15
10 16 8 0 12 12 9 15 5 6 23 3 3 5 10
13 49 15 10 28 40 10 26 25 19 88 30 7 13 30
9 65 8 32 11 83 8 16 79 4 100 20 6 7 30
6 20 7 5 9 24 3 14 11 5 38 2 3 0 10
5 14 5 7 7 15 2 14 6 1 29 5 3 1 10
4 14 5 3 10 9 2 12 8 5 17 3 3 5 10
6 20 6 6 10 11 9 10 8 3 27 3 3 0 10
6 30 8 4 15 14 8 10 16 11 32 6 3 4 15
7 35 6 5 14 39 7 15 21 5 57 7 3 3 25
11 61 7 34 23 87 11 20 78 10 104 22 6 14 30
9 47 10 21 20 48 11 19 37 9 68 13 4 11 20
6 24 6 9 12 20 5 14 8 5 45 5 3 7 10
5 23 8 3 12 17 9 10 10 6 33 3 3 0 10
7 9 5 6 10 9 12 9 5 1 19 2 2 2 10
7 24 4 6 9 24 9 8 7 3 47 1 2 9 10
10 13 7 7 12 20 8 15 2 6 38 2 2 10 7
13 56 15 16 21 46 11 22 40 16 77 14 5 9 25
3 14 4 4 7 13 9 4 9 1 22 1 3 4 5
9 25 4 8 12 23 4 12 12 9 44 3 3 3 10
11 25 6 3 14 17 11 14 3 6 42 4 3 7 10
2 47 7 10 11 24 5 13 20 2 60 6 3 1 10
1 26 4 6 10 20 3 9 10 3 39 4 4 0 10
3 22 5 4 12 11 3 13 10 4 27 3 2 2 15
11 19 9 9 16 20 8 18 12 10 36 4 4 3 10
7 105 8 47 16 130 11 15 111 5 171 36 7 5 40
12 92 18 47 29 118 14 22 99 23 158 32 6 8 40
8 91 8 50 13 114 8 13 106 8 146 25 6 3 40
6 91 11 38 23 114 10 18 84 12 159 33 6 3 45
6 65 8 28 13 77 12 10 91 5 79 26 4 0 35
10 84 11 53 22 116 13 20 89 10 164 34 4 6 35
7 111 14 47 29 127 10 24 135 16 149 31 6 8 50
7 94 7 36 19 122 10 16 103 7 149 24 6 2 50
4 15 4 3 10 8 8 10 8 0 17 1 3 4 10
6 76 14 13 20 83 14 18 73 8 97 16 7 7 35
5 21 4 3 8 17 6 7 9 4 32 4 3 0 15
12 66 8 11 15 80 10 18 67 7 90 19 6 7 35
0 113 1 28 3 94 4 0 120 0 112 31 5 1 35
5 18 4 6 9 15 6 12 10 0 27 8 3 0 20
8 10 7 5 11 8 10 13 5 3 18 3 3 0 15
10 29 15 9 21 29 7 24 28 15 37 10 5 13 10
9 15 5 6 9 15 9 11 3 3 33 3 3 4 15
4 62 9 10 10 54 9 10 50 4 74 17 6 1 35
4 44 3 17 11 42 10 7 36 1 67 14 6 4 25
3 90 3 19 10 90 7 5 86 4 112 15 8 2 40
8 15 5 5 14 15 8 12 8 7 27 1 3 2 15
0 87 3 38 5 82 5 2 82 1 123 19 6 1 40
7 28 6 5 17 25 9 14 20 7 38 4 5 7 10
7 62 8 13 15 75 9 11 74 10 76 15 4 5 30
4 19 3 10 9 15 6 8 12 2 31 10 3 0 10
11 23 11 11 12 40 10 17 20 7 54 11 4 10 25
1 58 3 19 6 78 7 1 67 2 85 17 7 0 30
3 105 3 35 4 101 5 3 107 2 132 21 6 1 40
30 25 7 18 17 54 8 14 50 32 46 13 5 7 15
8 20 3 3 7 13 4 13 10 1 25 3 3 1 20
4 34 4 20 9 43 8 9 38 0 57 9 6 4 25
8 9 5 2 10 10 6 15 1 2 19 5 3 1 15
10 47 9 5 20 40 9 18 37 12 54 15 6 6 20
9 26 6 6 10 21 9 11 15 5 37 5 3 0 10
4 31 8 15 11 43 8 12 36 3 52 10 4 6 10
12 9 13 2 19 6 8 20 5 16 12 4 3 5 20
4 9 4 2 7 7 6 7 6 2 12 1 2 0 10
3 58 6 10 10 56 9 8 49 2 75 17 5 0 10
10 61 6 13 13 46 14 10 50 5 69 10 3 4 10
3 65 9 18 10 69 6 8 47 8 103 20 4 3 30
14 48 8 17 21 72 7 20 37 16 98 13 4 4 20
15 21 10 6 19 22 10 20 14 14 34 7 3 18 10
10 6 5 2 13 7 9 14 2 5 13 2 3 5 15
0 31 0 16 0 49 0 0 20 0 67 16 4 0 20
8 15 12 6 20 10 12 15 3 13 28 2 3 8 15
4 89 8 35 16 109 12 11 81 5 139 17 4 0 3
13 59 23 16 40 60 11 35 43 30 90 14 4 15 20
18 61 23 22 36 86 12 40 48 25 119 17 4 10 20
10 12 5 5 15 15 9 16 4 5 26 2 3 6 15
7 32 13 9 19 25 8 18 9 13 52 4 3 3 10
7 19 5 3 13 16 9 13 5 3 31 5 3 0 25
8 45 8 8 23 38 10 19 26 10 63 11 4 6 30
11 17 8 6 22 10 7 30 7 4 25 6 3 6 20
5 13 4 4 9 14 9 8 6 1 25 2 3 7 10
3 32 0 7 5 33 2 4 29 2 43 6 5 0 15
5 73 16 22 17 110 12 16 83 10 120 10 5 0 25
10 21 8 14 15 34 10 16 10 7 59 7 3 7 15
3 30 5 13 9 48 10 6 39 1 52 8 4 0 15
5 32 10 15 14 37 9 12 16 8 68 7 3 0 20
6 22 6 2 13 18 9 12 10 4 32 6 3 4 25
13 62 18 26 32 86 12 29 57 22 116 17 6 1 20
6 29 5 8 14 29 8 12 11 5 53 8 3 1 15
12 30 15 5 25 40 12 27 23 13 51 4 3 15 15
5 13 1 6 9 18 5 9 8 1 29 4 3 9 10
1 16 4 3 6 16 3 5 14 3 17 5 3 0 10
5 9 6 5 10 7 9 11 3 1 17 0 3 1 15
9 30 11 10 12 41 7 15 23 10 58 15 4 1 15
10 13 7 3 11 8 6 12 1 10 23 0 3 0 10
8 67 8 16 12 50 13 11 52 4 81 15 4 8 30
6 56 6 14 15 51 11 11 37 5 84 23 4 3 40
4 17 1 8 4 22 2 4 4 3 41 9 3 1 20
10 10 13 0 6 2 10 14 5 5 7 14 3 4 20
18 50 9 1 26 21 12 25 30 16 42 25 5 16 25
8 14 9 2 10 14 7 15 6 5 23 3 3 0 25
8 57 8 5 11 43 11 14 35 2 70 19 5 7 30
12 41 11 10 23 36 12 17 35 17 50 18 4 7 25
7 36 6 20 16 44 13 15 26 1 73 14 4 7 20
9 7 7 4 9 12 9 14 0 2 23 2 3 2 15
15 50 7 9 22 36 11 20 30 13 65 23 5 13 20
13 20 13 4 18 26 9 22 10 13 40 10 5 13 20
9 23 9 9 14 22 8 13 7 11 44 5 3 1 10
2 35 3 6 4 26 6 3 21 0 43 16 4 0 30
7 52 4 13 11 52 12 10 35 0 81 13 4 4 25
9 32 11 5 20 26 13 22 26 5 36 15 4 8 25
12 13 14 4 17 9 10 22 3 11 22 3 3 2 20
5 52 6 10 9 32 11 8 28 1 66 18 5 4 35
5 19 6 3 13 11 8 12 17 4 16 12 4 4 30
11 55 13 13 20 49 12 19 42 13 75 21 6 5 30
8 37 4 6 12 23 10 12 24 2 42 18 3 0 25
13 24 8 3 18 19 12 19 2 8 44 10 3 0 30
9 62 6 9 17 47 12 14 42 6 74 19 5 2 25
10 32 7 2 18 25 11 17 25 7 34 16 4 7 20
12 26 13 6 20 17 13 16 14 16 34 13 4 7 20
0 50 0 14 0 57 0 0 50 0 61 20 5 3 25
5 66 5 27 9 63 10 8 59 1 96 24 6 4 30
10 38 9 4 17 23 13 15 17 8 48 11 6 9 25
7 50 5 4 16 48 10 15 29 3 72 16 5 0 25
9 26 9 10 15 25 10 16 21 7 40 13 3 10 15
8 21 14 4 18 14 9 18 5 13 32 4 3 1 25
7 12 8 6 13 8 10 12 2 6 23 3 3 10 15
18 16 15 3 21 11 10 18 1 26 28 4 3 10 20
12 11 11 2 18 8 9 16 2 16 18 2 3 4 20
12 7 9 0 13 3 10 12 3 12 6 2 3 12 5
6 38 13 4 13 40 6 14 31 12 48 6 3 8 35
9 34 13 8 16 42 10 17 17 11 67 10 3 3 30
7 16 8 6 11 10 10 10 6 6 25 2 2 6 20
11 10 10 3 14 7 9 16 0 10 20 2 4 14 15
8 12 7 3 8 11 9 10 4 4 22 1 3 10 15
3 65 4 24 10 71 9 7 61 1 97 7 3 8 30
4 30 5 14 14 42 9 10 17 4 68 3 4 0 45
11 5 8 2 13 3 9 16 0 7 10 1 3 10 5
6 17 6 8 12 15 12 9 6 3 33 8 3 2 35
5 25 4 9 5 19 11 2 6 1 47 3 3 0 15
9 11 8 8 10 15 14 11 0 2 34 7 3 15 25
7 12 9 4 14 10 9 13 6 8 19 3 3 6 20
9 16 8 9 12 22 10 13 4 6 43 3 4 8 35
6 11 7 2 13 7 7 8 3 11 17 2 3 5 20
14 12 14 2 17 10 10 17 3 18 21 2 3 8 15
14 71 10 12 23 67 11 18 42 18 108 11 5 26 30
13 16 13 9 14 20 10 18 1 12 44 2 3 8 15
11 13 15 2 18 9 13 16 5 15 19 1 3 2 25
6 14 10 3 13 11 10 14 4 5 23 2 3 10 10
9 58 6 19 13 62 10 12 22 6 114 8 4 2 30
9 31 3 9 13 26 8 11 5 6 60 5 3 0 15
5 16 6 4 12 18 9 8 3 6 35 1 3 0 20
10 15 8 8 19 12 11 12 0 14 35 5 3 0 25
12 8 10 5 12 13 11 15 0 8 26 4 3 7 10
9 14 7 6 16 12 13 13 1 6 31 3 3 5 10
10 18 8 6 22 19 8 17 9 15 32 4 3 2 20
12 13 9 2 19 11 9 12 4 19 21 3 4 1 15
6 7 5 3 13 14 8 8 1 8 23 0 2 7 5
15 15 8 5 17 12 10 16 1 14 31 3 3 1 15
10 23 6 8 9 20 9 10 1 6 48 3 3 9 15
9 38 11 10 21 31 9 24 12 8 64 7 3 1 15
10 10 9 6 12 14 13 14 3 4 26 2 3 1 10
6 16 6 7 10 22 7 8 6 7 38 3 3 0 30
5 17 5 6 10 17 7 11 10 2 28 6 3 0 25
10 11 9 4 18 24 8 17 3 12 36 2 3 8 20
12 5 10 4 12 9 12 14 0 8 18 2 3 6 5
11 12 11 3 21 17 10 16 1 17 31 4 3 11 10
6 8 6 6 10 13 9 9 5 4 22 2 3 0 15
4 18 5 7 12 20 8 9 8 4 36 7 4 0 35
9 14 11 4 12 12 9 13 2 10 28 3 3 2 15
12 13 10 5 16 17 9 18 2 11 33 2 3 0 20
9 9 6 3 12 9 12 10 2 5 19 3 3 4 10
9 43 12 10 26 27 8 22 11 17 67 6 3 5 35
8 8 10 2 11 12 11 11 3 7 19 2 3 0 25
8 22 8 15 13 24 10 14 17 5 44 5 3 1 20
5 21 7 4 15 14 9 12 6 6 31 4 3 2 20
7 11 12 1 15 11 13 12 3 9 20 1 3 2 15
12 27 8 5 16 38 10 15 15 11 55 11 3 3 25
2 36 7 15 11 30 8 7 14 5 66 7 3 0 40
6 17 5 11 8 20 9 9 11 1 36 4 3 4 15
13 15 10 6 14 17 6 20 1 11 36 4 3 5 15
8 6 6 2 13 3 9 11 2 7 9 2 3 5 15
6 11 5 9 10 11 7 11 7 3 23 3 3 1 15
7 16 5 10 12 16 8 11 5 5 37 1 3 5 10
11 8 5 5 13 6 8 14 2 7 17 0 2 0 15
9 21 9 8 12 16 9 16 2 5 42 3 3 0 17
7 9 6 5 11 10 7 10 1 7 23 1 3 3 10
1 20 2 11 5 19 6 2 13 0 36 1 3 0 15
11 12 8 6 12 13 10 13 3 8 28 3 3 0 15
4 32 7 7 12 30 9 11 20 3 47 7 3 0 25
11 38 23 14 24 33 10 29 20 19 64 13 4 3 30
7 58 5 23 12 79 13 10 58 1 101 13 6 5 25
8 46 3 14 8 50 9 8 41 2 69 12 5 2 25
7 12 5 3 13 8 8 11 4 6 19 2 3 0 15
8 22 8 9 12 13 11 10 12 7 32 3 3 4 15
4 14 8 4 6 12 4 9 6 5 23 1 3 4 10
10 72 13 13 15 63 8 20 67 10 77 20 6 6 25
0 89 5 39 5 128 0 5 110 5 138 28 7 0 35
11 106 5 23 24 100 6 22 104 12 125 28 7 2 30
17 30 24 37 13 8 10 24 30 20 45 15 5 6 20
11 19 10 2 22 24 9 22 14 12 31 10 4 11 15
11 52 5 14 14 38 10 15 43 5 61 16 4 3 20
10 59 14 28 25 87 12 23 58 14 116 21 7 4 25
13 63 12 17 21 84 6 28 74 12 89 22 6 2 35
12 26 16 8 26 29 7 26 19 21 44 6 3 6 15
9 30 8 8 15 24 7 15 16 10 45 7 3 1 20
6 12 8 3 12 7 9 10 3 7 19 2 2 5 3
10 21 9 2 14 21 10 17 10 6 34 6 3 4 25
6 86 6 46 22 102 7 20 103 7 130 29 7 0 40
11 22 8 8 23 28 11 18 21 13 37 11 3 10 15
18 58 12 20 29 71 13 26 60 20 89 20 5 8 25
10 64 10 21 20 60 9 17 69 14 75 25 5 1 25
11 15 9 1 23 8 11 18 6 14 18 9 3 5 15
8 60 10 20 20 106 11 21 79 6 107 21 4 4 35
11 16 8 3 13 17 11 13 1 8 35 4 3 1 10
5 21 4 8 10 20 7 11 10 1 37 5 4 0 10
11 41 15 16 24 48 15 21 41 14 63 19 8 6 20
6 20 8 10 10 24 10 10 13 4 41 2 3 4 5
20 18 12 6 32 22 11 31 25 22 20 3 4 1 10
13 52 12 24 22 55 10 31 44 6 86 20 5 7 20
3 28 4 13 5 22 10 2 22 0 40 5 3 5 5
1 63 4 18 4 74 8 1 61 0 89 26 6 6 35
5 31 8 5 14 26 9 12 20 6 41 18 4 6 25
1 37 4 7 8 24 5 7 25 1 38 14 4 2 25
17 10 7 1 15 2 10 16 3 13 10 11 5 7 20
1 73 5 17 3 77 5 4 66 0 92 28 7 1 35
7 42 6 20 10 45 10 11 40 2 65 21 6 2 25
3 70 11 13 9 58 11 6 47 6 92 29 6 2 35
6 75 9 16 15 67 11 13 56 6 100 19 6 9 20
1 38 2 11 4 35 5 2 23 0 53 23 6 0 30
1 119 6 25 8 110 9 4 104 2 145 33 7 0 40
1 60 3 24 1 64 4 1 60 0 80 27 5 0 20
2 66 3 24 1 79 5 1 64 0 99 24 5 0 30
18 19 10 4 22 16 13 25 8 12 31 12 5 10 10
7 24 8 10 17 23 12 14 15 6 39 10 4 7 15
4 59 9 21 13 84 9 13 39 4 123 25 6 5 45
6 46 6 11 11 39 13 8 33 2 62 18 5 8 15
6 70 11 17 13 103 9 15 76 6 112 22 6 3 35
4 61 4 6 10 28 8 7 36 3 47 28 7 0 35
10 8 7 3 16 11 9 13 3 11 19 3 3 10 15
3 61 7 10 9 55 10 7 42 2 81 22 5 10 30
21 98 10 15 28 67 11 27 65 21 115 38 8 14 30
7 76 6 15 14 81 11 16 64 0 107 16 5 4 30
8 21 12 6 15 11 8 21 10 6 27 12 4 9 20
10 44 8 17 17 39 12 16 36 7 64 14 4 9 20
12 42 10 8 22 18 11 18 30 15 37 16 5 10 20
7 95 10 25 21 88 13 17 64 8 143 21 5 13 20
7 77 5 24 10 74 11 8 64 3 110 11 6 4 25
4 39 5 13 15 33 12 10 31 2 54 8 4 6 15
8 21 9 4 16 13 9 17 12 7 25 5 4 6 10
8 67 8 20 11 66 10 13 35 4 116 12 6 6 25
