"LS" "MD" "MAD" "MAN" "MPEL" "MPEC" "DAD" "DC" "DAN" "DPEL" "DPEC" "ADC" "ADAN" "ADPEL" "ADPEC" "PECPEL" "PECAN" "PECC" "PELAN" "PELC" "ANC" "LPRO" "DO" "LPOO" "LTET" "HTET" "LMAX" "LAD" "LD" "HD" "LC" "LAN" "HAN" "LPELG" "LPECG" "HPED" "ETET"
104.37 47.64 83.25 75.6 57.6 29.74 37.55 NA 35.68 NA 28.5 23.47 19.2 NA 58.83 29.34 NA NA 18.39 NA 29.71 6.34 8.53 15.28 28.61 NA 14.33 9.36 18.79 19.65 17.97 11.6 17.28 15.95 21.85 NA 7.22
121.9 56.62 95.58 88.01 65.13 35.35 41.23 NA 41.5 NA 34.59 25.91 21.6 NA 66.3 31.74 NA NA 24.19 NA 37.39 7.39 8.09 17.29 32.68 NA 16.77 9.09 16.29 23.5 22.08 11.84 19.01 17.16 24.03 NA 8.47
105.33 49.16 82.44 76.01 57.47 29.35 35.37 NA 37.42 NA 30.42 24.2 18.43 NA 57.09 28.79 NA NA 19.9 NA 28.89 5.5 7.21 14.2 26.87 NA 12.8 8 15.03 19.35 17.54 10.02 15.35 14.55 20.3 NA 7.08
93.63 45.63 73.84 70.08 50.66 23.69 30.99 NA 34.48 NA 28.69 21.44 15.95 NA 53.18 27.43 NA NA 20.37 NA 26.23 5.18 7.17 13.63 25.1 NA 11.64 7.93 12.63 17.65 17.72 8.06 14.33 13.44 18.85 NA 6.71
137.79 61.64 110.26 102.36 78.06 34.2 47.58 78.09 48.88 34 35.11 30.63 22.87 41.28 75.56 42.24 68.35 103.65 28 66.05 37.04 7.56 6.72 16.51 32.75 19.81 16.22 11.42 20.36 21.22 21.97 12.84 19.29 15.64 23.12 14.45 9.36
107.96 49.7 87.76 80.16 60.06 27.71 39.94 61.81 38.81 26.98 32.04 22.12 19.94 35.07 65.31 32.61 53.25 82.7 20.25 50 29.8 6.44 7.34 16.17 28.99 17.9 14.22 7.75 15.63 17.87 16.92 9.69 12.85 15.98 21.1 11.44 9.72
121.2 56.73 97.39 87.77 66.03 34.64 43.7 67.96 38.59 26.97 33.79 25.43 18.62 35.14 66.76 34.1 54.81 89.23 22.65 54.16 32.34 7.02 7.67 16.24 30.32 20.29 16.12 8.35 15.33 17.12 19.71 9.76 12.29 14.88 16.18 11.34 8.04
145.84 69.06 116.97 106.66 81.62 41.43 49.71 80.22 49.78 34.78 40.93 31.36 27.79 43.41 80.35 43.16 69.02 109.34 26.59 68.13 43.83 8.61 9.25 22.8 40.87 23.73 21.31 12.1 20 23.35 24.81 14.29 19.68 20.47 26.08 14.88 10.04
120.62 55.19 96.6 86.6 66.05 36.82 43.32 68.3 40.4 29.04 31.87 25.09 20.93 36.13 63.11 29.95 52.12 85.84 21.45 57.09 34.73 7.57 8.22 16.86 31.63 20.4 15.73 8.57 16.55 20.49 19.62 10.69 15.46 16.36 21.35 11.59 7.66
146.42 68.22 120.26 108.48 81.27 37.99 54.54 82.97 52.83 36.31 42.35 29.76 26.31 47.82 87.75 44.18 72.8 112.42 28.06 68.61 40.33 9.45 8.56 21.18 37.26 22.52 18.66 9.38 20.37 22.01 27.02 12.62 17.64 18.64 25.27 16 9.71
128.39 62.23 107.13 94.62 66.63 30.45 48.13 72.41 45.37 30.59 40.65 24.94 24.02 46.88 81.72 38.73 68.58 101.64 29.2 64.09 34.03 8.48 8 19.02 33.78 22.01 16.41 8.75 17.89 19.99 23.44 11.5 17.38 18.17 24.32 14.34 9.56
187.66 83.43 149.5 137.78 101.82 47.16 66.65 106.7 64.35 41.3 47.94 40.1 29.94 55.81 107.69 56.39 90.44 142.15 39.47 88.86 50.21 12.62 8.82 27.95 49.29 30.07 27.47 14.57 27.73 28.87 28.52 17.42 25.2 23.75 29.4 17.96 13.35
166.99 77.87 131.14 120.53 87.23 41.18 56.84 93.89 58.52 39.19 47.22 38.4 30.63 53.83 92.94 45.65 79.06 126.6 34.79 83.4 50.21 10.22 11 25.68 46.89 28.29 23.56 13.22 24.07 26.16 28.78 17.04 25.62 26.16 29.9 18.6 18.56
110.85 52.75 88.54 80.47 61.89 30.94 38.77 61.55 37.87 25.97 30.59 24.61 19.01 32.5 60.6 31.01 51.83 82.3 21.22 51.83 30.84 6.4 7.1 15.71 29.84 17.76 14.83 7.42 15.93 17.66 21.28 9.94 13.9 14.73 21.05 13.2 7.51
106.7 51.7 85.38 77.22 57.07 25.78 36.28 59.83 37.48 24.95 31.78 23.33 20.13 34.6 62.72 32.01 52.47 82.87 20.95 52.24 31.31 6.36 7.76 16.05 28.4 17.94 14.28 7.62 14.65 19.5 19.8 10.22 15.06 15.66 21.38 11.58 9.04
120.15 55.15 94.76 87.17 66.36 31.61 41.47 68.26 42.23 30.03 36.34 27.33 22.62 36.57 69.17 34.79 57.33 92.37 22.32 57.36 35.75 7.76 8.2 18.04 32.56 21.05 17 9.14 16.67 18.71 21.03 11.26 17.48 17.6 21.8 13.37 10.1
100.41 48.31 78.72 75.61 56.36 26.25 32.71 54.53 33.98 23.46 29.9 21.89 18.78 31.79 57.98 30.2 49.19 75.6 19.64 47.3 27.49 6.03 6.96 13.84 25.67 16.3 13.13 8.07 13.39 15.79 16.49 9.5 13.41 15.45 17.8 11.4 9.1
129.46 58.62 103.99 95.08 71.19 35.73 45.75 74.85 44.51 29.44 36.15 29.78 22.39 40.99 75.98 37.73 62.87 98.6 25.25 61.64 36.23 7.23 8.29 18.94 32.89 21.83 15.44 9.63 18.35 19.17 22.29 11.67 17.74 16.78 20.5 13.23 10.75
132.33 60.72 106.79 95.36 69.58 31.72 50.07 77.34 47.88 31.33 38.49 28.97 23.94 43.11 77.61 38.04 65.31 103.74 27.15 64.4 38.55 8.48 7.95 18.41 33.64 20.05 16.98 9.15 18.38 20.92 22.65 11.83 18.17 20 23.73 13.86 8.34
158.79 71.88 124.87 112.34 80.24 39.57 53.93 88.91 54.29 36.04 40.39 34.54 28.94 50.92 87.9 40.61 77.4 120.44 33.49 80.42 47.87 10.06 9.16 21.33 40.95 23.53 19.71 13.3 22.85 25.1 25.62 17.18 19.77 20.16 25.85 14.95 10.07
120.88 53.33 95.12 88.88 66.85 34.32 43.44 68.42 41.81 27.49 33.2 27.22 20.78 37.57 67.99 34.88 57.73 90.36 24.34 55.64 32.76 7.37 7.86 16.29 31.11 20.03 16.64 10.28 17.14 18.68 22.45 10.61 17.47 16.51 22.14 11.66 8.7
117.65 55.2 93.57 86.66 62.02 27.6 41.98 66.75 42.39 26.59 37.47 24.98 21.05 39.09 71.08 36.05 61.08 93.03 26.27 58.16 33.92 7.1 8.05 16.87 30.55 18.25 14.6 9.13 15.97 17.67 19.2 10.2 13.73 16.47 21.6 12.54 9.8
114.05 51.54 88 82.3 58.46 29.42 38.98 64.03 39.91 25.88 27.89 25.35 85.81 35.31 62.03 28.92 53.22 85.83 23.71 57.31 34.04 6.33 7.48 15.82 28.2 18.25 13.56 9.02 15.03 17.05 17.77 10.45 14.85 16.36 20.33 11.71 8.67
128.02 59.88 102.04 94.67 72.59 34.21 44.79 71.84 44.07 31.29 34.15 28.48 21.14 39.55 73.13 38.97 63.35 96.33 23.52 59.08 35.01 8.38 7.67 17.36 33.09 20.63 17.46 11.19 17.81 18.33 23.8 12.77 16.77 17.12 21.97 14.19 9.16
148.97 67.93 119.86 109.7 80.7 34.06 53.35 NA 53.78 NA 44.64 31.24 25.63 NA 89.75 48.77 NA NA 31.27 NA 42.8 8.7 8.67 21.43 36.96 NA 17.86 9.35 19.8 24.61 26.12 12.87 18.72 19.44 24.7 NA 10.43
113.05 53.65 88.32 84.9 62.51 30.33 35.39 NA 39.68 NA 33.8 25.47 20.03 NA 62.51 32.9 NA NA 24.24 NA 33.51 6.88 7.62 16.33 29.77 NA 13.4 9.65 15.11 20.49 18.82 11.17 16.2 16.33 20.59 NA 8.09
153.7 66.17 117.79 116.46 85.97 41.09 51.88 NA 56 NA 46.8 36.52 28.08 NA 89.78 51.11 NA NA 34.25 NA 46.8 9.86 10.23 22.48 40.73 NA 20.52 11.71 21.26 28.38 23.89 15.26 22.72 21.65 28.18 NA 10.27
102.9 45.82 81.26 76.43 56.67 26.47 35.96 NA 35.29 NA 27.49 22.41 17.52 NA 60.48 31.59 NA NA 21.43 NA 30.32 6.97 7.06 13.77 26.36 NA 12.86 8.73 14.39 17.02 16.26 10.22 12.72 13.25 17.3 NA 6.97
120.19 53.89 93.47 88.02 66.15 31.55 40.83 NA 40.88 NA 33.53 26.65 21.21 NA 68.15 36.41 NA NA 23.04 NA 35.06 7.46 8.09 15.86 30.11 NA 14.36 8.73 17.64 20.31 18.21 12.61 16.08 15.51 21.59 NA 7.9
125.2 57.61 99.61 90.48 64.95 31.92 43.86 NA 42.6 NA 36.72 26.47 21.29 NA 72.5 34.77 NA NA 26.84 NA 37.1 6.74 7.84 17.39 31.66 NA 14.78 9.06 17.38 19.84 19.48 11.84 15.52 15.51 21.22 NA 8.52
118.9 53.18 93.06 87.16 63.66 31.38 41.53 NA 41.76 NA 30.2 26.62 20.19 NA 65.92 32.9 NA NA 25.56 NA 34.41 7.02 7.11 16.93 30.14 NA 14 8.44 15.48 19.15 17.24 10.29 14.4 15.87 19.8 NA 7.93
104.75 48.33 83.9 78.75 54.73 24.69 36.36 NA 38.53 NA 30.33 23.2 18.97 NA 61.74 30.16 NA NA 25.89 NA 30.3 6.22 7.07 15.87 28.17 NA 13.43 8.53 14.13 20.13 16.19 9.96 14.16 14.69 17.97 NA 7.43
134.18 62.55 109.31 104.13 77.59 35.68 46.81 NA 47.38 NA 38.3 25.82 23.45 NA 80.65 42.86 NA NA 29.71 NA 35.38 7.85 8.64 19.46 34.87 NA 17.49 9.23 17.96 19.33 21.78 13.88 17.89 16.15 20.68 NA 9.01
125.17 57.92 99.11 92.22 64.79 29.71 42.96 NA 43.5 NA 38.04 28.6 19.94 NA 73.97 36.08 NA NA 27.48 NA 35.79 7.83 8.36 18.39 32.98 NA 16.52 9.14 16.81 20.82 21.01 11.54 17.97 17.33 21.19 NA 8.51
231.55 108.72 187.82 170.47 120.41 55.77 84.88 131.65 82.37 49.13 66.44 48.33 40.34 75.55 137.01 66.57 115.83 177.5 50.63 111.9 64.55 14.62 15.23 32.56 59.2 35.78 32.44 19.07 32.95 35.54 35.45 24.09 37.55 34.84 42.04 22.36 15.14
207.72 96.04 165.4 150.03 109.72 52.57 74.52 119.79 77.07 55 60.99 45.62 40.16 67.84 118.27 58.09 99.01 160.64 40.49 101.17 61.55 14.29 14.02 29.73 54.51 33.4 29.46 14.56 31.65 35.36 34.24 22.25 35.81 33.36 40.91 22.01 14.55
199.7 91.26 158.21 148.81 104.65 49.78 69.22 114.81 77.7 44.17 52.52 44.59 37.52 65.87 115.08 57.13 108.79 157.1 49.9 102.74 59.05 12.2 13.96 26.31 50.24 31 28.19 16.02 28.62 38.83 30.09 22.62 37.59 30.42 37.94 22.12 13.4
184.79 86.61 149.3 138.44 105.25 46.52 66.2 103.42 68.54 44.49 52.92 39.69 34.27 59.09 107.05 59.78 97.97 145.57 36.58 88.32 54.83 12.3 12.49 26.92 50.17 29.71 27.72 14.73 28.61 34.16 30.56 19.08 31.86 30.55 37.62 19.09 14.28
237.38 108.64 191.29 173.31 132.65 67.34 84.94 134.18 80.16 50.81 61.19 51.45 42.78 71.07 131.79 65.29 108.79 175.95 42.35 110.44 68.56 15.22 16.51 35.25 64.19 37.35 36.73 15.55 32.96 36.87 31.38 26.82 37.89 38.22 42.25 22.1 16.74
206.37 96.86 167.95 149.14 112.05 52.35 74.86 116.26 72.32 51.38 58.71 42.83 39.75 66.47 119.86 61.46 98.15 156.53 38.71 97.75 59.99 14.49 13.26 29.91 55.09 29.36 NA 16.32 29.98 33.95 32.35 19.7 31.18 34.78 40.49 20.92 15.66
212.8 94.53 168.76 156.81 111.73 49.92 78.33 124.3 81.64 51.11 59.5 46.56 40.21 70.14 124.27 61.92 110.08 165.25 47.91 107.72 63.01 12.82 13.01 29.05 51.22 35.47 27.47 17.79 33.85 38.86 35.08 24.02 38.78 32.77 37.82 22.58 14.82
217.78 100.64 173.6 162.26 114.94 52.1 76.82 128.02 81.18 50.2 59.93 48.92 40.82 68.74 128.33 65.52 114.69 170.98 49.91 106.93 63 13.97 13.72 30.98 55.22 34.37 30.16 19.83 34.03 37.16 34.67 24.35 41.25 34.96 43.11 21.31 14.58
104.59 46.29 81.44 75.73 57.81 27.66 36.72 58.97 34.32 22.72 24.99 22.6 16.65 30.04 55.47 29.88 50.73 80.86 20.76 50.79 30.41 6.42 7.51 14.16 26.81 15.32 12.56 7.91 14.74 17.56 16.8 9 12.57 14.06 17.44 9.94 9.82
169.45 80.53 134.67 125.19 90.34 43.02 57.66 93.95 59.13 38.96 51.46 37.19 29.16 52.78 96.63 48.93 84.83 129.53 35.35 82.41 47.48 11.59 11.17 25.12 46.75 26.4 25.9 14.16 21.95 24.47 27.91 15.79 19.05 24.93 29.13 17.72 16.88
150.34 67.07 120.72 110.08 80.17 37.37 55.18 86.92 53.71 37.54 46.03 32.05 26.38 52.29 93.71 49.24 80.11 121.72 33.02 75.16 42.79 8.84 8.49 20.3 35.84 20.97 17.86 9.03 20.11 21.96 25 13.19 19.11 21.37 26.2 15.53 13.92
