"YCR024C" "YDR268W" "YGR094W" "YGR171C" "YHR011W" "YHR091C" "YKL194C" "YLR382C" "YNL073W" "YOL033W" "YPL040C" "YPL097W" "YPL104W" "YPR033C" "YPR047W" "YNL247W" "YPR081C" "YBL076C" "YBR121C" "YDR023W" "YDR037W" "YDR341C" "YER087W" "YFL022C" "YGL245W" "YGR185C" "YGR264C" "YHR019C" "YIL078W" "YLR060W" "YOL097C" "YOR335C" "YPL160W" "YHR020W" "YOR168W" "YLL018C"
9 7 27 9 4 10 13 14 6 17 14 8 11 21 9 14 5 26 19 12 11 15 5 11 13 5 22 13 28 11 3 25 28 19 16 7
9 4 16 16 1 10 4 6 9 3 15 6 6 8 4 16 7 21 11 10 7 5 4 12 6 5 7 13 7 13 9 11 6 11 9 10
14 3 6 8 10 13 3 13 9 6 20 11 9 9 14 9 10 12 4 3 3 5 14 3 5 3 10 3 3 5 4 8 12 4 6 2
5 8 5 4 4 9 6 4 6 6 6 4 4 2 0 4 11 1 0 0 1 3 6 4 1 1 5 1 2 4 2 1 2 0 1 1
4 8 6 7 6 4 1 12 9 3 11 11 12 5 3 6 6 8 5 3 0 1 11 0 2 3 7 2 6 2 1 3 3 5 5 5
3 3 7 4 6 5 1 10 5 4 13 3 3 1 3 5 1 3 0 1 1 2 5 1 3 2 3 3 1 3 5 2 5 0 2 3
0 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0
0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
15 5 35 6 4 5 11 18 9 5 17 9 7 14 9 19 16 25 13 7 12 11 8 5 20 5 11 12 18 9 9 26 23 13 9 5
9 1 17 4 7 6 0 11 5 7 11 1 8 5 7 11 5 17 9 4 10 5 4 16 13 8 2 17 10 14 10 13 15 9 4 13
8 7 8 8 6 8 4 11 5 5 16 9 10 7 9 8 10 12 4 1 7 8 8 6 2 2 12 5 2 4 6 8 13 4 12 6
3 4 2 5 5 6 5 6 10 7 8 6 5 2 4 5 7 4 2 1 0 1 2 3 2 2 7 2 0 3 2 1 6 2 6 1
8 4 25 11 4 8 10 19 4 5 18 3 5 4 10 14 6 22 7 6 2 9 10 6 12 1 13 4 13 4 3 8 13 7 1 1
13 8 16 16 6 15 7 16 9 15 25 12 13 10 10 9 5 25 10 8 7 13 8 3 8 7 20 10 8 4 3 13 26 10 9 6
7 4 19 9 9 9 8 11 11 5 17 7 9 7 5 12 8 22 8 13 13 11 10 12 15 6 15 13 16 13 9 22 26 8 7 12
12 12 45 15 8 14 7 18 9 6 19 9 12 19 10 19 10 44 33 15 15 24 10 9 22 14 32 13 24 17 12 36 25 33 18 11
3 4 17 3 2 6 2 14 9 6 9 4 5 10 4 9 6 24 17 8 14 8 7 12 22 8 7 15 18 12 8 16 17 17 11 11
3 9 6 8 9 11 6 15 7 4 8 10 8 2 11 3 9 5 1 4 3 3 6 0 1 1 1 4 3 6 5 3 8 1 10 4
4 4 1 6 3 9 5 14 4 2 9 10 11 4 5 8 10 11 0 1 1 2 4 3 6 3 6 3 1 4 7 6 3 0 10 7
