"Mitterand" "Chirac" "Barre" "Le.Pen" "Lajoinie" "Waechter" "Juquin" "Laguillier" "Boussel"
33.9 16.6 16.9 16.1 6.8 4.6 2.8 1.8 0.500000000000009
33.4 18.8 17.4 14.5 5.6 5.3 2 2.5 0.500000000000014
42.1 21 15 9 6.9 2.3 2 1.5 0.200000000000006
35.5 19.4 18.2 12.8 6.4 3.1 1.9 2.2 0.499999999999994
30.4 17.9 18.5 17.4 7 4.1 2.3 2 0.400000000000014
30 21 21.4 14.1 4.5 4 2.3 2.3 0.400000000000006
36.8 19.8 19.9 10 4 4.3 2.4 2.4 0.399999999999991
31.8 21 18.3 14.9 6 3.7 1.8 2 0.499999999999994
38.8 23.8 12.1 8.3 7.1 4.4 3 2.1 0.400000000000014
33.6 18.5 16 15.4 8.5 3.5 2.3 1.8 0.400000000000009
26.8 26.9 21.6 11.6 4.9 3.4 2.6 1.7 0.49999999999998
32.6 22.1 24.3 9.5 2.7 4.1 1.6 2.6 0.500000000000009
33.8 23.3 20.9 10.8 2.8 4.3 1.5 2.2 0.4
34.6 20.5 17.2 14 5.8 4 1.4 2 0.499999999999994
35.2 19.6 15.6 15.6 5.4 4.2 1.4 2.4 0.59999999999998
33.6 24.1 23.4 8.2 2.2 4.1 1.6 2.3 0.500000000000014
35.1 15.6 18 14.8 6.8 4.2 2.4 2.6 0.499999999999994
35.1 18.1 18.4 15 4.5 4.5 1.4 2.6 0.4
34.9 19.6 19.4 12.8 4.3 3.8 2.8 2.1 0.300000000000014
33.3 16.3 16.7 19.9 4.1 4.8 1.4 3 0.500000000000014
44.5 17 12.4 9.7 9.6 2.8 1.8 1.8 0.4
36.7 15 15.6 15.2 10.3 2.9 1.5 2.3 0.499999999999994
36.5 17.7 14.1 16.7 7.3 3.3 1.6 2.4 0.4
34.1 23.4 19.3 11.8 3 4 1.7 2.3 0.4
41.3 14.5 13.9 11.4 11.6 2.7 1.4 2.7 0.49999999999998
34.2 19.6 17.5 11.6 7.1 4 3.2 2.3 0.5
33.8 24.5 18.1 10.7 5 3.4 2.3 1.9 0.299999999999986
37.9 18.4 15.6 9.9 9.8 3.2 3.1 1.8 0.300000000000006
31.4 17.8 13.4 20.5 9.4 3.2 2.4 1.6 0.3
28.2 17.6 18.6 21.9 1.3 9.4 0.9 1.8 0.299999999999986
29.5 17.1 18.1 21.8 1.5 9.3 0.8 1.7 0.2
29.3 17.4 22 18 5.4 3.8 2.2 1.5 0.399999999999994
37.4 20.1 15.5 13.8 4.6 4.1 1.6 2.3 0.600000000000017
37.6 20.6 17.2 11.1 6.5 3.3 1.6 1.9 0.199999999999997
38.1 19.3 18.1 9.3 6.2 3.6 2.2 2.7 0.5
30.4 20.9 18.1 15.2 5.9 5 2.2 1.9 0.399999999999972
27.2 22.5 22.8 15.5 3.2 5.4 1.6 1.5 0.3
29.5 31.6 13.6 13.4 3.6 3.6 2.8 1.6 0.300000000000014
39 16.8 16.1 11.2 8.7 3.4 2.1 2.4 0.299999999999977
33 19.9 15.1 17.8 6.3 3.8 1.9 1.8 0.4
29.4 24.5 18.5 15.1 4.7 3.8 2 1.6 0.4
37.5 21.2 21.1 7.5 3.2 4.5 1.8 2.7 0.499999999999992
36.7 16.9 14.8 13.8 10.1 2.9 1.8 2.6 0.4
36.5 19.1 14.7 14.8 6.2 3.9 2.3 2.1 0.4
36.4 20.4 13.7 15.2 5.9 3.9 2.1 2 0.399999999999986
25.5 19.9 16.2 25.1 7.1 2.8 1.9 1.2 0.300000000000014
29.4 16.7 15.2 23.1 7.8 3.7 2 1.6 0.499999999999994
32.3 24.6 24.1 8.7 2.7 3.9 1.4 2.2 0.0999999999999801
37.9 21.8 16.4 9.3 5.8 3.8 2.3 2.3 0.40000000000002
37.9 22.1 11 7.8 11.4 3.1 4 2.3 0.4
35.4 19.2 17.4 14.9 3.9 4.8 1.4 2.5 0.49999999999998
33.1 20 17.2 15.7 6.3 3.6 1.7 1.8 0.600000000000009
36.8 17.3 13.9 16.8 4.5 5.3 2.1 2.9 0.400000000000006
33 19.3 15.8 15 6.9 4.3 3.4 1.9 0.399999999999986
29.1 24.7 16.5 14.8 6.9 3.7 2.4 1.6 0.299999999999991
32.9 14.6 11.1 19.8 13.5 3.3 2.5 1.8 0.499999999999994
31.5 19.3 14 15.6 11 3.8 2.7 1.6 0.500000000000009
33.2 18 14.5 18.1 7.9 3.8 2.2 1.8 0.49999999999998
