"V1" "V2" "V3"
"D12" 345 121
"D12" 349 115
"D12" 356 114
"D12" 352 107
"D13" 417 67
"D13" 426 70
"D13" 437 71
"D13" 439 65
"D13" 451 62
"D13" 452 68
"D13" 453 76
"D13" 454 90
"D13" 443 89
"D13" 432 93
"D13" 423 97
"D13" 405 91
"D13" 399 82
"D13" 390 73
"D13" 401 72
"D14" 184 380
"D14" 189 389
"D14" 180 402
"D14" 182 405
"D14" 191 405
"D14" 198 404
"D14" 210 400
"D14" 221 403
"D14" 233 406
"D14" 237 395
"D14" 238 387
"D14" 238 379
"D14" 229 381
"D14" 212 372
"D14" 199 374
"D14" 191 371
"D14" 179 374
"D15" 306 139
"D15" 317 140
"D15" 323 147
"D15" 327 159
"D15" 328 156
"D15" 333 151
"D15" 338 144
"D15" 344 153
"D15" 353 161
"D15" 348 173
"D15" 343 176
"D15" 338 177
"D15" 332 182
"D15" 321 185
"D15" 318 181
"D15" 314 183
"D15" 305 166
"D15" 303 159
"D15" 305 150
"D16" 231 183
"D16" 229 176
"D16" 221 172
"D16" 214 173
"D16" 207 181
"D16" 209 191
"D16" 201 196
"D16" 206 204
"D16" 217 206
"D16" 217 213
"D16" 219 217
"D16" 228 220
"D16" 238 219
"D16" 245 220
"D16" 252 220
"D16" 252 218
"D16" 257 213
"D16" 253 209
"D16" 248 205
"D16" 244 198
"D16" 237 188
"D17" 205 168
"D17" 197 178
"D17" 193 180
"D17" 186 191
"D17" 170 199
"D17" 172 204
"D17" 178 212
"D17" 172 227
"D17" 177 235
"D17" 182 236
"D17" 195 223
"D17" 208 222
"D17" 217 213
"D17" 217 206
"D17" 206 204
"D17" 201 196
"D17" 209 191
"D17" 207 181
"D17" 214 173
"D17" 217 163
"D18" 299 277
"D18" 304 268
"D18" 302 259
"D18" 304 246
"D18" 303 240
"D18" 307 237
"D18" 313 244
"D18" 314 245
"D18" 320 250
"D18" 332 255
"D18" 338 261
"D18" 339 269
"D18" 335 283
"D18" 332 291
"D18" 329 302
"D18" 322 302
"D18" 315 306
"D18" 307 308
"D18" 302 302
"D18" 305 293
"D18" 299 287
"D18" 292 282
"D18" 287 278
"D19" 290 156
"D19" 303 159
"D19" 305 166
"D19" 314 183
"D19" 318 181
"D19" 321 185
"D19" 317 193
"D19" 320 197
"D19" 311 198
"D19" 302 202
"D19" 294 199
"D19" 286 194
"D19" 276 190
"D19" 270 184
"D19" 269 175
"D19" 270 166
"D19" 274 166
"D19" 275 161
"D19" 283 159
"D21" 400 268
"D21" 393 274
"D21" 381 281
"D21" 378 295
"D21" 381 307
"D21" 385 317
"D21" 379 324
"D21" 395 331
"D21" 402 330
"D21" 408 326
"D21" 409 321
"D21" 418 311
"D21" 428 309
"D21" 432 304
"D21" 428 299
"D21" 432 291
"D21" 428 281
"D21" 423 275
"D21" 411 272
"D22" 125 361
"D22" 119 358
"D22" 114 366
"D22" 108 375
"D22" 104 380
"D22" 94 380
"D22" 90 375
"D22" 85 372
"D22" 90 364
"D22" 87 361
"D22" 87 352
"D22" 90 343
"D22" 105 342
"D22" 115 339
"D22" 121 332
"D22" 127 339
"D22" 134 337
"D22" 139 343
"D22" 147 347
"D22" 148 364
"D22" 134 366
"D23" 302 202
"D23" 294 199
"D23" 290 208
"D23" 282 208
"D23" 280 213
"D23" 274 226
"D23" 274 236
"D23" 289 239
"D23" 296 239
"D23" 303 240
"D23" 307 237
"D23" 315 230
"D23" 323 224
"D23" 322 216
"D23" 314 208
"D23" 320 197
"D23" 311 198
"D24" 219 157
"D24" 228 152
"D24" 231 140
"D24" 241 142
"D24" 247 141
"D24" 252 139
"D24" 257 140
"D24" 263 136
"D24" 271 144
"D24" 275 153
"D24" 275 161
"D24" 274 166
"D24" 270 166
"D24" 269 175
"D24" 270 184
"D24" 262 186
"D24" 263 193
"D24" 258 194
"D24" 249 195
"D24" 244 198
"D24" 237 188
"D24" 231 183
"D24" 229 176
"D24" 221 172
"D24" 214 173
"D24" 217 163
"D24" 222 165
"D25" 472 276
"D25" 482 285
"D25" 493 296
"D25" 484 301
"D25" 488 306
"D25" 481 309
"D25" 474 307
"D25" 464 303
"D25" 453 296
"D25" 448 292
"D25" 446 286
"D25" 444 278
"D25" 452 275
"D25" 457 268
"D25" 460 264
"D25" 456 257
"D25" 459 250
"D25" 470 262
"D26" 446 145
"D26" 444 139
"D26" 439 135
"D26" 438 126
"D26" 447 125
"D26" 448 122
"D26" 442 114
"D26" 438 115
"D26" 427 122
"D26" 420 121
"D26" 419 128
"D26" 411 129
"D26" 410 136
"D26" 410 146
"D26" 414 155
"D26" 411 165
"D26" 410 177
"D26" 419 181
"D26" 428 177
"D26" 427 168
"D26" 432 165
"D26" 441 167
"D26" 439 160
"D26" 442 152
"D26" 452 147
"D26" 451 142
"D27" 276 377
"D27" 269 369
"D27" 252 366
"D27" 245 375
"D27" 238 379
"D27" 238 387
"D27" 237 395
"D27" 233 406
"D27" 238 408
"D27" 247 405
"D27" 259 398
"D27" 268 402
"D27" 274 407
"D27" 286 414
"D27" 286 403
"D27" 286 395
"D27" 278 386
"D28" 261 333
"D28" 254 334
"D28" 250 338
"D28" 251 344
"D28" 258 355
"D28" 252 366
"D28" 269 369
"D28" 276 377
"D28" 284 372
"D28" 283 369
"D28" 286 356
"D28" 295 352
"D28" 297 349
"D28" 302 345
"D28" 295 335
"D28" 287 331
"D28" 279 327
"D28" 269 324
"D29" 73 370
"D29" 70 373
"D29" 62 372
"D29" 51 371
"D29" 43 365
"D29" 41 354
"D29" 45 355
"D29" 57 358
"D29" 60 352
"D29" 49 353
"D29" 48 344
"D29" 52 349
"D29" 59 343
"D29" 59 340
"D29" 54 341
"D29" 46 339
"D29" 48 335
"D29" 55 331
"D29" 55 326
"D29" 56 323
"D29" 63 331
"D29" 71 327
"D29" 78 323
"D29" 86 320
"D29" 92 331
"D29" 88 332
"D29" 81 341
"D29" 90 343
"D29" 87 352
"D29" 87 361
"D29" 90 364
"D29" 85 372
"D29" 78 373
"D30" 399 82
"D30" 405 91
"D30" 412 101
"D30" 412 109
"D30" 411 117
"D30" 412 125
"D30" 399 125
"D30" 390 123
"D30" 381 124
"D30" 379 134
"D30" 376 123
"D30" 379 119
"D30" 377 112
"D30" 368 118
"D30" 366 113
"D30" 356 114
"D30" 352 107
"D30" 356 105
"D30" 355 99
"D30" 359 97
"D30" 365 96
"D30" 373 98
"D30" 381 93
"D30" 388 86
"D30" 384 80
"D30" 390 73
"D31" 244 40
"D31" 252 37
"D31" 260 54
"D31" 264 56
"D31" 268 50
"D31" 271 59
"D31" 283 62
"D31" 292 70
"D31" 301 70
"D31" 297 76
"D31" 293 79
"D31" 286 86
"D31" 284 90
"D31" 281 97
"D31" 273 96
"D31" 274 90
"D31" 266 93
"D31" 254 97
"D31" 257 87
"D31" 265 79
"D31" 260 76
"D31" 259 68
"D31" 249 68
"D31" 242 63
"D31" 237 56
"D31" 241 46
"D31" 234 44
"D31" 238 29
"D31" 243 29
"D32" 222 71
"D32" 234 66
"D32" 242 63
"D32" 249 68
"D32" 259 68
"D32" 260 76
"D32" 265 79
"D32" 257 87
"D32" 254 97
"D32" 249 99
"D32" 253 105
"D32" 247 104
"D32" 244 107
"D32" 222 102
"D32" 217 98
"D32" 216 103
"D32" 211 99
"D32" 209 92
"D32" 207 84
"D32" 212 83
"D32" 217 84
"D33" 206 114
"D33" 201 119
"D33" 192 129
"D33" 176 130
"D33" 177 132
"D33" 174 135
"D33" 166 132
"D33" 169 138
"D33" 179 141
"D33" 171 146
"D33" 167 141
"D33" 168 156
"D33" 170 173
"D33" 174 186
"D33" 176 192
"D33" 178 188
"D33" 185 182
"D33" 188 176
"D33" 190 166
"D33" 196 159
"D33" 193 167
"D33" 193 180
"D33" 197 178
"D33" 205 168
"D33" 217 163
"D33" 222 165
"D33" 219 157
"D33" 228 152
"D33" 231 140
"D33" 223 142
"D33" 226 138
"D33" 218 121
"D33" 210 119
"D34" 371 73
"D34" 384 80
"D34" 388 86
"D34" 381 93
"D34" 373 98
"D34" 365 96
"D34" 359 97
"D34" 355 99
"D34" 348 93
"D34" 342 96
"D34" 335 87
"D34" 333 82
"D34" 325 81
"D34" 327 72
"D34" 320 69
"D34" 325 66
"D34" 332 68
"D34" 341 65
"D34" 352 61
"D34" 363 65
"D35" 153 368
"D35" 149 366
"D35" 148 364
"D35" 147 347
"D35" 139 343
"D35" 134 337
"D35" 135 330
"D35" 142 327
"D35" 140 320
"D35" 140 313
"D35" 155 313
"D35" 167 321
"D35" 175 319
"D35" 178 320
"D35" 180 330
"D35" 184 330
"D35" 181 335
"D35" 182 348
"D35" 184 358
"D35" 177 360
"D35" 170 355
"D35" 164 363
"D35" 154 364
"D36" 289 239
"D36" 296 239
"D36" 303 240
"D36" 304 246
"D36" 302 259
"D36" 304 268
"D36" 299 277
"D36" 287 278
"D36" 292 282
"D36" 282 286
"D36" 271 281
"D36" 271 275
"D36" 269 271
"D36" 262 271
"D36" 259 262
"D36" 250 261
"D36" 257 254
"D36" 261 246
"D36" 266 240
"D36" 274 236
"D37" 262 271
"D37" 269 271
"D37" 271 275
"D37" 271 281
"D37" 264 286
"D37" 263 298
"D37" 261 303
"D37" 253 307
"D37" 245 310
"D37" 239 307
"D37" 230 307
"D37" 229 300
"D37" 226 290
"D37" 222 280
"D37" 229 276
"D37" 242 268
"D37" 245 272
"D37" 250 261
"D37" 259 262
"D38" 471 165
"D38" 473 159
"D38" 463 155
"D38" 459 152
"D38" 452 147
"D38" 442 152
"D38" 439 160
"D38" 441 167
"D38" 432 165
"D38" 427 168
"D38" 428 177
"D38" 419 181
"D38" 410 177
"D38" 407 182
"D38" 407 187
"D38" 412 191
"D38" 411 196
"D38" 419 196
"D38" 423 203
"D38" 420 209
"D38" 427 209
"D38" 432 213
"D38" 442 199
"D38" 447 192
"D38" 449 188
"D38" 454 188
"D38" 458 192
"D38" 468 185
"D38" 465 178
"D38" 473 172
"D38" 479 168
"D39" 423 275
"D39" 432 266
"D39" 430 261
"D39" 431 247
"D39" 429 244
"D39" 436 236
"D39" 441 239
"D39" 444 236
"D39" 450 236
"D39" 458 243
"D39" 459 250
"D39" 456 257
"D39" 460 264
"D39" 457 268
"D39" 452 275
"D39" 444 278
"D39" 446 286
"D39" 448 292
"D39" 437 289
"D39" 432 291
"D39" 428 281
"D40" 216 103
"D40" 211 99
"D40" 209 92
"D40" 207 84
"D40" 199 78
"D40" 192 79
"D40" 176 77
"D40" 168 79
"D40" 155 79
"D40" 159 89
"D40" 161 102
"D40" 165 112
"D40" 164 122
"D40" 166 132
"D40" 174 135
"D40" 177 132
"D40" 176 130
"D40" 192 129
"D40" 201 119
"D40" 206 114
"D40" 210 119
"D40" 218 121
"D40" 211 114
"D40" 223 110
"D40" 222 102
"D40" 217 98
"D41" 261 303
"D41" 263 298
"D41" 264 286
"D41" 271 281
"D41" 282 286
"D41" 292 282
"D41" 299 287
"D41" 305 293
"D41" 302 302
"D41" 307 308
"D41" 296 309
"D41" 286 311
"D41" 280 316
"D41" 279 327
"D41" 269 324
"D41" 261 333
"D41" 254 334
"D41" 252 328
"D41" 251 316
"D41" 245 310
"D41" 253 307
"D42" 381 228
"D42" 371 225
"D42" 373 229
"D42" 367 229
"D42" 368 217
"D42" 364 217
"D42" 365 215
"D42" 367 191
"D42" 374 195
"D42" 377 190
"D42" 373 181
"D42" 380 182
"D42" 391 183
"D42" 395 177
"D42" 402 180
"D42" 407 182
"D42" 407 187
"D42" 402 190
"D42" 401 196
"D42" 394 201
"D42" 395 206
"D42" 385 216
"D42" 393 224
"D42" 393 227
"D42" 386 226
"D43" 366 152
"D43" 376 144
"D43" 380 153
"D43" 388 160
"D43" 394 165
"D43" 395 177
"D43" 391 183
"D43" 380 182
"D43" 373 181
"D43" 363 180
"D43" 357 182
"D43" 349 185
"D43" 345 182
"D43" 338 177
"D43" 343 176
"D43" 348 173
"D43" 353 161
"D43" 359 149
"D44" 168 271
"D44" 164 269
"D44" 161 276
"D44" 160 267
"D44" 153 268
"D44" 144 276
"D44" 133 280
"D44" 135 282
"D44" 138 285
"D44" 145 290
"D44" 153 285
"D44" 147 292
"D44" 137 291
"D44" 130 289
"D44" 123 293
"D44" 126 296
"D44" 137 300
"D44" 142 304
"D44" 140 313
"D44" 155 313
"D44" 167 321
"D44" 175 319
"D44" 175 311
"D44" 182 306
"D44" 177 304
"D44" 184 299
"D44" 186 295
"D44" 168 289
"D44" 175 279
"D44" 167 275
"D45" 315 306
"D45" 307 308
"D45" 296 309
"D45" 286 311
"D45" 280 316
"D45" 279 327
"D45" 287 331
"D45" 295 335
"D45" 302 345
"D45" 313 342
"D45" 315 335
"D45" 328 338
"D45" 334 340
"D45" 337 333
"D45" 337 323
"D45" 333 317
"D45" 329 314
"D45" 334 306
"D45" 329 302
"D45" 322 302
"D46" 273 114
"D46" 263 121
"D46" 259 133
"D46" 263 136
"D46" 271 144
"D46" 275 153
"D46" 275 161
"D46" 283 159
"D46" 290 156
"D46" 303 159
"D46" 305 150
"D46" 306 139
"D46" 301 135
"D46" 293 130
"D46" 285 120
"D47" 254 113
"D47" 247 104
"D47" 244 107
"D47" 222 102
"D47" 223 110
"D47" 211 114
"D47" 218 121
"D47" 226 138
"D47" 223 142
"D47" 231 140
"D47" 241 142
"D47" 247 141
"D47" 252 139
"D47" 257 140
"D47" 263 136
"D47" 259 133
"D47" 263 121
"D47" 259 119
"D48" 379 119
"D48" 377 112
"D48" 368 118
"D48" 366 113
"D48" 356 114
"D48" 349 115
"D48" 345 121
"D48" 347 129
"D48" 343 135
"D48" 338 144
"D48" 344 153
"D48" 353 161
"D48" 359 149
"D48" 366 152
"D48" 376 144
"D48" 379 134
"D48" 376 123
"D49" 198 312
"D49" 205 314
"D49" 214 308
"D49" 230 307
"D49" 229 300
"D49" 226 290
"D49" 222 280
"D49" 216 275
"D49" 206 279
"D49" 192 274
"D49" 182 277
"D49" 177 274
"D49" 175 279
"D49" 168 289
"D49" 186 295
"D49" 184 299
"D49" 177 304
"D49" 182 306
"D49" 175 311
"D49" 175 319
"D49" 178 320
"D49" 186 316
"D50" 177 421
"D50" 172 425
"D50" 166 423
"D50" 160 424
"D50" 155 427
"D50" 155 423
"D50" 154 417
"D50" 155 412
"D50" 160 401
"D50" 165 398
"D50" 164 396
"D50" 163 391
"D50" 164 379
"D50" 165 371
"D50" 171 365
"D50" 164 363
"D50" 170 355
"D50" 177 360
"D50" 184 358
"D50" 190 356
"D50" 195 365
"D50" 191 371
"D50" 179 374
"D50" 184 380
"D50" 189 389
"D50" 180 402
"D50" 182 405
"D50" 174 417
"D51" 365 356
"D51" 374 363
"D51" 381 370
"D51" 387 360
"D51" 394 359
"D51" 405 361
"D51" 411 368
"D51" 410 373
"D51" 406 377
"D51" 410 383
"D51" 409 393
"D51" 407 401
"D51" 395 400
"D51" 386 404
"D51" 377 406
"D51" 370 406
"D51" 365 404
"D51" 360 403
"D51" 360 394
"D51" 357 386
"D51" 353 377
"D51" 355 365
"D51" 360 359
"D52" 409 321
"D52" 418 311
"D52" 428 309
"D52" 433 314
"D52" 440 322
"D52" 446 330
"D52" 440 331
"D52" 435 337
"D52" 437 345
"D52" 431 350
"D52" 427 353
"D52" 422 361
"D52" 415 365
"D52" 411 368
"D52" 405 361
"D52" 394 359
"D52" 400 353
"D52" 407 340
"D52" 406 337
"D52" 402 330
"D52" 408 326
"D53" 198 312
"D53" 205 314
"D53" 207 323
"D53" 212 329
"D53" 217 344
"D53" 218 353
"D53" 214 359
"D53" 207 355
"D53" 197 355
"D53" 190 356
"D53" 184 358
"D53" 182 348
"D53" 181 335
"D53" 184 330
"D53" 180 330
"D53" 178 320
"D53" 186 316
"D54" 443 416
"D54" 443 411
"D54" 448 403
"D54" 446 395
"D54" 451 385
"D54" 458 384
"D54" 460 377
"D54" 471 374
"D54" 479 368
"D54" 490 364
"D54" 489 361
"D54" 471 360
"D54" 464 355
"D54" 450 350
"D54" 444 354
"D54" 438 358
"D54" 438 379
"D54" 439 385
"D54" 437 395
"D54" 436 405
"D54" 433 411
"D54" 427 410
"D54" 427 417
"D54" 420 421
"D54" 440 419
"D55" 427 410
"D55" 433 411
"D55" 436 405
"D55" 437 395
"D55" 439 385
"D55" 438 379
"D55" 438 358
"D55" 435 356
"D55" 427 353
"D55" 422 361
"D55" 415 365
"D55" 411 368
"D55" 410 373
"D55" 406 377
"D55" 410 383
"D55" 409 393
"D55" 407 401
"D55" 407 413
"D55" 408 421
"D55" 414 419
"D55" 414 425
"D55" 420 421
"D55" 427 417
"D56" 121 332
"D56" 115 339
"D56" 105 342
"D56" 90 343
"D56" 81 341
"D56" 88 332
"D56" 92 331
"D56" 86 320
"D56" 91 317
"D56" 102 317
"D56" 100 307
"D56" 108 309
"D56" 116 311
"D56" 116 306
"D56" 117 304
"D56" 125 303
"D56" 126 296
"D56" 137 300
"D56" 142 304
"D56" 140 313
"D56" 140 320
"D56" 142 327
"D56" 135 330
"D56" 134 337
"D56" 127 339
"D57" 463 415
"D57" 468 411
"D57" 477 400
"D57" 478 405
"D57" 484 401
"D57" 488 401
"D57" 498 402
"D57" 507 396
"D57" 503 389
"D57" 494 389
"D57" 482 395
"D57" 480 390
"D57" 477 385
"D57" 483 382
"D57" 484 377
"D57" 488 383
"D57" 495 380
"D57" 493 366
"D57" 490 364
"D57" 479 368
"D57" 471 374
"D57" 460 377
"D57" 458 384
"D57" 451 385
"D57" 446 395
"D57" 448 403
"D57" 443 411
"D57" 443 416
"D57" 440 419
"D57" 452 417
"D58" 353 254
"D58" 355 253
"D58" 362 258
"D58" 367 255
"D58" 377 259
"D58" 376 272
"D58" 381 281
"D58" 378 295
"D58" 368 295
"D58" 356 302
"D58" 350 299
"D58" 339 306
"D58" 334 306
"D58" 329 302
"D58" 332 291
"D58" 335 283
"D58" 339 269
"D58" 338 261
"D58" 344 253
"D59" 307 497
"D59" 300 496
"D59" 303 488
"D59" 308 478
"D59" 314 475
"D59" 323 476
"D59" 327 469
"D59" 334 464
"D59" 338 456
"D59" 336 443
"D59" 339 438
"D59" 350 442
"D59" 358 443
"D59" 369 443
"D59" 375 440
"D59" 377 448
"D59" 376 458
"D59" 369 461
"D59" 358 459
"D59" 357 466
"D59" 350 470
"D59" 343 471
"D59" 338 484
"D59" 331 481
"D59" 326 481
"D59" 321 486
"D59" 318 490
"D59" 317 499
"D60" 318 390
"D60" 307 395
"D60" 302 395
"D60" 286 395
"D60" 286 403
"D60" 286 414
"D60" 289 427
"D60" 301 425
"D60" 313 419
"D60" 320 415
"D60" 326 419
"D60" 337 423
"D60" 339 416
"D60" 337 407
"D60" 335 398
"D60" 339 387
"D60" 327 387
"D61" 237 345
"D61" 236 353
"D61" 226 350
"D61" 218 353
"D61" 214 359
"D61" 207 355
"D61" 197 355
"D61" 190 356
"D61" 195 365
"D61" 191 371
"D61" 199 374
"D61" 212 372
"D61" 229 381
"D61" 238 379
"D61" 245 375
"D61" 252 366
"D61" 258 355
"D61" 251 344
"D61" 243 342
"D62" 323 445
"D62" 314 447
"D62" 313 453
"D62" 304 453
"D62" 296 456
"D62" 291 459
"D62" 287 460
"D62" 281 467
"D62" 282 473
"D62" 282 483
"D62" 289 492
"D62" 300 496
"D62" 303 488
"D62" 308 478
"D62" 314 475
"D62" 323 476
"D62" 327 469
"D62" 334 464
"D62" 338 456
"D62" 336 443
"D62" 329 443
"D63" 357 182
"D63" 349 185
"D63" 345 182
"D63" 338 177
"D63" 332 182
"D63" 321 185
"D63" 317 193
"D63" 320 197
"D63" 314 208
"D63" 322 216
"D63" 323 224
"D63" 331 230
"D63" 334 228
"D63" 341 222
"D63" 354 223
"D63" 364 217
"D63" 365 215
"D63" 367 191
"D63" 374 195
"D63" 377 190
"D63" 373 181
"D63" 363 180
"D64" 214 75
"D64" 213 63
"D64" 209 54
"D64" 201 37
"D64" 195 37
"D64" 185 42
"D64" 177 46
"D64" 164 51
"D64" 161 56
"D64" 158 51
"D64" 154 54
"D64" 158 61
"D64" 153 66
"D64" 151 63
"D64" 148 65
"D64" 143 68
"D64" 150 71
"D64" 155 79
"D64" 168 79
"D64" 176 77
"D64" 192 79
"D64" 199 78
"D64" 207 84
"D64" 212 83
"D65" 213 28
"D65" 227 29
"D65" 238 29
"D65" 234 44
"D65" 241 46
"D65" 237 56
"D65" 242 63
"D65" 234 66
"D65" 222 71
"D65" 217 84
"D65" 212 83
"D65" 214 75
"D65" 213 63
"D65" 209 54
"D65" 201 37
"D65" 210 36
"D66" 301 11
"D66" 310 16
"D66" 320 10
"D66" 341 18
"D66" 347 16
"D66" 342 26
"D66" 343 38
"D66" 335 42
"D66" 324 38
"D66" 315 38
"D66" 314 29
"D66" 306 26
"D66" 286 26
"D66" 294 17
"D67" 532 393
"D67" 523 380
"D67" 515 366
"D67" 515 355
"D67" 510 345
"D67" 501 350
"D67" 494 354
"D67" 490 353
"D67" 489 361
"D67" 490 364
"D67" 493 366
"D67" 495 380
"D67" 488 383
"D67" 484 377
"D67" 483 382
"D67" 477 385
"D67" 480 390
"D67" 482 395
"D67" 494 389
"D67" 503 389
"D67" 507 396
"D67" 519 396
"D68" 511 330
"D68" 510 327
"D68" 509 309
"D68" 498 304
"D68" 494 310
"D68" 490 313
"D68" 491 318
"D68" 479 324
"D68" 484 332
"D68" 489 341
"D68" 494 354
"D68" 501 350
"D68" 510 345
"D68" 511 335
"D69" 385 216
"D69" 395 206
"D69" 394 201
"D69" 401 196
"D69" 402 190
"D69" 407 187
"D69" 412 191
"D69" 411 196
"D69" 419 196
"D69" 423 203
"D69" 420 209
"D69" 415 209
"D69" 408 216
"D69" 406 222
"D69" 407 228
"D69" 398 235
"D69" 393 230
"D69" 393 227
"D69" 393 224
"D70" 428 299
"D70" 432 291
"D70" 437 289
"D70" 448 292
"D70" 453 296
"D70" 464 303
"D70" 474 307
"D70" 481 309
"D70" 482 316
"D70" 479 324
"D70" 475 329
"D70" 467 327
"D70" 457 328
"D70" 452 333
"D70" 446 330
"D70" 440 322
"D70" 433 314
"D70" 428 309
"D70" 432 304
"D71" 376 244
"D71" 376 239
"D71" 373 229
"D71" 371 225
"D71" 381 228
"D71" 386 226
"D71" 393 227
"D71" 393 230
"D71" 398 235
"D71" 407 228
"D71" 415 246
"D71" 418 245
"D71" 429 244
"D71" 431 247
"D71" 430 261
"D71" 432 266
"D71" 423 275
"D71" 411 272
"D71" 400 268
"D71" 393 274
"D71" 381 281
"D71" 376 272
"D71" 377 259
"D71" 367 255
"D71" 362 258
"D71" 367 245
"D72" 230 307
"D72" 239 307
"D72" 245 310
"D72" 251 316
"D72" 252 328
"D72" 254 334
"D72" 250 338
"D72" 251 344
"D72" 243 342
"D72" 237 345
"D72" 236 353
"D72" 226 350
"D72" 218 353
"D72" 217 344
"D72" 212 329
"D72" 207 323
"D72" 205 314
"D72" 214 308
"D73" 470 201
"D73" 473 209
"D73" 479 218
"D73" 488 209
"D73" 490 213
"D73" 496 218
"D73" 495 204
"D73" 501 194
"D73" 506 190
"D73" 503 181
"D73" 494 174
"D73" 484 172
"D73" 479 168
"D73" 473 172
"D73" 465 178
"D73" 468 185
"D73" 458 192
"D73" 454 188
"D73" 449 188
"D73" 447 192
"D73" 442 199
"D73" 448 204
"D73" 448 219
"D73" 452 213
"D73" 458 206
"D74" 470 201
