"reg" "x" "y"
"31" 308 85
"31" 334 93
"31" 332 106
"31" 322 110
"32" 298 150
"32" 289 140
"32" 290 134
"32" 305 128
"32" 315 146
"33" 341 148
"33" 348 160
"33" 334 167
"33" 321 162
"33" 322 150
"34" 321 147
"34" 315 146
"34" 305 128
"34" 323 125
"34" 328 128
"35" 343 128
"35" 346 132
"35" 341 148
"35" 322 150
"35" 321 147
"35" 328 128
"36" 358 161
"36" 348 160
"36" 341 148
"36" 346 132
"36" 360 133
"36" 363 136
"36" 359 158
"37" 374 138
"37" 382 155
"37" 359 158
"37" 363 136
"38" 390 125
"38" 394 151
"38" 392 159
"38" 382 155
"38" 374 138
"39" 370 63
"39" 357 51
"39" 356 42
"39" 368 34
"39" 378 64
"40" 345 64
"40" 341 63
"40" 339 59
"40" 340 41
"40" 343 39
"40" 356 42
"40" 357 51
"41" 321 54
"41" 325 41
"41" 340 41
"41" 339 59
"42" 314 59
"42" 301 54
"42" 299 42
"42" 319 33
"42" 325 41
"42" 321 54
"43" 287 66
"43" 280 61
"43" 277 40
"43" 294 39
"43" 299 42
"43" 301 54
"44" 280 61
"44" 263 65
"44" 252 51
"44" 273 37
"44" 277 40
"45" 252 51
"45" 237 44
"45" 264 6
"45" 273 37
"46" 296 22
"46" 294 39
"46" 277 40
"46" 273 37
"46" 264 6
"47" 306 16
"47" 306 3
"47" 264 6
"47" 296 22
"48" 306 16
"48" 320 25
"48" 319 33
"48" 299 42
"48" 294 39
"48" 296 22
"49" 331 8
"49" 329 18
"49" 320 25
"49" 306 16
"49" 306 3
"50" 343 29
"50" 343 39
"50" 340 41
"50" 325 41
"50" 319 33
"50" 320 25
"50" 329 18
"51" 331 8
"51" 354 18
"51" 343 29
"51" 329 18
"52" 368 34
"52" 356 42
"52" 343 39
"52" 343 29
"52" 354 18
"53" 287 66
"53" 289 79
"53" 281 86
"53" 261 73
"53" 263 65
"53" 280 61
"54" 261 73
"54" 256 78
"54" 231 78
"54" 237 44
"54" 252 51
"54" 263 65
"55" 261 73
"55" 281 86
"55" 278 91
"55" 260 97
"55" 257 95
"55" 256 78
"56" 278 91
"56" 285 110
"56" 279 117
"56" 262 118
"56" 260 97
"57" 253 126
"57" 236 117
"57" 232 97
"57" 257 95
"57" 260 97
"57" 262 118
"58" 257 95
"58" 232 97
"58" 224 87
"58" 231 78
"58" 256 78
"59" 250 139
"59" 219 146
"59" 217 133
"59" 225 120
"59" 236 117
"59" 253 126
"59" 253 136
"60" 222 167
"60" 218 149
"60" 219 146
"60" 250 139
"60" 253 155
"61" 204 128
"61" 202 122
"61" 209 111
"61" 225 120
"61" 217 133
"62" 224 87
"62" 232 97
"62" 236 117
"62" 225 120
"62" 209 111
"63" 159 121
"63" 167 105
"63" 183 113
"63" 179 130
"63" 174 131
"64" 191 139
"64" 204 128
"64" 202 122
"64" 183 113
"64" 179 130
"65" 191 139
"65" 204 128
"65" 217 133
"65" 219 146
"65" 218 149
"65" 201 148
"66" 196 163
"66" 192 165
"66" 182 154
"66" 191 139
"66" 201 148
"67" 190 170
"67" 175 172
"67" 168 168
"67" 167 163
"67" 176 155
"67" 182 154
"67" 192 165
"68" 176 155
"68" 169 140
"68" 174 131
"68" 179 130
"68" 191 139
"68" 182 154
"69" 167 163
"69" 155 153
"69" 152 146
"69" 169 140
"69" 176 155
"70" 174 131
"70" 159 121
"70" 150 123
"70" 149 144
"70" 152 146
"70" 169 140
"71" 190 170
"71" 194 183
"71" 179 188
"71" 175 172
"72" 190 170
"72" 192 165
"72" 196 163
"72" 222 167
"72" 213 180
"72" 194 183
"73" 222 167
"73" 218 149
"73" 201 148
"73" 196 163
"74" 175 172
"74" 168 168
"74" 158 173
"74" 152 190
"74" 179 188
"75" 168 168
"75" 158 173
"75" 147 170
"75" 155 153
"75" 167 163
"76" 159 121
"76" 150 123
"76" 147 120
"76" 150 97
"76" 167 105
"77" 149 191
"77" 138 179
"77" 140 172
"77" 147 170
"77" 158 173
"77" 152 190
"78" 140 172
"78" 131 161
"78" 146 146
"78" 149 144
"78" 152 146
"78" 155 153
"78" 147 170
"79" 130 137
"79" 131 122
"79" 134 119
"79" 147 120
"79" 150 123
"79" 149 144
"79" 146 146
"80" 134 119
"80" 132 98
"80" 150 97
"80" 147 120
"81" 128 184
"81" 119 176
"81" 118 169
"81" 128 161
"81" 131 161
"81" 140 172
"81" 138 179
"82" 108 165
"82" 106 148
"82" 116 145
"82" 128 161
"82" 118 169
"83" 104 170
"83" 85 166
"83" 78 154
"83" 101 145
"83" 106 148
"83" 108 165
"84" 75 136
"84" 95 122
"84" 101 145
"84" 78 154
"85" 101 145
"85" 95 122
"85" 112 117
"85" 118 142
"85" 116 145
"85" 106 148
"86" 118 142
"86" 130 137
"86" 146 146
"86" 131 161
"86" 128 161
"86" 116 145
"87" 118 142
"87" 112 117
"87" 131 122
"87" 130 137
"88" 131 122
"88" 112 117
"88" 132 98
"88" 134 119
"89" 128 184
"89" 138 179
"89" 149 191
"89" 147 198
"89" 125 198
"90" 105 195
"90" 104 190
"90" 119 176
"90" 128 184
"90" 125 198
"91" 108 165
"91" 118 169
"91" 119 176
"91" 104 190
"91" 101 185
"91" 104 170
"92" 84 176
"92" 85 166
"92" 104 170
"92" 101 185
"93" 104 190
"93" 105 195
"93" 80 199
"93" 78 184
"93" 84 176
"93" 101 185
"94" 78 184
"94" 51 174
"94" 78 154
"94" 85 166
"94" 84 176
"95" 80 199
"95" 57 203
"95" 51 174
"95" 78 184
"96" 42 211
"96" 25 197
"96" 51 174
"96" 57 203
"97" 28 220
"97" 16 219
"97" 15 208
"97" 25 197
"97" 42 211
