"tabBinary.Anemogamous" "tabBinary.Autogamous" "tabBinary.Entomogamous" "tabBinary.Annual" "tabBinary.Biennial" "tabBinary.Perennial" "tabBinary.Seasonnal" "tabQuantitative.Lfp" "tabQuantitative.Min.height" "tabQuantitative.Max.height" "Bfp" "tabOrdinal.Succulence" "tabOrdinal.Spikiness" "tabOrdinal.Hairy.leaves"
0 0 1 0 0 1 0 1.79175946922805 -2.30258509299405 -0.916290731874155 9.166666667 0 0 1
0 0 1 0 1 0 0 2.39789527279837 -2.30258509299405 0.336472236621213 7 0 0 0
0 1 1 1 0 0 0 2.07944154167984 -2.30258509299405 -1.20397280432594 2.5 2 0 0
0 1 1 1 0 0 0 1.09861228866811 -2.30258509299405 -0.693147180559945 9 0 0 2
0 0 1 0 1 0 0 1.09861228866811 -2.30258509299405 -1.20397280432594 5 0 1 0
0 0 1 1 0 0 0 1.38629436111989 -2.99573227355399 0 6.5 0 0 0
0 0 1 1 0 0 0 1.38629436111989 -1.6094379124341 0 7.5 0 0 0
0 0 1 1 0 0 0 1.6094379124341 -2.30258509299405 -1.6094379124341 7 0 0 0
0 1 1 0 0 0 1 2.39789527279837 -2.30258509299405 -0.693147180559945 2.5 0 0 1
0 0 1 1 0 0 0 1.94591014905531 -2.30258509299405 -0.916290731874155 7 0 1 2
0 0 1 1 0 0 0 0.693147180559945 -1.20397280432594 -0.356674943938732 4.5 0 0 1
0 0 1 1 0 0 0 1.38629436111989 -2.30258509299405 -0.916290731874155 5.5 0 0 2
0 0 1 0 0 1 0 1.09861228866811 -1.6094379124341 0 5 0 0 1
