"id" "x" "y"
"sancristo" 281.8 110.9
"sancristo" 280 105.4
"sancristo" 275.8 103.6
"sancristo" 274 104.8
"sancristo" 271.6 104.8
"sancristo" 270.4 101.8
"sancristo" 270.4 98.8
"sancristo" 263.7 93.3
"sancristo" 263.7 89.7
"sancristo" 269.8 87.9
"sancristo" 274.6 87.9
"sancristo" 278.8 89.7
"sancristo" 283.7 90.3
"sancristo" 286.6 92.1
"sancristo" 289.1 92.7
"sancristo" 294.5 102.4
"sancristo" 300.6 102.4
"sancristo" 303.6 106.6
"sancristo" 306 110.9
"santacruz" 172.4 134.4
"santacruz" 176.6 134.4
"santacruz" 179.7 135
"santacruz" 184.5 135
"santacruz" 185.1 134.4
"santacruz" 186.9 133.9
"santacruz" 186.9 138.6
"santacruz" 193.5 135
"santacruz" 195.4 138.1
"santacruz" 197.8 138.1
"santacruz" 201.4 133.2
"santacruz" 206.9 129
"santacruz" 205.7 124.2
"santacruz" 206.3 117.5
"santacruz" 203.9 114.5
"santacruz" 202.6 114.5
"santacruz" 202 116.3
"santacruz" 199 116.3
"santacruz" 196.6 111.4
"santacruz" 195.4 110.2
"santacruz" 192.4 110.2
"santacruz" 189.9 107.2
"santacruz" 183.3 106.6
"santacruz" 180.9 107.8
"santacruz" 177.3 108.4
"santacruz" 174.2 110.2
"santacruz" 173 112
"santacruz" 167 113.9
"santacruz" 166.3 116.9
"santacruz" 164.5 122.4
"santacruz" 168.8 133.9
"santacruz" 171.8 134.4
"santafe" 211.7 105.4
"santafe" 217.1 106
"santafe" 219.6 103
"santafe" 217.8 100
"santafe" 215.3 101.2
"santafe" 211.1 101.8
"santafe" 211.1 103.6
"santiago" 133.7 166.5
"santiago" 138.6 170.7
"santiago" 139.8 178
"santiago" 142.8 178.6
"santiago" 151.9 178
"santiago" 156.1 173.1
"santiago" 164 167.7
"santiago" 164 163.5
"santiago" 168.2 158.6
"santiago" 164 154.4
"santiago" 164 151.4
"santiago" 159.1 150.7
"santiago" 156.7 152
"santiago" 148.8 153.2
"santiago" 142.2 156.2
"santiago" 135.5 155.6
"santiago" 132.5 163.5
"seymour" 196 155
"seymour" 199 153.8
"seymour" 197.2 152
"seymour" 196 153.2
"seymour" 196.6 155
"south" 209.9 129.6
"south" 211.7 128.4
"south" 210.5 126.6
"south" 208.7 127.8
"south" 209.9 128.4
"tortuga" 126.5 84.8
"tortuga" 128.9 82.4
"tortuga" 128.3 81.2
"tortuga" 125.8 80.6
"tortuga" 124 83
"tortuga" 125.3 84.8
