"Arg" "Leu" "Ser" "Thr" "Pro" "Ala" "Gly" "Val" "Lys" "Asn" "Gln" "His" "Glu" "Asp" "Tyr" "Cys" "Phe" "Ile" "Met" "Trp"
19 28 22 25 15 28 20 29 15 8 12 11 17 18 12 1 13 22 7 2
20 28 21 26 15 31 18 27 12 7 13 12 16 19 12 1 13 24 7 2
9 23 15 9 12 29 21 18 13 15 12 10 14 13 9 2 7 26 7 3
11 19 6 11 5 16 22 15 11 3 2 7 6 9 5 2 5 13 2 1
20 28 8 9 13 18 28 25 4 6 10 7 13 15 5 5 6 19 4 1
24 29 16 15 16 16 18 12 2 1 4 4 15 6 4 2 2 12 3 5
14 15 17 15 7 22 29 31 17 8 7 3 23 12 11 5 7 24 4 3
11 15 17 15 7 23 29 31 19 9 6 3 24 11 11 6 7 24 4 3
12 20 9 15 11 17 27 25 11 19 14 8 16 14 6 7 14 18 9 2
49 71 31 32 28 80 40 40 17 24 41 19 48 43 24 4 36 20 18 15
13 35 21 18 16 39 26 33 18 17 15 9 21 25 8 4 12 26 6 2
14 34 20 16 15 41 26 34 16 22 20 9 18 22 8 4 13 24 5 2
11 41 25 13 13 31 31 22 14 4 14 3 23 15 7 2 9 12 10 5
12 22 12 17 8 40 18 16 19 7 4 4 16 20 6 4 8 19 6 1
2 13 13 20 3 25 19 18 18 13 9 2 15 9 4 7 6 21 4 2
12 29 9 18 15 37 21 30 21 13 12 4 18 22 8 2 11 21 7 3
12 39 23 22 19 43 32 30 25 18 10 11 21 18 6 2 14 20 14 4
22 51 23 19 20 58 52 44 17 8 23 15 29 15 5 9 9 27 9 4
17 38 15 18 17 54 55 54 38 16 13 12 29 31 7 7 15 23 11 4
12 39 23 24 16 65 52 56 35 10 15 12 29 25 8 3 14 29 9 1
15 34 14 26 21 50 51 45 39 14 8 13 39 25 8 5 14 39 9 4
25 43 23 18 20 28 25 31 12 14 16 7 29 19 7 4 14 15 15 1
2 7 6 3 7 4 10 7 12 2 2 1 9 8 5 3 6 6 2 2
51 45 40 37 25 55 55 71 26 10 32 18 56 34 16 13 25 45 24 5
45 46 47 38 29 55 57 58 37 19 33 11 51 44 22 9 33 45 15 1
40 43 31 43 31 59 54 50 46 18 24 13 62 50 21 4 27 51 27 5
37 50 37 40 32 59 58 71 40 18 24 8 58 46 18 4 23 48 19 4
35 43 25 38 36 51 56 55 54 14 26 13 70 40 23 5 25 61 23 6
43 46 25 44 39 48 57 53 44 17 26 13 70 37 20 6 23 61 22 6
40 43 34 39 34 67 55 63 36 24 27 13 69 36 20 4 25 45 20 5
32 44 35 33 28 46 60 64 54 24 21 12 69 39 22 6 26 48 24 4
36 44 29 38 33 65 60 59 44 28 25 14 62 43 19 3 24 50 21 6
41 49 43 39 30 53 58 67 38 16 25 11 68 39 21 4 20 54 18 3
42 47 29 32 34 53 46 62 50 16 20 10 76 36 26 2 20 54 21 6
42 49 22 44 38 50 59 64 42 13 24 14 66 40 22 1 22 56 20 3
43 38 38 38 32 57 58 57 42 22 27 15 64 40 21 7 23 44 30 6
22 28 8 7 6 18 21 20 33 7 10 4 42 15 8 4 7 22 8 0
10 26 25 15 7 26 17 29 22 10 14 6 27 12 3 2 13 13 4 1
12 17 6 6 4 23 17 16 22 9 9 2 26 13 3 3 6 17 5 1
14 18 2 2 4 23 11 14 18 7 11 4 26 8 4 2 5 14 8 1
23 27 12 33 19 41 41 36 21 9 11 10 32 27 9 1 12 31 13 1
24 33 12 21 21 28 37 49 24 10 10 10 45 21 11 4 12 21 11 1
18 30 15 24 16 32 33 32 31 12 10 10 36 24 9 4 15 32 11 0
20 23 19 31 17 30 36 38 25 12 7 10 33 29 10 1 11 31 15 1
20 21 10 27 26 30 33 40 27 10 7 8 34 25 14 3 13 33 17 1
19 30 10 31 20 28 40 37 28 13 9 10 37 23 8 1 12 26 12 1
24 24 12 26 24 32 40 35 21 8 13 10 34 24 9 1 13 34 16 0
21 26 11 33 18 34 37 36 22 8 10 11 35 23 11 5 15 27 11 0
16 26 14 29 21 29 38 33 29 13 14 10 34 21 9 2 12 31 13 0
23 27 12 33 19 41 41 36 21 9 11 10 31 28 9 1 12 31 13 1
21 26 10 30 15 35 38 36 29 7 7 10 38 29 11 1 11 30 15 0
22 28 14 28 19 29 40 40 18 17 9 10 30 24 7 2 14 27 15 2
20 29 11 30 19 34 40 36 26 9 8 11 34 23 10 4 13 28 11 0
32 39 23 28 25 37 48 41 31 10 14 11 32 32 11 14 19 37 10 1
21 26 12 28 18 27 39 47 25 14 6 10 40 25 11 3 11 24 12 1
31 43 22 29 22 39 28 37 11 14 10 11 22 25 12 4 8 19 8 1
9 20 4 8 7 10 24 14 11 4 4 2 9 12 5 2 10 6 7 3
7 17 5 9 8 10 24 12 13 4 5 2 11 10 6 3 9 10 10 2
17 27 32 23 12 48 49 31 16 13 11 10 25 20 10 6 13 24 17 2
18 27 23 15 4 18 22 27 19 10 6 10 25 12 3 4 8 20 14 1
25 38 22 16 26 31 28 22 11 7 26 11 23 18 7 5 12 19 7 20
9 10 4 9 5 13 14 14 5 6 2 2 8 4 1 0 6 5 3 2
25 38 31 33 6 78 28 27 19 12 23 6 41 16 0 0 6 22 5 1
4 21 12 11 4 10 5 2 9 8 12 6 19 7 9 1 9 7 7 2
32 41 35 33 23 64 53 35 25 24 21 16 40 32 17 12 17 34 23 14
12 29 23 21 16 31 31 31 21 17 6 6 13 24 7 4 12 20 6 4
11 25 21 26 16 36 31 28 20 17 7 4 12 22 10 5 14 22 9 3
16 29 23 22 10 27 23 34 21 24 6 9 17 24 7 4 6 23 5 6
13 33 24 22 12 26 26 31 29 16 4 8 17 24 7 2 8 27 4 2
15 30 20 22 11 36 24 35 19 14 9 5 15 25 9 6 15 19 8 4
17 27 29 21 12 32 28 36 24 13 10 7 20 18 12 5 10 18 7 4
18 45 29 36 19 48 39 34 36 33 20 18 33 33 16 2 33 33 14 10
25 59 25 24 28 58 43 37 23 19 43 10 26 33 17 1 20 23 10 7
25 52 26 25 19 72 38 21 29 17 19 17 35 30 9 2 26 27 13 5
36 71 38 28 21 59 49 43 23 19 22 24 51 30 18 4 13 43 13 3
30 58 34 33 17 68 45 49 35 22 15 20 56 24 17 5 19 45 14 3
28 74 26 40 30 65 42 43 26 18 32 26 49 29 17 5 21 47 8 4
47 76 19 33 29 68 51 56 22 9 12 20 63 26 23 2 9 28 5 5
46 73 32 29 26 85 52 49 12 10 24 28 34 33 17 6 14 26 9 5
20 28 25 23 26 42 34 37 34 16 10 13 26 40 19 5 27 21 21 2
15 32 26 23 31 37 35 37 35 18 9 13 27 41 18 5 27 17 21 2
15 20 16 17 19 26 34 18 21 14 9 10 20 21 17 4 18 12 11 7
23 32 28 20 27 45 36 32 24 19 10 16 36 31 17 4 23 27 16 2
16 35 28 20 27 50 27 27 31 29 8 11 35 29 18 5 24 32 18 2
18 31 36 19 21 32 34 34 34 25 15 14 37 26 20 5 36 25 14 5
23 30 30 23 27 48 40 27 26 16 14 15 28 35 17 3 23 29 13 5
20 42 25 26 35 40 34 22 25 19 17 11 27 34 22 7 25 24 10 8
17 35 27 25 34 33 39 20 28 23 13 9 33 31 23 8 25 30 12 8
25 37 19 23 27 30 29 27 26 15 5 11 43 26 20 2 23 34 12 5
19 35 31 22 25 43 38 36 27 17 11 15 32 29 18 4 21 24 16 5
19 29 32 21 24 47 34 34 25 17 9 13 34 38 16 3 26 26 19 2
39 53 30 25 20 41 41 30 25 13 16 15 33 32 22 3 15 26 10 12
31 56 26 32 26 46 47 34 24 16 29 18 32 32 26 10 16 36 10 6
13 30 20 16 18 46 38 37 30 20 16 13 26 22 21 6 12 23 10 3
20 37 36 17 11 36 33 22 30 22 8 11 26 24 12 3 24 39 6 0
15 31 18 18 18 47 38 36 28 21 18 11 27 21 20 6 13 24 8 3
10 36 25 16 15 39 35 27 33 22 13 17 30 17 17 5 19 30 10 0
19 32 21 26 21 57 46 26 24 12 18 14 23 25 10 3 22 25 8 2
20 41 21 26 21 45 39 29 20 15 18 14 25 24 11 5 18 23 11 1
17 22 17 14 8 31 28 22 8 10 8 3 14 15 3 2 10 13 7 4
31 33 22 22 16 61 51 44 14 14 14 11 24 25 10 3 17 27 7 3
16 27 20 31 17 40 45 47 28 23 13 14 27 24 19 7 15 34 8 1
32 48 18 25 15 49 45 37 20 11 12 11 31 28 10 4 24 21 7 3
10 27 8 11 10 19 10 12 14 6 8 4 15 12 9 2 8 8 5 3
7 28 15 10 12 13 9 15 15 7 8 7 10 14 9 3 7 11 1 2
3 9 4 8 10 10 10 18 10 7 7 3 15 9 10 2 7 5 5 5
24 21 11 11 17 23 29 21 10 9 12 10 21 19 13 4 22 7 7 8
28 22 10 10 19 29 30 16 8 6 9 11 23 23 12 6 21 11 2 9
34 41 23 24 26 53 31 28 13 9 18 12 33 23 15 7 20 27 12 3
25 41 17 13 12 23 21 16 13 8 11 4 24 20 5 5 4 22 13 2
25 42 17 11 12 26 21 17 13 7 11 4 25 19 5 5 3 22 12 2
14 24 10 11 9 24 28 33 10 5 15 3 11 18 6 3 4 13 2 3
17 17 9 11 6 25 23 27 11 8 12 4 12 25 6 5 9 23 4 4
14 24 20 16 6 13 15 6 14 7 13 7 16 11 5 5 10 26 12 0
19 37 19 20 23 44 24 20 10 14 29 18 26 14 17 4 18 25 10 4
48 58 30 28 29 45 58 41 31 13 19 6 42 40 19 17 24 37 11 6
31 46 16 20 21 37 39 49 21 19 17 25 30 34 15 6 19 21 16 5
11 19 10 9 17 18 14 17 10 7 0 5 15 15 4 9 8 14 5 2
10 16 6 11 5 6 13 20 10 6 5 6 15 14 6 1 6 17 5 1
15 33 15 12 13 32 35 25 16 11 3 12 22 15 8 6 15 24 6 3
4 9 3 3 3 2 4 10 13 4 0 4 10 2 2 0 4 9 4 0
6 5 3 7 2 2 5 5 5 3 1 2 6 3 2 1 2 7 4 0
6 7 2 4 3 2 5 5 7 5 0 1 3 4 3 0 2 5 3 0
8 6 4 3 3 4 5 7 4 2 2 2 6 3 3 0 2 5 3 0
48 51 79 44 18 49 68 73 86 59 41 10 51 61 32 4 17 71 19 1
50 50 40 37 16 95 61 89 81 34 31 9 90 51 13 3 16 43 20 0
42 49 12 21 24 62 48 50 37 10 32 8 65 31 10 2 14 37 15 2
72 52 57 34 32 90 80 88 51 23 30 12 61 45 16 7 19 49 23 1
15 14 2 0 7 9 8 12 27 5 8 3 24 8 4 2 5 16 5 1
16 14 7 4 7 6 12 13 23 8 8 1 16 9 3 1 6 19 5 0
15 15 7 5 7 10 14 14 21 4 12 1 21 7 3 1 5 12 6 0
15 15 6 6 6 10 13 13 20 6 11 2 20 9 3 1 5 12 6 0
17 11 3 6 8 17 7 10 19 5 10 4 15 15 4 1 5 12 8 0
17 17 9 6 7 11 13 16 17 6 9 3 9 11 4 3 5 7 8 1
29 47 36 18 27 29 36 23 29 21 25 13 27 39 17 8 30 32 12 14
6 10 7 7 13 8 11 12 15 9 6 4 13 14 6 2 6 22 4 2
6 22 11 10 12 10 15 9 15 7 8 4 16 17 10 8 5 20 3 1
7 12 4 8 9 14 11 16 13 11 5 3 14 17 3 2 8 14 2 3
5 12 11 11 12 8 11 17 13 6 4 5 13 11 8 1 5 14 9 2
8 17 4 4 11 13 19 21 14 2 5 3 14 15 7 1 4 8 2 2
17 19 15 9 14 21 19 17 9 4 11 4 11 18 8 1 4 12 4 1
13 16 5 11 10 19 20 19 18 4 8 3 18 17 7 1 5 14 6 0
10 18 7 11 10 19 19 16 17 4 12 3 13 20 6 1 8 15 5 0
9 18 14 8 4 12 15 13 16 10 7 2 22 8 4 0 7 18 4 0
13 16 4 11 8 22 20 20 17 3 10 3 16 18 7 1 5 14 6 0
13 18 5 12 8 21 18 18 16 3 9 4 18 17 7 1 6 15 5 0
9 25 22 16 12 26 18 17 14 8 11 8 17 11 5 5 12 22 8 3
13 28 24 13 14 20 18 22 13 10 12 6 17 13 5 4 11 17 6 3
10 23 14 8 15 26 25 28 22 10 13 6 15 19 4 4 16 16 10 0
9 22 19 9 14 23 22 26 21 12 13 4 15 19 5 6 15 20 10 0
10 23 15 12 14 23 23 26 20 12 13 4 17 18 5 7 15 17 10 0
15 24 15 16 18 34 27 30 25 12 11 4 27 23 12 6 18 20 13 3
15 33 28 14 18 30 33 24 26 13 10 4 31 14 7 2 16 30 8 2
25 39 22 9 16 41 30 29 13 12 17 3 23 25 8 3 9 20 13 3
18 39 19 13 18 38 38 27 16 10 10 3 23 24 9 5 10 17 13 5
19 40 18 17 18 41 37 28 12 9 19 2 19 26 8 2 12 21 12 2
22 38 17 13 25 43 36 35 16 5 2 6 33 15 5 0 14 11 6 3
28 41 13 12 21 52 30 28 10 9 16 5 16 28 7 2 7 19 11 3
56 86 29 44 43 62 54 63 76 19 25 16 70 49 17 3 24 53 25 3
50 95 32 46 48 83 62 65 62 21 23 13 74 49 14 3 17 46 20 3
53 82 40 37 37 61 61 76 72 20 27 13 78 45 17 3 18 44 21 5
48 82 42 42 40 65 57 70 69 16 23 11 68 55 19 1 15 50 22 4
37 86 40 33 39 61 40 51 91 43 31 12 80 51 25 5 23 68 18 1
10 13 10 6 3 22 19 12 11 10 4 7 13 12 5 3 7 20 5 0
12 16 16 15 12 25 37 24 10 12 6 21 8 16 6 7 8 22 10 0
14 13 13 10 8 24 32 22 9 11 10 12 14 14 4 6 11 31 4 0
23 46 28 19 18 28 15 28 6 4 15 12 20 10 5 3 13 12 4 2
40 57 26 23 37 51 45 38 19 21 41 22 27 45 21 7 26 21 16 22
23 50 22 21 17 43 35 31 13 15 14 11 21 21 10 5 12 14 6 2
15 36 25 29 14 37 25 23 18 19 13 6 22 19 11 3 16 26 9 3
13 46 23 23 14 34 38 24 21 13 17 12 22 18 12 4 16 23 6 1
24 52 27 19 17 56 34 26 7 8 16 15 17 23 10 4 14 11 9 6
19 36 30 25 15 30 27 21 20 12 19 13 22 20 13 6 20 31 13 4
18 39 28 25 12 46 32 27 15 15 15 12 20 19 9 5 18 24 10 6
18 35 23 24 17 44 36 35 19 14 17 9 20 35 13 5 11 28 4 2
24 43 23 17 22 30 12 21 7 5 26 10 16 16 3 4 13 14 6 5
17 54 27 31 15 64 39 37 16 23 18 9 23 22 5 4 11 23 9 5
17 32 16 20 21 43 18 23 16 6 15 11 27 21 9 9 9 19 11 4
40 51 21 36 33 67 44 30 4 7 19 17 22 37 8 5 16 24 11 6
40 41 20 19 29 83 49 35 7 10 11 13 25 33 6 10 12 24 13 8
8 11 7 3 4 16 7 12 13 6 2 4 9 11 1 0 9 9 5 0
7 9 7 6 4 22 9 9 9 5 4 3 16 5 3 1 7 11 3 0
7 8 10 7 6 11 12 13 9 6 4 3 13 7 3 1 7 12 6 4
17 33 19 10 13 25 17 21 12 12 11 9 26 12 13 6 15 16 11 3
6 10 9 1 4 6 7 9 6 1 7 3 8 9 2 3 6 7 2 2
33 42 24 13 23 27 42 32 10 6 23 10 13 35 10 1 15 20 6 7
29 37 19 18 21 31 41 32 8 9 22 11 21 27 10 1 15 26 6 7
21 25 11 11 13 14 21 20 3 6 4 6 14 8 5 1 7 11 5 4
19 18 12 9 12 18 18 16 5 6 4 6 15 6 4 2 8 9 5 4
19 26 7 9 13 13 22 18 3 6 3 6 13 7 5 2 8 6 5 5
16 17 13 8 16 20 14 12 3 8 13 8 11 11 5 5 8 16 2 4
16 22 14 12 18 25 12 18 2 4 6 10 12 13 6 5 5 12 4 3
20 18 12 15 19 23 12 20 1 4 7 10 10 14 6 4 7 10 4 3
12 18 15 11 18 26 14 18 6 6 4 9 8 17 2 5 4 16 2 3
15 19 12 9 18 24 12 21 4 3 6 11 12 17 4 7 5 11 3 3
13 22 16 11 7 17 9 10 6 4 12 4 15 14 6 3 8 8 4 1
12 36 15 22 9 37 26 20 22 13 14 9 28 16 10 4 13 11 12 4
11 36 13 23 9 38 26 20 23 12 15 10 24 19 8 4 14 10 14 4
24 33 18 9 12 33 22 19 8 7 11 12 25 20 6 4 13 13 12 3
19 28 17 21 9 23 20 25 23 11 7 5 34 14 7 4 14 13 17 2
16 30 15 19 13 27 21 23 25 14 11 10 29 16 11 5 12 20 15 2
17 27 11 21 12 40 25 21 21 13 10 10 30 15 9 2 14 17 12 4
21 31 16 24 12 26 21 23 20 11 13 9 26 22 14 6 10 14 12 3
20 22 12 6 6 10 6 13 5 9 5 3 15 10 4 0 4 10 4 2
10 27 7 18 16 24 22 18 7 10 8 6 15 7 3 2 8 15 2 4
12 28 6 15 15 25 22 16 7 13 7 5 17 8 2 1 8 14 3 5
15 35 14 22 19 33 41 33 26 15 15 15 32 23 11 3 15 25 15 2
38 62 36 48 30 64 57 43 50 35 30 14 48 53 34 5 30 44 31 7
19 42 17 21 23 77 41 30 20 10 13 7 15 24 3 5 11 24 9 2
13 40 21 20 14 48 32 37 31 13 6 4 26 29 6 3 15 22 5 1
13 35 17 15 18 38 38 43 42 9 6 6 37 23 3 0 17 26 10 3
33 54 15 11 27 46 44 38 15 5 3 6 37 18 7 0 16 9 4 1
9 10 9 15 8 37 27 17 13 12 10 3 15 10 7 3 8 19 6 4
13 10 14 15 6 33 26 19 7 15 9 4 13 11 3 4 10 19 12 3
9 11 14 12 9 33 28 19 13 13 7 2 11 11 6 2 9 22 7 3
20 50 22 17 18 38 17 28 16 21 29 14 25 16 10 5 9 21 9 2
24 34 26 14 16 37 18 29 20 11 9 14 31 21 8 5 11 23 9 5
22 22 11 11 13 12 14 22 7 5 7 7 21 15 5 1 9 10 12 3
20 23 6 15 11 17 20 17 10 4 8 5 21 14 7 1 4 16 8 2
22 20 9 13 14 10 15 22 7 5 7 7 24 13 5 1 9 11 12 3
21 21 9 12 14 11 15 22 8 5 7 7 23 13 5 1 9 11 12 3
31 27 23 17 12 37 25 30 16 10 16 9 22 19 9 9 16 16 9 1
31 48 26 15 32 33 29 23 9 4 8 11 33 34 10 1 13 10 9 1
23 41 39 29 14 46 44 29 19 14 17 10 31 23 11 5 11 27 11 6
44 51 31 41 31 73 63 70 34 20 32 11 60 42 13 1 19 52 21 2
42 61 20 18 25 84 50 34 7 8 15 16 23 20 8 2 13 16 7 2
17 57 20 33 23 60 50 41 40 26 15 7 35 32 19 9 22 29 13 5
26 39 22 19 11 45 37 25 11 13 13 10 18 24 7 3 5 31 6 2
19 36 20 19 14 38 28 20 17 21 21 9 17 22 8 0 8 41 8 2
27 38 19 17 12 44 38 30 10 13 14 11 20 23 6 2 5 27 9 2
21 45 19 26 13 44 33 29 15 12 20 4 19 19 8 4 8 27 6 3
19 34 25 12 13 38 23 25 11 6 13 6 9 22 2 9 9 14 4 2
10 19 12 14 3 7 5 5 12 8 9 6 12 9 6 2 8 12 6 1
22 63 39 25 14 31 37 38 54 25 13 2 49 42 24 3 26 52 14 0
31 58 26 29 15 63 36 35 35 17 21 8 60 39 9 4 18 51 18 2
29 70 26 27 14 55 37 38 32 27 19 6 57 38 12 2 17 51 16 2
30 58 23 30 15 66 37 37 34 17 22 8 61 37 9 4 18 50 17 2
2 13 5 2 6 14 7 10 10 3 4 1 8 3 4 1 2 7 4 0
16 51 34 31 13 54 39 51 23 32 25 10 35 21 3 1 13 36 9 2
15 47 19 25 7 54 34 29 16 17 23 7 23 24 2 0 9 15 8 2
3 12 10 11 7 7 16 19 17 4 1 2 17 13 0 0 8 19 2 0
3 12 10 10 8 7 16 19 17 4 1 2 17 13 0 0 8 19 2 0
5 12 6 8 7 11 12 10 3 2 4 6 10 7 3 2 6 7 2 0
1 9 6 10 2 9 6 7 7 2 6 2 9 1 0 0 4 2 2 0
5 18 7 9 7 12 5 12 7 5 10 6 11 9 3 2 6 12 3 1
3 7 3 6 3 7 8 7 5 4 4 3 7 3 1 4 2 13 4 0
14 25 9 22 17 37 22 38 25 14 7 4 23 20 5 0 7 19 10 4
31 49 19 35 20 38 38 43 34 18 24 13 39 38 13 6 25 25 16 4
28 48 20 34 19 38 38 44 36 23 23 11 41 35 14 5 25 29 12 4
31 49 18 39 22 36 38 41 33 18 24 12 41 37 13 5 25 26 16 4
32 59 30 33 26 49 37 32 29 17 26 10 42 36 15 4 29 25 11 5
8 18 10 6 4 11 9 11 10 11 16 6 14 8 6 3 7 14 4 3
20 31 12 12 5 17 20 10 14 11 11 5 19 13 6 4 5 11 5 2
19 31 14 11 8 15 17 13 10 7 14 7 21 10 6 2 7 10 3 1
17 27 10 11 5 22 14 9 15 9 15 6 19 10 6 4 8 15 4 1
8 34 17 9 5 24 11 7 28 8 15 6 19 8 14 3 8 9 7 0
24 28 11 8 9 40 18 13 7 4 8 5 16 15 2 1 7 4 6 2
19 30 17 9 9 13 17 14 10 9 13 6 19 11 4 2 8 10 3 1
25 57 20 19 20 37 17 16 13 10 18 7 29 21 9 5 11 17 12 12
102 64 53 51 86 126 46 97 36 32 67 24 130 39 17 4 20 49 14 4
91 71 69 43 51 64 39 72 53 49 42 21 102 45 17 4 26 61 11 4
0 1 2 2 5 4 5 3 5 0 1 0 3 8 3 4 2 2 1 1
0 0 1 2 7 5 5 5 4 1 0 0 5 5 3 4 2 1 1 1
29 51 24 20 26 34 47 19 6 17 19 17 30 26 18 14 19 17 17 16
18 47 31 27 22 16 37 24 27 21 25 20 31 34 20 5 29 28 13 9
53 74 16 32 27 67 46 38 21 18 31 23 43 42 10 3 16 28 14 12
14 32 19 15 16 39 29 26 19 17 13 9 19 25 13 5 17 19 11 5
4 14 5 5 5 14 29 25 6 6 6 20 17 19 4 6 4 3 4 0
13 10 6 7 3 5 3 6 4 1 9 4 3 9 5 0 5 9 2 2
54 80 62 45 18 64 86 61 51 35 27 27 58 64 19 7 37 61 20 10
55 76 50 42 22 91 80 68 47 33 35 22 64 61 18 6 36 41 21 8
41 75 49 49 22 74 75 66 58 39 46 19 56 57 23 6 37 55 18 9
80 106 30 38 46 87 100 58 36 14 20 15 96 39 22 5 40 27 12 11
73 90 33 37 40 102 91 67 25 20 26 22 75 53 15 8 34 39 21 6
50 48 37 32 29 53 54 45 21 10 23 18 46 29 18 15 29 31 11 6
50 41 24 24 33 54 37 19 15 9 10 16 27 29 10 8 7 18 7 10
26 40 19 19 12 38 31 26 28 27 16 14 40 30 16 8 20 27 15 7
25 52 22 29 21 42 45 26 22 14 22 12 31 37 18 5 19 19 9 13
50 46 39 27 18 58 34 39 11 7 25 23 28 30 14 11 25 17 8 10
38 58 22 28 26 29 40 47 57 12 14 13 72 33 18 3 37 40 11 5
42 58 20 32 27 57 43 40 32 23 19 9 40 46 14 5 29 29 21 4
42 54 15 32 30 49 41 39 29 27 27 7 40 45 13 5 33 31 21 8
33 59 27 19 25 37 38 38 52 22 16 14 55 34 13 8 34 38 13 2
39 62 21 28 29 56 32 28 17 8 5 11 34 26 6 1 14 13 4 12
32 38 19 23 20 41 28 30 24 20 18 19 39 34 18 7 15 26 12 8
31 37 24 25 21 37 30 30 24 22 16 23 41 31 19 5 16 28 12 8
27 54 30 16 27 45 33 30 37 11 14 9 42 25 14 6 19 22 16 8
14 32 16 18 11 16 19 17 27 15 10 15 31 14 8 7 28 19 8 3
22 33 14 16 15 32 24 23 15 8 18 9 20 24 11 2 17 16 10 2
53 84 32 36 37 70 62 79 35 31 24 17 65 52 14 13 19 50 14 8
40 82 44 32 30 85 58 69 36 31 35 17 65 45 12 13 31 52 11 7
68 104 45 45 37 69 64 59 14 14 43 13 72 51 18 9 23 43 3 14
49 101 47 48 43 71 71 67 23 28 40 12 62 44 19 10 17 41 9 8
17 34 10 20 14 29 22 25 11 12 16 7 24 17 16 2 17 12 5 8
47 76 21 34 30 85 38 51 41 24 25 10 55 51 13 3 30 32 15 7
37 77 20 36 31 92 40 51 45 25 30 9 54 44 10 3 32 36 11 5
42 94 28 37 42 66 50 49 25 19 50 11 48 57 17 6 27 36 12 6
41 32 15 28 21 45 31 36 15 13 18 17 26 30 17 14 26 15 14 8
26 64 15 22 21 35 34 25 5 12 33 8 20 27 12 8 11 13 5 5
22 48 39 12 5 11 28 29 47 25 13 5 34 30 19 4 35 45 6 0
19 53 31 13 9 26 29 24 33 19 22 11 39 24 17 8 24 34 7 0
37 64 23 19 26 43 28 34 4 5 40 5 24 24 11 2 12 13 1 5
