"id" "x" "y"
"i" 43.6 26.3
"i" 55.3 27.6
"i" 61.8 33.4
"i" 68.3 33.4
"i" 68.9 39.2
"i" 78 42.5
"i" 75.4 48.3
"i" 86.4 62.6
"i" 95.5 67.8
"i" 106.5 72.3
"i" 107.8 75.6
"i" 107.8 81.4
"i" 113.7 86
"i" 117.6 86.6
"i" 127.3 84.7
"i" 130.5 83.4
"i" 137.7 88.5
"i" 146.1 93.7
"i" 150 96.3
"i" 157.8 93.1
"i" 164.9 78.2
"i" 168.8 70.4
"i" 181.8 63.9
"i" 190.2 58
"i" 193.5 52.2
"i" 192.2 43.1
"i" 188.9 36
"i" 190.9 34.7
"i" 200.6 49
"i" 200 54.8
"i" 203.2 59.3
"i" 210.4 52.9
"i" 211 56.8
"i" 206.5 62.6
"i" 196.7 69.1
"i" 196.7 73
"i" 190.2 72.3
"i" 183.1 78.8
"i" 177.9 91.1
"i" 172.7 97.6
"i" 174.7 104.8
"i" 183.8 106.1
"i" 184.4 101.5
"i" 190.2 101.5
"i" 200 82.7
"i" 211 80.1
"i" 219.4 73.6
"i" 220.7 67.1
"i" 219.4 58.7
"i" 224 48.3
"i" 235 40.5
"i" 243.5 38.6
"i" 241.5 37.3
"i" 233.7 39.9
"i" 229.2 36.6
"i" 232.4 30.1
"i" 237.6 25
"i" 240.2 22.4
"i" 242.2 29.5
"i" 246.7 30.8
"i" 253.2 39.2
"i" 247.3 46.4
"i" 244.1 55.5
"i" 243.5 60
"i" 251.9 57.4
"i" 249.3 65.2
"i" 265.5 65.8
"i" 269.4 61.3
"i" 284.3 67.1
"i" 275.9 76.2
"i" 279.1 87.9
"i" 285.6 89.2
"i" 296.7 115.1
"i" 307 111.3
"i" 318.7 111.3
"i" 310.9 103.5
"i" 318.1 103.5
"i" 320 96.3
"i" 329.1 97.6
"i" 335.6 104.1
"i" 328.5 104.1
"i" 323.9 110
"i" 329.1 115.1
"i" 353.8 122.3
"i" 344.7 115.8
"i" 347.3 111.3
"i" 344 104.8
"i" 338.2 104.8
"i" 338.2 101.5
"i" 371.3 80.1
"i" 373.2 73
"i" 371.9 67.1
"i" 366.7 64.5
"i" 346 64.5
"i" 325.2 74.3
"i" 309 72.3
"i" 299.9 66.5
"i" 285.6 65.2
"i" 285.6 63.9
"i" 287.6 61.9
"i" 278.5 60
"i" 270.7 60
"i" 265.5 57.4
"i" 264.9 49
"i" 268.1 48.3
"i" 271.4 50.9
"i" 269.4 39.9
"i" 272 36
"i" 270.7 32.1
"i" 273.3 28.2
"i" 279.8 26.9
"i" 288.2 19.8
"i" 301.2 24.3
"i" 312.9 19.8
"i" 327.2 26.3
"i" 340.1 25.6
"i" 336.2 21.1
"i" 338.2 10
"i" 336.2 1.6
"i" 373.2 1.6
"i" 373.2 282.6
